序号,证券代码,证券简称,"公司属性
[交易日期] 最新收盘日",上市板块,更新时间
1,873593.BJ,鼎智科技,民营企业,北证,2023/9/19
2,873576.BJ,天力复合,地方国有企业,北证,/
3,873527.BJ,夜光明,民营企业,北证,/
4,873339.BJ,恒太照明,民营企业,北证,/
5,873305.BJ,九菱科技,民营企业,北证,/
6,873223.BJ,荣亿精密,外资企业,北证,/
7,873169.BJ,七丰精工,民营企业,北证,/
8,873167.BJ,新赣江,民营企业,北证,/
9,873152.BJ,天宏锂电,民营企业,北证,/
10,873122.BJ,中纺标,中央国有企业,北证,/
11,873001.BJ,纬达光电,地方国有企业,北证,/
12,872953.BJ,国子软件,民营企业,北证,/
13,872925.BJ,锦好医疗,民营企业,北证,/
14,872895.BJ,花溪科技,民营企业,北证,/
15,872808.BJ,曙光数创,中央国有企业,北证,/
16,872541.BJ,铁大科技,民营企业,北证,/
17,872392.BJ,佳合科技,民营企业,北证,/
18,872374.BJ,云里物里,民营企业,北证,/
19,872351.BJ,华光源海,民营企业,北证,/
20,872190.BJ,雷神科技,集体企业,北证,/
21,871981.BJ,晶赛科技,民营企业,北证,/
22,871970.BJ,大禹生物,民营企业,北证,/
23,871857.BJ,泓禧科技,民营企业,北证,/
24,871753.BJ,天纺标,地方国有企业,北证,/
25,871694.BJ,中裕科技,民营企业,北证,/
26,871642.BJ,通易航天,民营企业,北证,/
27,871634.BJ,新威凌,民营企业,北证,/
28,871553.BJ,凯腾精工,民营企业,北证,/
29,871478.BJ,巨能股份,民营企业,北证,/
30,871396.BJ,常辅股份,民营企业,北证,/
31,871245.BJ,威博液压,民营企业,北证,/
32,870976.BJ,视声智能,民营企业,北证,/
33,870866.BJ,绿亨科技,民营企业,北证,/
34,870726.BJ,鸿智科技,民营企业,北证,/
35,870508.BJ,丰安股份,民营企业,北证,/
36,870436.BJ,大地电气,民营企业,北证,/
37,870357.BJ,雅葆轩,民营企业,北证,/
38,870299.BJ,灿能电力,民营企业,北证,/
39,870204.BJ,沪江材料,民营企业,北证,/
40,870199.BJ,倍益康,民营企业,北证,/
41,839946.BJ,华阳变速,民营企业,北证,/
42,839792.BJ,东和新材,民营企业,北证,/
43,839790.BJ,联迪信息,民营企业,北证,/
44,839729.BJ,永顺生物,公众企业,北证,/
45,839725.BJ,惠丰钻石,民营企业,北证,/
46,839719.BJ,宁新新材,民营企业,北证,/
47,839680.BJ,广道数字,民营企业,北证,/
48,839371.BJ,欧福蛋业,外资企业,北证,/
49,839273.BJ,一致魔芋,民营企业,北证,/
50,839167.BJ,同享科技,民营企业,北证,/
51,838971.BJ,天马新材,民营企业,北证,/
52,838924.BJ,广脉科技,民营企业,北证,/
53,838837.BJ,华原股份,地方国有企业,北证,/
54,838810.BJ,春光药装,民营企业,北证,/
55,838701.BJ,豪声电子,民营企业,北证,/
56,838670.BJ,恒进感应,民营企业,北证,/
57,838402.BJ,硅烷科技,地方国有企业,北证,/
58,838275.BJ,驱动力,民营企业,北证,/
59,838262.BJ,太湖雪,民营企业,北证,/
60,838227.BJ,美登科技,民营企业,北证,/
61,838171.BJ,邦德股份,民营企业,北证,/
62,838163.BJ,方大新材,民营企业,北证,/
63,838030.BJ,德众汽车,民营企业,北证,/
64,837821.BJ,则成电子,民营企业,北证,/
65,837748.BJ,路桥信息,地方国有企业,北证,/
66,837663.BJ,明阳科技,民营企业,北证,/
67,837592.BJ,华信永道,民营企业,北证,/
68,837344.BJ,三元基因,民营企业,北证,/
69,837242.BJ,建邦科技,民营企业,北证,/
70,837212.BJ,智新电子,民营企业,北证,/
71,837174.BJ,宏裕包材,地方国有企业,北证,/
72,837092.BJ,汉鑫科技,民营企业,北证,/
73,837046.BJ,亿能电力,民营企业,北证,/
74,837006.BJ,晟楠科技,民营企业,北证,/
75,836957.BJ,汉维科技,民营企业,北证,/
76,836942.BJ,恒立钻具,民营企业,北证,/
77,836892.BJ,广咨国际,地方国有企业,北证,/
78,836871.BJ,派特尔,民营企业,北证,/
79,836826.BJ,盖世食品,民营企业,北证,/
80,836807.BJ,奔朗新材,民营企业,北证,/
81,836720.BJ,吉冈精密,民营企业,北证,/
82,836717.BJ,瑞星股份,民营企业,北证,/
83,836699.BJ,海达尔,民营企业,北证,/
84,836675.BJ,秉扬科技,民营企业,北证,/
85,836504.BJ,博迅生物,民营企业,北证,/
86,836433.BJ,大唐药业,民营企业,北证,/
87,836422.BJ,润普食品,民营企业,北证,/
88,836419.BJ,万德股份,民营企业,北证,/
89,836414.BJ,欧普泰,民营企业,北证,/
90,836395.BJ,朗鸿科技,民营企业,北证,/
91,836270.BJ,天铭科技,民营企业,北证,/
92,836263.BJ,中航泰达,民营企业,北证,/
93,836260.BJ,中寰股份,民营企业,北证,/
94,836247.BJ,华密新材,民营企业,北证,/
95,836239.BJ,长虹能源,地方国有企业,北证,/
96,836221.BJ,易实精密,民营企业,北证,/
97,836208.BJ,青矩技术,公众企业,北证,/
98,836149.BJ,旭杰科技,民营企业,北证,/
99,836077.BJ,吉林碳谷,地方国有企业,北证,/
100,835985.BJ,海泰新能,民营企业,北证,/
101,835892.BJ,中科美菱,地方国有企业,北证,/
102,835857.BJ,百甲科技,民营企业,北证,/
103,835670.BJ,数字人,民营企业,北证,/
104,835640.BJ,富士达,中央国有企业,北证,/
105,835508.BJ,殷图网联,民营企业,北证,/
106,835368.BJ,连城数控,民营企业,北证,/
107,835305.BJ,云创数据,民营企业,北证,/
108,835237.BJ,力佳科技,民营企业,北证,/
109,835207.BJ,众诚科技,民营企业,北证,/
110,835185.BJ,贝特瑞,公众企业,北证,/
111,835184.BJ,国源科技,民营企业,北证,/
112,835179.BJ,凯德石英,民营企业,北证,/
113,835174.BJ,五新隧装,民营企业,北证,/
114,834950.BJ,迅安科技,民营企业,北证,/
115,834770.BJ,艾能聚,民营企业,北证,/
116,834765.BJ,美之高,民营企业,北证,/
117,834682.BJ,球冠电缆,民营企业,北证,/
118,834639.BJ,晨光电缆,民营企业,北证,/
119,834599.BJ,同力股份,公众企业,北证,/
120,834475.BJ,三友科技,民营企业,北证,/
121,834415.BJ,恒拓开源,民营企业,北证,/
122,834407.BJ,驰诚股份,民营企业,北证,/
123,834261.BJ,一诺威,民营企业,北证,/
124,834062.BJ,科润智控,民营企业,北证,/
125,834058.BJ,华洋赛车,民营企业,北证,/
126,834033.BJ,康普化学,民营企业,北证,/
127,834021.BJ,流金科技,民营企业,北证,/
128,834014.BJ,特瑞斯,民营企业,北证,/
129,833943.BJ,优机股份,民营企业,北证,/
130,833914.BJ,远航精密,民营企业,北证,/
131,833873.BJ,中设咨询,民营企业,北证,/
132,833819.BJ,颖泰生物,民营企业,北证,/
133,833781.BJ,瑞奇智造,民营企业,北证,/
134,833751.BJ,惠同新材,公众企业,北证,/
135,833580.BJ,科创新材,民营企业,北证,/
136,833575.BJ,康乐卫士,民营企业,北证,/
137,833533.BJ,骏创科技,民营企业,北证,/
138,833523.BJ,德瑞锂电,民营企业,北证,/
139,833509.BJ,同惠电子,民营企业,北证,/
140,833455.BJ,汇隆活塞,民营企业,北证,/
141,833454.BJ,同心传动,民营企业,北证,/
142,833429.BJ,康比特,民营企业,北证,/
143,833427.BJ,华维设计,民营企业,北证,/
144,833394.BJ,民士达,地方国有企业,北证,/
145,833346.BJ,威贸电子,民营企业,北证,/
146,833266.BJ,生物谷,民营企业,北证,/
147,833230.BJ,欧康医药,民营企业,北证,/
148,833171.BJ,国航远洋,民营企业,北证,/
149,833075.BJ,柏星龙,民营企业,北证,/
150,832982.BJ,锦波生物,民营企业,北证,/
151,832885.BJ,星辰科技,民营企业,北证,/
152,832876.BJ,慧为智能,民营企业,北证,/
153,832802.BJ,保丽洁,民营企业,北证,/
154,832735.BJ,德源药业,民营企业,北证,/
155,832662.BJ,方盛股份,民营企业,北证,/
156,832651.BJ,天罡股份,民营企业,北证,/
157,832566.BJ,梓橦宫,民营企业,北证,/
158,832491.BJ,奥迪威,民营企业,北证,/
159,832471.BJ,美邦科技,民营企业,北证,/
160,832469.BJ,富恒新材,民营企业,北证,/
161,832419.BJ,路斯股份,民营企业,北证,/
162,832278.BJ,鹿得医疗,民营企业,北证,/
163,832225.BJ,利通科技,民营企业,北证,/
164,832175.BJ,东方碳素,民营企业,北证,/
165,832171.BJ,志晟信息,民营企业,北证,/
166,832149.BJ,利尔达,民营企业,北证,/
167,832145.BJ,恒合股份,民营企业,北证,/
168,832110.BJ,雷特科技,民营企业,北证,/
169,832089.BJ,禾昌聚合,民营企业,北证,/
170,832023.BJ,田野股份,民营企业,北证,/
171,832000.BJ,安徽凤凰,外资企业,北证,/
172,831961.BJ,创远信科,民营企业,北证,/
173,831906.BJ,舜宇精工,民营企业,北证,/
174,831856.BJ,浩淼科技,民营企业,北证,/
175,831855.BJ,浙江大农,民营企业,北证,/
176,831834.BJ,三维股份,民营企业,北证,/
177,831832.BJ,科达自控,民营企业,北证,/
178,831768.BJ,拾比佰,民营企业,北证,/
179,831726.BJ,朱老六,民营企业,北证,/
180,831689.BJ,克莱特,民营企业,北证,/
181,831641.BJ,格利尔,民营企业,北证,/
182,831627.BJ,力王股份,民营企业,北证,/
183,831526.BJ,凯华材料,民营企业,北证,/
184,831445.BJ,龙竹科技,民营企业,北证,/
185,831370.BJ,新安洁,民营企业,北证,/
186,831305.BJ,海希通讯,民营企业,北证,/
187,831304.BJ,迪尔化工,民营企业,北证,/
188,831278.BJ,泰德股份,民营企业,北证,/
189,831195.BJ,三祥科技,民营企业,北证,/
190,831167.BJ,鑫汇科,民营企业,北证,/
191,831152.BJ,昆工科技,民营企业,北证,/
192,831087.BJ,秋乐种业,地方国有企业,北证,/
193,831039.BJ,国义招标,地方国有企业,北证,/
194,831010.BJ,凯添燃气,民营企业,北证,/
195,830974.BJ,凯大催化,民营企业,北证,/
196,830964.BJ,润农节水,民营企业,北证,/
197,830946.BJ,森萱医药,地方国有企业,北证,/
198,830896.BJ,旺成科技,民营企业,北证,/
199,830879.BJ,基康仪器,民营企业,北证,/
200,830839.BJ,万通液压,民营企业,北证,/
201,830832.BJ,齐鲁华信,民营企业,北证,/
202,830809.BJ,安达科技,民营企业,北证,/
203,830799.BJ,艾融软件,民营企业,北证,/
204,830779.BJ,武汉蓝电,民营企业,北证,/
