序号,法人代码,法人单位名称,所属园区,所属技术领域
1,MA01JY4E-4,康妍葆（北京）干细胞科技有限公司,大兴园,生物工程和新医药
2,MA00D1GW-4,北京富亿源生物科技有限公司,大兴园,生物工程和新医药
3,MA001E0L-2,北京惊蜇科技有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
4,MA00B1T8-X,心云（北京）医疗器械有限公司,大兴园,电子与信息
5,MA0199BC-X,北京科益元科技有限公司,大兴园,生物工程和新医药
6,MA00H3DE-5,北京环宇华康科技有限公司,大兴园,生物工程和新医药
7,MA01CR8N-6,北京五加和基因科技有限公司,大兴园,生物工程和新医药
8,MA01A9AQ-3,合众通联（北京）科技有限责任公司,大兴园,电子与信息
9,MA00774W-1,富乐顿生物工程科技（北京）有限公司,大兴园,生物工程和新医药
10,MA008EMW-0,宏芯信息科技（北京）股份有限公司,大兴园,电子与信息
11,MA005H5L-4,北京森福特科技发展有限公司,大兴园,电子与信息
12,MA018F3H-0,北京爱梦马科技有限公司,大兴园,电子与信息
13,MA01A34P-0,北京仁源欣生生物科技有限公司,大兴园,生物工程和新医药
14,MA002RJB-2,北京基因启明生物科技有限公司,大兴园,生物工程和新医药
15,MA003T8R-4,神桦国际生物医药科技（北京）有限公司,大兴园,生物工程和新医药
16,57521931-0,北京诺亚来科技有限公司,大兴园,先进制造技术
17,06730932-8,北京宏帆宜都节能科技有限公司,大兴园,新能源与高效节能技术
18,10118282-7,北京米赫医疗器械有限责任公司,大兴园,生物工程和新医药
19,76939391-5,北京蓝海微医疗器械有限公司,大兴园,生物工程和新医药
20,35298148-X,北京正开商用科技有限公司,大兴园,电子与信息
21,33544100-0,北京景达生物科技有限公司,大兴园,生物工程和新医药
22,MA00ETYB-9,北京慧营智能科技有限公司,大兴园,电子与信息
23,MA01EBGY-4,链方达(北京)科技有限公司,大兴园,电子与信息
24,MA005BM2-0,万谦科技（北京）有限公司,大兴园,电子与信息
25,MA00D1UP-6,北京奥精医疗器械有限责任公司,大兴园,生物工程和新医药
26,MA01APX1-9,九芝堂美科（北京）细胞技术有限公司,大兴园,生物工程和新医药
27,58587510-0,北京凯诺瑞和科技发展有限公司,大兴园,生物工程和新医药
28,MA00BFNU-X,北京恒研精创科技有限公司,大兴园,先进制造技术
29,MA005JBD-2,北京谷能新能源科技有限公司,大兴园,新能源与高效节能技术
30,33986591-9,北京微奥科技有限公司,大兴园,电子与信息
31,MA00F00Q-1,医来医往(北京)科技有限公司,大兴园,电子与信息
32,MA01C01P-4,权天下（北京)科技有限公司,大兴园,电子与信息
33,MA009J09-1,伯科生物医学科技（北京）有限公司,大兴园,生物工程和新医药
34,MA018E74-7,中科搏康（北京）医疗器械有限公司,大兴园,生物工程和新医药
35,MA0086KB-4,北京彩程科技有限公司,大兴园,电子与信息
36,MA00C9JG-9,北京安琪尔基因医学科技有限公司,大兴园,生物工程和新医药
37,MA018412-5,北检润和（北京）技术服务有限公司,大兴园,生物工程和新医药
38,MA00D5H1-8,翼德（北京）科技有限公司,大兴园,先进制造技术
39,58586006-4,北京创宏世纪科技有限公司,大兴园,电子与信息
40,05135542-6,北京博越科技有限公司,大兴园,电子与信息
41,MA00G46Y-1,北京同力恒泰科技发展有限责任公司,大兴园,新材料及应用技术
42,35157205-1,臻昊（北京）新能源科技有限公司,大兴园,新能源与高效节能技术
43,MA002760-5,北京安墨思科技有限公司,大兴园,电子与信息
44,30653220-2,泽恒计量检测（北京）有限公司,大兴园,生物工程和新医药
45,59387956-6,北京康百世科技发展有限公司,大兴园,生物工程和新医药
46,MA01BN45-7,智动时代（北京）科技有限公司,大兴园,先进制造技术
47,09187655-X,北京迈控科技有限公司,大兴园,电子与信息
48,MA01DJ86-0,北京京谱迪基因科技有限公司,大兴园,生物工程和新医药
49,MA01B9HM-0,北京领健医疗科技有限公司,大兴园,生物工程和新医药
50,MA01DDMH-3,北京优迅医疗器械有限公司,大兴园,生物工程和新医药
51,MA01BGYW-X,润华科创企业管理服务（北京）有限公司,大兴园,生物工程和新医药
52,30633376-4,中科芯电半导体科技（北京）有限公司,大兴园,新材料及应用技术
53,MA008PMU-4,北京奥丽健康科技有限公司,大兴园,先进制造技术
54,34832045-1,中机物联（北京）节能环保科技有限公司,大兴园,新能源与高效节能技术
55,MA01AUXR-5,北京知优科技有限公司,大兴园,电子与信息
56,MA00E4C7-8,北京泰普锐拓科技有限公司,大兴园,航空航天技术
57,MA00E27E-8,航天中星（北京）科技有限公司,大兴园,电子与信息
58,MA00E8CK-5,北京中图信华信息工程有限公司,大兴园,电子与信息
59,32725916-1,北京逸诚医药科技有限公司,大兴园,生物工程和新医药
60,MA008W5A-1,北京华克智星医疗技术研究院有限公司,大兴园,生物工程和新医药
61,77199700-5,北京同济恒远医学技术有限责任公司,大兴园,先进制造技术
62,72265313-4,北京赛普九洲科技发展有限公司,大兴园,生物工程和新医药
63,69327072-3,北京中教智业信息技术研究院有限公司,大兴园,电子与信息
64,75870802-9,北京市鹊兄科技发展有限公司,大兴园,生物工程和新医药
65,MA005WHU-5,中科世生（北京）医药科技有限公司,大兴园,生物工程和新医药
66,MA0066E6-4,北京赛赋医药研究院有限公司,大兴园,生物工程和新医药
67,67572868-1,北京龙头天威科技发展有限公司,大兴园,新材料及应用技术
68,MA00FG1F-1,北京华睿博视医学影像技术有限公司,大兴园,先进制造技术
69,MA003Q8E-X,神州智慧环境投资有限公司,大兴园,环境保护技术
70,10134543-8,北京圣元房地产评估咨询有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
71,55135473-7,北京新九陆生物科技发展有限责任公司,大兴园,生物工程和新医药
72,09517625-1,北京华信云和科技发展有限公司,大兴园,电子与信息
73,MA0068MQ-4,北京迅联泰达科技有限公司,大兴园,电子与信息
74,MA01G56E-1,北京易联众智康科技有限公司,大兴园,电子与信息
75,56043846-5,北京富国堂医药科技有限公司,大兴园,生物工程和新医药
76,78616589-3,北京五木家具有限公司,大兴园,先进制造技术
77,MA0031U4-X,北京荷泰力农业科技有限公司,大兴园,现代农业技术动植物优良新品种
78,76678102-3,北京中润豪景光电科技开发有限公司,大兴园,电子与信息
79,MA00FBYR-6,科贝园（北京）医药科技有限公司,大兴园,生物工程和新医药
80,69002646-9,北京建中防水保温工程集团股份有限公司,大兴园,新材料及应用技术
81,MA003JNU-7,北京天空无霾科技有限公司,大兴园,环境保护技术
82,35528420-9,北京正开科技有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
83,30676723-9,北京果乐乐科技有限公司,大兴园,电子与信息
84,07415967-1,北京力城通捷技术有限公司,大兴园,电子与信息
85,31819277-8,北京神居动漫科技有限公司,大兴园,电子与信息
86,MA01EQ86-5,北京臻知医学科技有限责任公司,大兴园,生物工程和新医药
87,74810365-9,亿如科技（北京）有限公司,大兴园,生物工程和新医药
88,MA019UTT-0,健生医疗科技有限公司,大兴园,生物工程和新医药
89,MA001G46-0,北京九州众创科技孵化器有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
90,MA005XQK-3,华泰好运电讯科技（北京）有限公司,大兴园,电子与信息
91,69955273-X,北京空航航空科技有限公司,大兴园,航空航天技术
92,80287060-6,北京滨海油业有限公司,大兴园,先进制造技术
93,75527000-9,北京易斯威特生物医学科技有限公司,大兴园,生物工程和新医药
94,80289318-9,北京泛亚电通工贸有限责任公司,大兴园,先进制造技术
95,MA001RKN-1,雷图志悦（北京）科技发展有限公司,大兴园,电子与信息
96,MA01CCKR-4,中科微针（北京）科技有限公司,大兴园,生物工程和新医药
97,08546545-5,北京金域美境科技有限公司,大兴园,环境保护技术
98,79066677-0,北京豪盛恒大科技有限公司,大兴园,环境保护技术
99,30668849-3,北京实力伟业环保科技有限公司,大兴园,环境保护技术
