大兴区北京企业技术中心,,
序号,企业名称,级别
1,北京三元食品股份有限公司,国家级
2,北京资源亚太饲料科技有限公司,国家级
3,中铁第五勘察设计院集团有限公司,国家级
4,北京首航艾启威节能技术股份有限公司,国家级
5,北京新能源汽车股份有限公司,国家级
6,北京人民电器厂有限公司,北京市
7,北京以岭药业有限公司,北京市
8,北人智能装备科技有限公司,北京市
9,北京普莱德新能源电池科技有限公司,北京市
10,中铁二十三局集团第二工程有限公司,北京市
11,北京天罡助剂有限责任公司,北京市
12,北京京诚凤凰工业炉工程技术有限公司,北京市
13,北京北汽模塑科技有限公司,北京市
14,中建一局集团第二建筑有限公司,北京市
15,北京天恒建设集团有限公司,北京市
16,中化岩土集团股份有限公司,北京市
17,北京万兴建筑集团有限公司,北京市
18,北京华邈药业有限公司,北京市
19,北京铁路信号有限公司,北京市
20,中建铁路投资建设集团有限公司,北京市
21,北京民海生物科技有限公司,北京市
22,北京海纳川汽车部件股份有限公司,北京市
23,美巢集团股份公司,北京市
24,北京星光影视设备科技股份有限公司,北京市
25,中建一局集团安装工程有限公司,北京市
26,北京三元种业科技股份有限公司,北京市
27,北京协和药厂,北京市
28,富思特新材料科技发展股份有限公司,北京市
29,北京诚益通控制工程科技股份有限公司,北京市
30,北京格雷时尚科技有限公司,北京市
31,北京热景生物技术股份有限公司,北京市
32,北京世纪东方通讯设备有限公司,北京市
33,北京威克多制衣中心,北京市
34,倍杰特集团股份有限公司,北京市
35,中国化学工程重型机械化有限公司,北京市
36,中铁十八局集团北京工程有限公司,北京市
