大学生创业企业信息,,,,,,,,,,,,,,,,,,,,,,,,,
序号,上板时间,公司全称,四板展示代码,,,,,,,,,,,,,,,,,,,,,,
1,2016/6/29,北京费米赛因教育科技有限公司,300001,,,,,,,,,,,,,,,,,,,,,,
2,2016/6/29,北京易净星科技有限公司,300002,,,,,,,,,,,,,,,,,,,,,,
3,2016/6/29,北京微能高芯科技有限公司,300003,,,,,,,,,,,,,,,,,,,,,,
4,2016/6/29,北京蜂窝科技有限公司,300004,,,,,,,,,,,,,,,,,,,,,,
5,2016/6/29,北京微跑科技有限公司,300005,,,,,,,,,,,,,,,,,,,,,,
6,2016/6/29,北京蔚道科技有限公司,300006,,,,,,,,,,,,,,,,,,,,,,
7,2016/6/29,北京翡翠时代环保科技有限公司,300007,,,,,,,,,,,,,,,,,,,,,,
8,2016/6/29,北京菲特凯迪科技有限公司,300008,,,,,,,,,,,,,,,,,,,,,,
9,2016/6/29,狒特科技（北京）有限公司,300009,,,,,,,,,,,,,,,,,,,,,,
10,2016/6/29,北京灵犀微光科技有限公司,300010,,,,,,,,,,,,,,,,,,,,,,
11,2016/6/29,北京广度漫想科技有限公司,300011,,,,,,,,,,,,,,,,,,,,,,
12,2016/6/29,北京春晖三月文化传播有限公司,300012,,,,,,,,,,,,,,,,,,,,,,
13,2016/7/11,北京云景科技有限公司,300013,,,,,,,,,,,,,,,,,,,,,,
14,2016/7/25,彼乐智慧科技（北京）有限公司,300014,,,,,,,,,,,,,,,,,,,,,,
15,2016/8/9,北京中传盘石文化传媒有限公司,300015,,,,,,,,,,,,,,,,,,,,,,
16,2016/8/2,北京中动爱盟文化发展有限公司,300016,,,,,,,,,,,,,,,,,,,,,,
17,2016/7/26,大稔互联网科技(北京)有限公司,300017,,,,,,,,,,,,,,,,,,,,,,
18,2016/9/2,北京福众科技有限公司,300018,,,,,,,,,,,,,,,,,,,,,,
19,2016/9/21,北京智泽惠通科技孵化器有限公司,300019,,,,,,,,,,,,,,,,,,,,,,
20,2016/9/21,简食（北京)生态科技有限公司,300020,,,,,,,,,,,,,,,,,,,,,,
21,2016/11/18,情怀龟（北京）科技有限公司,300021,,,,,,,,,,,,,,,,,,,,,,
22,2016/11/1,北京创知路教育科技有限责任公司,300022,,,,,,,,,,,,,,,,,,,,,,
23,2016/12/9,北京校园维西科技有限公司,300023,,,,,,,,,,,,,,,,,,,,,,
24,2017/2/10,北京问学教育咨询有限责任公司,300024,,,,,,,,,,,,,,,,,,,,,,
25,2017/3/9,贝塔智能科技（北京）有限公司,300025,,,,,,,,,,,,,,,,,,,,,,
26,2017/3/17,北京不老尚品农业科技有限公司,300026,,,,,,,,,,,,,,,,,,,,,,
27,2017/6/9,北京蓝杞数据科技有限公司,300027,,,,,,,,,,,,,,,,,,,,,,
28,2017/6/30,英联帮教育科技（北京）有限公司,300028,,,,,,,,,,,,,,,,,,,,,,
29,2017/9/8,"	北京赵顾生物科技有限公司",300029,,,,,,,,,,,,,,,,,,,,,,
30,2018/2/8,"	北京创衣创意设计有限责任公司",300030,,,,,,,,,,,,,,,,,,,,,,
31,2018/2/8,"	北京元亨易创科技服务有限公司",300031,,,,,,,,,,,,,,,,,,,,,,
32,2018/2/8,"	北京未风科技有限公司",300032,,,,,,,,,,,,,,,,,,,,,,
33,2018/2/11,"	北京启鸣光电科技有限公司",300033,,,,,,,,,,,,,,,,,,,,,,
34,2018/2/11,"	北京高林世纪管理咨询有限责任公司",300034,,,,,,,,,,,,,,,,,,,,,,
35,2018/4/8,北京觅途文化传播有限责任公司,300035,,,,,,,,,,,,,,,,,,,,,,
36,2018/5/11,北京天天尚翔体育文化传播有限公司,300036,,,,,,,,,,,,,,,,,,,,,,
37,2018/5/17,北京市左一餐饮管理有限公司,300037,,,,,,,,,,,,,,,,,,,,,,
38,2018/6/26,北京中农信驰科技有限公司,300038,,,,,,,,,,,,,,,,,,,,,,
39,2018/7/12,北京文韵中箤文化发展有限公司,300039,,,,,,,,,,,,,,,,,,,,,,
40,2018/7/12,北京兔爷儿文化传播有限公司,300040,,,,,,,,,,,,,,,,,,,,,,
41,2018/7/12,祈年科技（北京）有限公司,300041,,,,,,,,,,,,,,,,,,,,,,
42,2018/7/19,北京茗竹听雨教育咨询有限公司,300042,,,,,,,,,,,,,,,,,,,,,,
43,2018/7/26,璞励卓越（北京）科技有限公司,300043,,,,,,,,,,,,,,,,,,,,,,
44,2018/7/26,人工图灵(北京)科技有限公司,300044,,,,,,,,,,,,,,,,,,,,,,
45,2018/7/26,北京佳乐睿斯特科技有限公司,300045,,,,,,,,,,,,,,,,,,,,,,
46,2018/8/2,合和之道（北京）文化产业有限责任公司,300046,,,,,,,,,,,,,,,,,,,,,,
47,2018/8/3,北京枫翼科技有限公司,300047,,,,,,,,,,,,,,,,,,,,,,
48,2018/8/3,北京石光不老文化创意有限公司,300048,,,,,,,,,,,,,,,,,,,,,,
49,2018/8/3,北京金羽新能科技有限公司,300049,,,,,,,,,,,,,,,,,,,,,,
50,2018/8/8,北京的赞科技有限公司,300050,,,,,,,,,,,,,,,,,,,,,,
51,2018/8/16,北京利见达人文化有限公司,300051,,,,,,,,,,,,,,,,,,,,,,
52,2018/8/24,北京富莱柯斯科技发展有限公司,300052,,,,,,,,,,,,,,,,,,,,,,
53,2018/9/6,北京原盛文化有限责任公司,300053,,,,,,,,,,,,,,,,,,,,,,
54,2018/9/12,北京米芽时代科技有限公司,300054,,,,,,,,,,,,,,,,,,,,,,
55,2018/9/21,非概率驱动（北京）科技有限公司,300055,,,,,,,,,,,,,,,,,,,,,,
56,2018/9/21,北京中物汇智科技有限公司,300056,,,,,,,,,,,,,,,,,,,,,,
57,2018/9/21,北京橙知乐园教育科技有限公司,300057,,,,,,,,,,,,,,,,,,,,,,
58,2018/9/21,北京食尚鲜果农业科技有限公司,300058,,,,,,,,,,,,,,,,,,,,,,
59,2018/9/28,北京帷幕万象影视制作有限责任公司,300059,,,,,,,,,,,,,,,,,,,,,,
60,2018/10/23,北京天虹梓艺文化传媒有限公司,300060,,,,,,,,,,,,,,,,,,,,,,
61,2018/10/23,北京匠道科技有限公司,300061,,,,,,,,,,,,,,,,,,,,,,
62,2018/10/23,北京新艺环保科技有限公司,300062,,,,,,,,,,,,,,,,,,,,,,
63,2018/10/23,北京浩和人力资源咨询有限公司,300063,,,,,,,,,,,,,,,,,,,,,,
64,2018/10/23,北京一路校跑科技有限公司,300064,,,,,,,,,,,,,,,,,,,,,,
65,2018/10/23,探维科技（北京）有限公司,300065,,,,,,,,,,,,,,,,,,,,,,
66,2018/11/1,北京华光全视医疗科技有限公司,300066,,,,,,,,,,,,,,,,,,,,,,
67,2018/11/1,北京智汇云创数字科技有限公司,300067,,,,,,,,,,,,,,,,,,,,,,
68,2018/11/1,北京益微生物科技有限公司,300068,,,,,,,,,,,,,,,,,,,,,,
69,2018/11/8,北京弘晖文化发展有限公司,300069,,,,,,,,,,,,,,,,,,,,,,
70,2018/11/8,北京医联共建科技有限公司,300070,,,,,,,,,,,,,,,,,,,,,,
71,2018/11/8,北京和晟科技有限公司,300071,,,,,,,,,,,,,,,,,,,,,,
72,2018/11/8,北京国科天迅科技有限公司,300072,,,,,,,,,,,,,,,,,,,,,,
73,2018/11/14,北京思顿教育咨询有限公司,300073,,,,,,,,,,,,,,,,,,,,,,
74,2018/11/19,北京缘林科技有限责任公司,300074,,,,,,,,,,,,,,,,,,,,,,
75,2018/11/19,七植花所（北京）文化传播有限责任公司,300075,,,,,,,,,,,,,,,,,,,,,,
76,2018/11/19,北京宏图博展科技发展有限公司,300076,,,,,,,,,,,,,,,,,,,,,,
77,2018/11/23,北京凡川艺术文化发展有限公司,300077,,,,,,,,,,,,,,,,,,,,,,
78,2018/11/23,北京宏途赶考教育科技有限公司,300078,,,,,,,,,,,,,,,,,,,,,,
79,2018/11/23,北京烨立互动文化科技有限公司,300079,,,,,,,,,,,,,,,,,,,,,,
80,2018/11/23,升发智联（北京）科技有限责任公司,300080,,,,,,,,,,,,,,,,,,,,,,
81,2018/11/26,北京洋葱体育科技有限公司,300081,,,,,,,,,,,,,,,,,,,,,,
82,2018/11/26,北京传思脉德科技有限公司,300082,,,,,,,,,,,,,,,,,,,,,,
83,2018/11/28,北京维应科技有限责任公司,300083,,,,,,,,,,,,,,,,,,,,,,
84,2018/11/28,北京光辉小鱼文化传媒有限公司,300084,,,,,,,,,,,,,,,,,,,,,,
85,2018/11/30,北京摩数教育科技有限公司,300085,,,,,,,,,,,,,,,,,,,,,,
86,2019/1/3,北京永信通达建筑工程有限公司,300086,,,,,,,,,,,,,,,,,,,,,,
87,2019/1/3,北京涞澈科技发展有限公司,300087,,,,,,,,,,,,,,,,,,,,,,
88,2019/1/11,北京信美善教育科技有限公司,300088,,,,,,,,,,,,,,,,,,,,,,
89,2019/1/16,北京新素代科技有限公司,300089,,,,,,,,,,,,,,,,,,,,,,
90,2019/1/16,北京幸福益生高新技术有限公司,300090,,,,,,,,,,,,,,,,,,,,,,
91,2019/1/23,北京光朴森影科技有限公司,300091,,,,,,,,,,,,,,,,,,,,,,
92,2019/1/30,北京中少艺影文化传媒有限公司,300092,,,,,,,,,,,,,,,,,,,,,,
93,2019/2/12,微馆健（北京）健康科技有限公司,300093,,,,,,,,,,,,,,,,,,,,,,
94,2019/2/12,北京逸声网络科技有限公司,300094,,,,,,,,,,,,,,,,,,,,,,
