   序号,证书状态,证书形式,证号,企业名称,法人代表,行政相对人代码,注册地址,经济类型,许可机关,核发日期,前一次有效期,延期有效期,,
1,有效,电子,(京)JZ安许证字〔2022〕120560,北京观唐城投建设有限公司,/,91110116600428596R,北京市怀柔区雁栖镇下庄村西100米(富兴冲压件厂院内),其他有限责任公司,北京市住房和城乡建设委员会,2022-10-18,2022-12-01,2025-10-17,,
2,有效,电子,(京)JZ安许证字〔2022〕130562B,北京市安泰运源建筑工程有限公司,/,9111011672148157XG,北京市怀柔区于家园二区甲1号楼4门,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-10-26,2022-11-20,2025-10-25,,
3,有效,电子,(京)JZ安许证字〔2022〕010439,北京鑫旺路桥建设有限公司,/,91110000721489117X,北京市怀柔区渤海镇怀沙路536号,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-10-26,2022-11-17,2025-10-25,,
4,有效,电子,(京)JZ安许证字〔2023〕010907,北京怀安消防工程有限公司,/,911101167000439680,北京市怀柔区乐园西大街13号院28号楼1层28-3,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-10,2023-03-18,2026-02-09,,
5,有效,电子,(京)JZ安许证字〔2022〕210580,北京瑞拓电子技术发展有限公司,/,911101061016946114,北京市丰台区西四环南路19号9号楼110室【园区】,其他有限责任公司,北京市住房和城乡建设委员会,2022-10-20,2022-12-24,2025-10-19,,
6,有效,电子,(京)JZ安许证字〔2022〕120640,北京鲁班建筑工程有限公司,/,911101131025178526,北京市顺义区府前东街,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-08-17,2022-09-28,2025-08-16,,
7,有效,电子,(京)JZ安许证字〔2023〕011542,水发(北京)建设有限公司,/,911101161025854093,北京市北京经济技术开发区科创十三街18号院5号楼11层1101,其他有限责任公司,北京市住房和城乡建设委员会,2023-02-28,2023-03-05,2026-02-27,,
8,有效,电子,(京)JZ安许证字〔2022〕221553,北京高辉利豪建设有限公司,/,91110117102931527R,北京市平谷区林荫北街13号信息大厦802室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-08-18,2022-10-28,2025-08-17,,
9,有效,电子,(京)JZ安许证字〔2023〕241554,北京地大龙祥加固工程有限公司,/,91110108718716040K,北京市海淀区紫竹院路62号院1号楼4161室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-01-04,2023-01-20,2026-01-03,,
10,有效,电子,(京)JZ安许证字〔2022〕121556,北京大通正大建设工程有限公司,/,91110113633793768F,北京市顺义区马坡镇小中河路22号,其他有限责任公司,北京市住房和城乡建设委员会,2022-08-12,2022-10-27,2025-08-11,,
11,有效,电子,（京）JZ安许证字[2022]010625,北京金古德装饰工程有限责任公司,/,91110108101890700T,北京市海淀区高里掌路1号院15号楼3层1单元301,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-10,2022-11-19,2025-10-27,,
12,有效,电子,（京）JZ安许证字[2023]011395,北京恒静禾声环保有限公司,/,91110115785514908P,北京市大兴区长子营镇企融路1号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-10,2023-04-02,2026-03-09,,
13,有效,电子,(京)JZ安许证字〔2022〕100001,北京建工集团有限责任公司,/,911100001011328547,北京市西城区广莲路1号,有限责任公司(国有独资),北京市住房和城乡建设委员会,2022-11-09,2022-11-13,2025-11-08,,
14,有效,电子,(京)JZ安许证字〔2022〕012808,北京市第三建筑工程有限公司,/,91110000101389748B,北京市西城区车公庄大街北里56号,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-10-26,2022-11-14,2025-10-25,,
15,有效,电子,(京)JZ安许证字〔2022〕110005,北京建工四建工程建设有限公司,/,91110000101510712K,北京市东城区永外沙子口中街32号,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-10-08,2022-11-12,2025-10-07,,
16,有效,电子,（京）JZ安许证字[2022]010358,北京市第五建筑工程集团有限公司,/,9111000010111455XJ,北京市朝阳区北四环东路甲6号院2号楼A单元2层211室,其他有限责任公司,北京市住房和城乡建设委员会,2023-06-06,2022-11-27,2025-10-17,,
17,有效,电子,(京)JZ安许证字〔2022〕100007,北京六建集团有限责任公司,/,911101081011064969,北京市海淀区玉泉路甲2号院8号楼,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-11-09,2022-11-19,2025-11-08,,
18,有效,电子,(京)JZ安许证字〔2022〕110010,北京建工土木工程有限公司,/,91110000600035477H,北京市朝阳区京顺东街6号院2号楼2层202,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-11-08,2022-12-05,2025-11-07,,
19,有效,电子,(京)JZ安许证字〔2022〕010283,北京市设备安装工程集团有限公司,/,91110000101389916D,北京市西城区南礼士路15号,其他有限责任公司,北京市住房和城乡建设委员会,2022-09-16,2022-11-26,2025-09-15,,
20,有效,电子,(京)JZ安许证字〔2022〕013074,北京建工路桥集团有限公司,/,91110000722609328T,北京市顺义区临空经济核心区融慧园6号楼3-84,其他有限责任公司,北京市住房和城乡建设委员会,2022-07-15,2022-07-30,2025-07-14,,
