密云区2021年经认定的高新技术企业名单信息,,,
序号,企业名称,证书编号,所在区县/园区
1,北京顺时丰科技有限公司,GR201911000992,密云区
2,北京珍麟科技发展有限公司,GR201911000660,密云区
3,后库（北京）科技有限公司,GR201911000980,密云区
4,云联网汇（北京）科技有限公司,GR201911000925,密云区
5,奇趣互联（北京）科技有限公司,GR201911000762,密云区
6,北京华煜八方科技有限公司,GR201911000349,密云区
7,北京华盟兴业设备安装工程有限公司,GR201911000558,密云区
8,北京星启智合科技有限公司,GR201911000248,密云区
9,北京太力信元数码科技有限公司,GR201911000534,密云区
10,北京块聊区块链科技有限公司,GR201911000474,密云区
11,东合美（北京）科技有限公司,GR201911001016,密云区
12,北京中新药业股份有限公司,GR201911000843,密云区
13,北京君星葡萄酿酒有限公司,GR201911000109,密云区
14,北京诚名扬科技发展有限公司,GR201911000898,密云区
15,北京枫斯洛克生态工程技术有限公司,GR201911000875,密云区
16,北京盛广拓再生科技股份有限公司,GR201911000613,密云区
17,高频美特利环境科技（北京）有限公司,GR201911001103,密云区
18,国脉（北京）科技有限公司,GR201911000362,密云区
19,北京永来建筑装饰工程有限公司,GR201911000600,密云区
20,中科军信股份有限公司,GR201911000609,密云区
21,北京濠金科技有限公司,GR201911001008,密云区
22,北京邦侨威工程技术有限公司,GR201911000218,密云区
23,北京洪泰康洁汽车用品有限公司,GR201911000180,密云区
24,北京斯瑞普科技有限公司,GR201911000488,密云区
25,同方威视科技（北京）有限公司,GR201911000701,密云区
26,北京海普瑞森超精密技术有限公司,GR201911000128,密云区
27,北京市密东印刷有限公司,GR201911000334,密云区
28,北京鑫海金澳胶印有限公司,GR201911000027,密云区
29,北京笠天下新能源科技发展有限公司,GR201911000725,密云区
30,北京北方国兴建设有限公司,GR201911000699,密云区
31,北京晶图装饰工程有限公司,GR201911000982,密云区
32,北京星源净达环保科技有限公司,GR201911002911,密云区
33,北京埃夫信环保科技有限公司,GR201911003478,密云区
34,北京百特莱德工程技术股份有限公司,GR201911002694,密云区
35,北京双悦时代水处理设备有限公司,GR201911003445,密云区
36,北京北燃环能工程科技有限公司,GR201911002237,密云区
37,北京北燃环能科技发展有限公司,GR201911002062,密云区
38,北京融翼网络科技有限公司,GR201911003448,密云区
39,北京同创博锐科技有限公司,GR201911001247,密云区
40,黑豹智能技术（北京）有限公司,GR201911001500,密云区
41,北京贝壳时代网络科技有限公司,GR201911003433,密云区
42,北京惠诚天地科技有限公司,GR201911001357,密云区
43,北京江达科技发展有限公司,GR201911003455,密云区
44,北京益商慧评网络科技有限公司,GR201911001337,密云区
45,北京云梦园科技有限公司,GR201911002255,密云区
46,北京市律购信息技术有限责任公司,GR201911003314,密云区
47,北京京睿农科科技发展有限公司,GR201911001737,密云区
48,北京维格之翼科技有限公司,GR201911002316,密云区
49,北京讯通速达科技有限公司,GR201911002994,密云区
50,北京源致信息科技有限公司,GR201911002272,密云区
51,方向向量（北京）科技有限公司,GR201911001257,密云区
52,易点极客（北京）科技有限公司,GR201911001761,密云区
53,北京华特方达科技有限公司,GR201911003083,密云区
54,智邮开源通信研究院（北京）有限公司,GR201911002341,密云区
55,北京立成科技有限公司,GR201911002936,密云区
56,北京天冠润金科技有限公司,GR201911002041,密云区
57,北京石管家石材护理科技有限公司,GR201911001435,密云区
58,北京福瑞金融信息服务有限公司,GR201911002218,密云区
59,卡迪诺科技（北京）有限公司,GR201911001352,密云区
60,北京中山消防保安技术有限公司,GR201911003298,密云区
61,北京国培英才教育科技有限公司,GR201911001557,密云区
62,中石化重型起重运输工程有限责任公司,GR201911002180,密云区
63,北京职方科技有限公司,GR201911001446,密云区
64,来亨科技（北京）有限公司,GR201911001942,密云区
65,北京华德力士乐液压气动设备有限公司,GR201911003230,密云区
66,北京富华鑫标准件有限公司,GR201911003150,密云区
67,北京中嘉伟业液压件制造有限公司,GR201911002506,密云区
68,北京国建标工程设备科技有限公司,GR201911002157,密云区
69,北京德华力通液压件制造有限公司,GR201911002228,密云区
70,北京中防恒立人防设备有限公司,GR201911001533,密云区
71,北京博思伟业机电贸易有限公司,GR201911003410,密云区
72,北京中农斯达农业科技开发有限公司,GR201911002220,密云区
73,北京倍舒特妇幼用品有限公司,GR201911001325,密云区
74,北京阿尔卡管业有限公司,GR201911001996,密云区
75,蓝戈医药用品（北京）有限公司,GR201911002089,密云区
76,北京雅迪力特航空新材料股份公司,GR201911001176,密云区
77,北京鸿锐嘉科技发展有限公司,GR201911002312,密云区
78,中科鼎实环境工程有限公司,GR201911004784,密云区
79,北京中环膜材料科技有限公司,GR201911004665,密云区
80,北京巨象亿联科技有限责任公司,GR201911004348,密云区
81,北京康高特仪器设备有限公司,GR201911004085,密云区
82,北京中创智元科技有限公司,GR201911003671,密云区
83,鼎嘉鼎（北京）科技有限公司,GR201911004880,密云区
84,北京青鸟环宇消防系统软件服务有限公司,GR201911005216,密云区
85,北京可维汇众科技发展有限公司,GR201911004400,密云区
86,北京乐鸿宇科技有限公司,GR201911005036,密云区
87,北京仪创时代科技有限公司,GR201911003612,密云区
88,北京长立科技有限公司,GR201911003690,密云区
89,北京开元龙马科技有限公司,GR201911005117,密云区
90,北京儒博科技有限公司,GR201911005295,密云区
91,北京文钰琦信网络科技有限公司,GR201911005465,密云区
92,北京狼鹰科技有限公司,GR201911004578,密云区
93,北京宇航世纪超导技术有限公司,GR201911004395,密云区
94,北京康辰药业股份有限公司,GR201911004260,密云区
95,金诚信矿业管理股份有限公司,GR201911004025,密云区
96,博川环境修复（北京）有限公司,GR201911004086,密云区
97,北京智罗盘智能电气有限公司,GR201911005490,密云区
98,北京宝沃汽车股份有限公司,GR201911004594,密云区
99,北京龙鼎源科技股份有限公司,GR201911004709,密云区
100,北京兴迪仪器有限责任公司,GR201911003596,密云区
101,北京万润森泰机械有限公司,GR201911005039,密云区
102,天瑞恒（北京）矿业设备有限公司,GR201911004390,密云区
103,北京市京海换热设备制造有限责任公司,GR201911004292,密云区
104,中电正控（北京）电气有限公司,GR201911004606,密云区
105,中科隆声科技有限公司,GR201911003736,密云区
106,北京小鹿科技有限公司,GR201911007954,密云区
107,北京力达塑料制造有限公司,GR201911006354,密云区
108,北京圣洁防水材料有限公司,GR201911005519,密云区
