企业名称,企业类型
中国人寿保险股份有限公司北京市分公司密云营销服务部,股份有限公司分公司(上市、国有控股)
上海浦东发展银行股份有限公司北京密云支行,其他股份有限公司分公司(上市)
中国人民财产保险股份有限公司北京市密云支公司,股份有限公司分公司(上市、国有控股)
中国银行股份有限公司北京密云城西支行,其他股份有限公司分公司(上市)
北京银行股份有限公司季庄支行,其他股份有限公司分公司(上市)
中国建设银行股份有限公司北京密云新东路支行,其他股份有限公司分公司(上市)
中国人民财产保险股份有限公司北京市密云支公司第一营销服务部,其他股份有限公司分公司(上市)
中国人寿保险股份有限公司北京市密云支公司,股份有限公司分公司(上市、国有控股)
中国人民财产保险股份有限公司北京市密云支公司溪翁庄营销服务部,其他股份有限公司分公司(上市)
中国石油天然气股份有限公司北京密云利易泰加油站,其他股份有限公司分公司(上市)
北京东方雨虹防水技术股份有限公司密云分公司,股份有限公司分公司(上市、自然人投资或控股)
华夏银行股份有限公司北京密云支行,其他股份有限公司分公司(上市)
招商银行股份有限公司北京密云支行,其他股份有限公司分公司(上市)
北京康辰药业股份有限公司,股份有限公司(上市、自然人投资或控股)
金诚信矿业管理股份有限公司北京分公司,其他股份有限公司分公司(上市)
河北先河环保科技股份有限公司北京分公司,其他股份有限公司分公司(上市)
中国银行股份有限公司北京密云支行,其他股份有限公司分公司(上市)
中国建设银行股份有限公司北京果园新里北区支行,其他股份有限公司分公司(上市)
中国建设银行股份有限公司北京密云檀西路支行,其他股份有限公司分公司(上市)
合纵科技股份有限公司北京密云第一分公司,股份有限公司分公司(上市、自然人投资或控股)
合纵科技股份有限公司北京密云第二分公司,其他股份有限公司分公司(上市)
新大正物业集团股份有限公司北京第四分公司,其他股份有限公司分公司(上市)
新大正物业集团股份有限公司北京第五分公司,股份有限公司分公司(上市、自然人投资或控股)
海通证券股份有限公司北京密云鼓楼东大街证券营业部,其他股份有限公司分公司(上市)
中国电信股份有限公司北京市密云区分公司,其他股份有限公司分公司(上市)
中国电信股份有限公司北京密云鼓楼南大街营业厅,其他股份有限公司分公司(上市)
太极计算机股份有限公司密云分公司,其他股份有限公司分公司(上市)
迪阿股份有限公司北京第十三分公司,其他股份有限公司分公司(上市)
北京友宝在线科技股份有限公司,其他股份有限公司(上市)
雅派朗迪（北京）科技发展股份有限公司,股份有限公司(中外合资、未上市)
中国电信股份有限公司北京密云果园营业厅,其他股份有限公司分公司(上市)
中国农业银行股份有限公司北京密云支行,其他股份有限公司分公司(上市)
北京银行股份有限公司密云支行,其他股份有限公司分公司(上市)
北京北陆药业股份有限公司,其他股份有限公司(上市)
中国人寿保险股份有限公司北京市分公司密云太师屯营销服务部,股份有限公司分公司(上市、国有控股)
中国人民财产保险股份有限公司北京市分公司电子商务营业部,股份有限公司分公司(上市、国有控股)
北京歌华有线电视网络股份有限公司密云分公司溪翁庄营业厅,其他股份有限公司分公司(上市)
