行政许可决定文书号,项目名称,许可内容,行政相对人名称,统一社会信用代码,法定代表人,许可决定日期,许可截止日期,许可机关,所属区
（京）YHLS[2020]MY00001号,烟花爆竹经营（零售）许可,符合《烟花爆竹安全_级别、类别和标识标注》（DB11/ 358—2013）的产品,北京锐意天业科技有限公司,91110228689240433Y,蔡振兴,2020-1-19,2020-1-29,北京市密云区应急管理局,北京市密云区
（京）YHLS[2020]MY00002号,烟花爆竹经营（零售）许可,符合《烟花爆竹安全_级别、类别和标识标注》（DB11/ 358—2013）的产品,北京石城福泉居百货商店,92110228L41113354O,耿艳秋,2020-1-19,2020-1-29,北京市密云区应急管理局,北京市密云区
（京）YHLS[2020]MY00003号,烟花爆竹经营（零售）许可,符合《烟花爆竹安全_级别、类别和标识标注》（DB11/ 358—2013）的产品,北京天宇汇通商店,92110228MA00DUB266,熊建强,2020-1-19,2020-1-29,北京市密云区应急管理局,北京市密云区
（京）YHLS[2020]MY00004号,烟花爆竹经营（零售）许可,符合《烟花爆竹安全_级别、类别和标识标注》（DB11/ 358—2013）的产品,北京李大嘴牛羊肉店,92110228MA00HD9A4N,李民伟,2020-1-19,2020-1-29,北京市密云区应急管理局,北京市密云区
京密危化经字【2020】000004号,危险化学品经营许可,汽油、柴油[闭杯闪点≤60℃],北京春江水科贸有限公司,91110228102993103L,赵建萍,2020-8-24,2023-8-23,北京市密云区应急管理局,北京市密云区
京密危化经字【2020】000011号,危险化学品经营许可,丙烷、乙炔、氮[压缩的或液化的]、二氧化碳[压缩的或液化的]、氦[压缩的或液化的]、氩[压缩的或液化的]、氧[压缩的或液化的],北京东方巨龙气体有限公司,9111022873820435XL,刘杰,2020-4-23,2023-4-22,北京市密云区应急管理局,北京市密云区
京密危化经字﹝2019﹞000014号,危险化学品经营许可,硝酸银、过氧化氢溶液[含量＞8%]、2-丁氧基乙醇、乙二醇乙醚、溴、正磷酸、氢氧化钾、氢氧化钠、乙酸[含量＞80%]、三氯化铁溶液、三溴化硼、3-溴苯胺、四氯乙烯、二氯甲烷、环己酮、亚硝酸钠、甲醇、四氢呋喃、乙酸乙酯、正庚烷、2-丙醇、4-甲基-2-戊酮、乙酸乙二醇乙醚、二甲苯异构体混合物、乙二醇单甲醚、乙醇[无水],北京高环科贸有限公司,91110228102995117G,张相良,2019-12-8,2022-12-7,北京市密云区应急管理局,北京市密云区
京密危化经字【2020】000052号,危险化学品经营许可,柴油[闭杯闪点≤60℃]、汽油***,北京金秋旺商贸有限公司,91110228102988515Y,张志炜,2020-9-21,2023-9-20,北京市密云区应急管理局,北京市密云区
京密危化经字﹝2020﹞000006号,危险化学品经营许可,汽油,北京满誉能源控股有限公司,91110228MA01QAC2X3,邱宏满,2020-4-30,2023-4-29,北京市密云区应急管理局,北京市密云区
京密危化经字﹝2020﹞000006号,危险化学品经营许可,汽油、柴油[闭杯闪点≤60℃]***,北京满誉能源控股有限公司,91110228MA01QAC2X3,邱宏满,2020-7-9,2023-7-8,北京市密云区应急管理局,北京市密云区
京密危化经字【2020】000013号,危险化学品经营许可,乙炔、氮[压缩的或液化的]、二氧化碳[压缩的或液化的]、氩[压缩的或液化的]、氧[压缩的或液化的],北京市密云县金属材料公司,91110228102964513C,于海全,2020-6-7,2023-6-6,北京市密云区应急管理局,北京市密云区
京密危化经字【2020】000048号,危险化学品经营许可,柴油[闭杯闪点≤60℃]、汽油***,北京市密云县穆家峪加油站,91110228102969883Q,王立新,2020-9-30,2023-9-29,北京市密云区应急管理局,北京市密云区
京密危化经字【2020】000049号,危险化学品经营许可,柴油[闭杯闪点≤60℃]、汽油***,北京市密云县农大石加油站,91110228102978165M,葛哲怀,2020-9-30,2023-9-29,北京市密云区应急管理局,北京市密云区
京密危化经字【2020】000042号,危险化学品经营许可,柴油【闭杯闪点≤60℃】、汽油***,北京顺路行加油站有限公司,911102281030090751,王素琴,2020-5-10,2023-5-9,北京市密云区应急管理局,北京市密云区
