序号,工程名称,建设单位,施工单位,备案编号,备案部门,备案日期,,
1,密云县溪翁庄镇京密引水渠调节池东侧B-04地块（云溪花园住宅区）幼儿园,北京宁溪房地产开发有限责任公司,"

江苏南通二建集团有限公司

","0062密竣2020(建)0001号
","北京市密云区住房和城乡建设委员会
","2020-02-25
",,
2,"云溪花园B-02地块住宅小区B-1#住宅楼等16项（密云县溪翁庄镇京密引水渠调节池东侧A-02、B-02、B-03、B-04地块项目）
",北京宁溪房地产开发有限责任公司,"吉林省新土木建设工程有限责任公司
","0067密竣2020(建)0002号
","北京市密云区住房和城乡建设委员会
","2020-02-27
",,
3,"云溪花园B-02地块住宅小区A-1#住宅楼等18项（密云县溪翁庄镇京密引水渠调节池东侧A-02、B-02、B-03、B-04地块项目）
",北京宁溪房地产开发有限责任公司,"北京城建北方建设有限责任公司
","0068密竣2020(建)0003号
","北京市密云区住房和城乡建设委员会
","2020-02-27
",,
4,"宾阳西里住宅楼房项目30#住宅楼
","北京嘉翼宸房地产开发有限责任公司
","北京宾阳建筑工程有限公司
","0257密竣2020(建)0004号
","北京市密云区住房和城乡建设委员会
","2020-07-06
",,
5,"国家税务总局北京市密云区税务局附属用房维修改造工程
","国家税务总局北京市密云区税务局
","北京沃德溢成装饰工程有限公司
",0269密竣2020(装)0005号,"北京市密云区住房和城乡建设委员会
","2020-07-17
",,
6,"桃源一号住宅小区1号住宅楼等3项
","北京盛远世纪房地产开发有限公司
","中扶建设有限责任公司
","0371密竣2020(建)0006号
","北京市密云区住房和城乡建设委员会
",2020/9/8,,
7,"宾阳西里住宅楼房项目29#住宅楼
","北京嘉翼宸房地产开发有限责任公司
","北京宾阳建筑工程有限公司
","0411密竣2020(建)0007号
","北京市密云区住房和城乡建设委员会
","2020-9-29
",,
8,"北京中环膜材料科技有限公司装修工程
","北京中环膜材料科技有限公司
","北京建安达消防安全工程有限公司
","0548密竣2020(装)0008号
","北京市密云区住房和城乡建设委员会
","2020-11-17
",,
9,"1#生产车间（北京中新制药厂密云生产基地1号生产车间）
","北京中新药业股份有限公司
","北京云建城市建设工程有限公司
","0530密竣2020(建)0009号
","北京市密云区住房和城乡建设委员会
","2020-11-30
",,
10,"密云县清水湾小区（经济适用房）项目A-1#住宅楼等3项（密云县清水湾小区（经济适用房）项目）
","北京市密云区房地产开发总公司
","北京城建六建设集团有限公司
","0546密竣2020(建)0010号
","北京市密云区住房和城乡建设委员会
",2020/12/9,,
