序号,工程名称,施工许可证号,工程所在区县,建设单位,工程规模平方米,发证日期,建设地址,施工单位,监理单位,设计单位,,
1,北京市密云区穆家峪镇新农村刘林池村棚户区改造项目新农村回迁地块MY00-0400-0008(A地块)地块及MY00-0400-0014(B地块)地块回迁安置房,[2020]施[密]建字0033号,密云区,北京市密云区穆家峪镇新农村村经济合作社,147776.040平方米,2020/12/8 17:16:46,密云区穆家峪镇新农村,北京住总第二开发建设有限公司,北京化科工程管理有限公司,北京市住宅建筑设计研究院有限公司,,
2,北京市密云区穆家峪镇新农村刘林池村棚户区改造项目新农村回迁地块MY00-0400-0005（G地块）地块回迁安置房,[2020]施[密]建字0032号,密云区,北京市密云区穆家峪镇新农村村经济合作社,104723.740平方米,2020/12/2 15:01:41,密云区穆家峪镇新农村,北京住总第四开发建设有限公司,北京云湖建筑工程有限公司,北京市住宅建筑设计研究院有限公司,,
3,北京市密云区穆家峪镇新农村刘林池村棚户区改造项目新农村回迁地块MY00-0400-0027(F地块)地块回迁安置房,[2020]施[密]建字0031号,密云区,北京市密云区穆家峪镇新农村村经济合作社,116705.000平方米,2020/11/27 18:06:51,密云区穆家峪镇新农村,北京住总第三开发建设有限公司,北京光华建设监理有限公司,北京市住宅建筑设计研究院有限公司,,
4,回迁安置房,[2020]施[密]建字0030号,密云区,北京市密云区穆家峪镇刘林池村经济合作社,155674.370平方米,2020/11/24 17:36:58,密云区穆家峪镇刘林池村,北京住总第一开发建设有限公司,北京方正建设工程管理有限公司,北京市住宅建筑设计研究院有限公司,,
5,密云县密西路19号院八区5-6号楼装修改造,[2020]施[密]装字0029号,密云区,中海阳（北京）光电子技术有限公司,5925.210平方米,2020/10/28 14:28:06,密云区密云县密西路19号院八区,北京兴电长明建设工程有限公司,,北京炎黄联合国际工程设计有限公司,,
6,北京市密云区第二幼儿园分园加固改造工程,[2020]施[密]装字0028号,密云区,北京市密云区第二幼儿园,1344.480平方米,2020/10/23 14:53:20,密云区果园街道果园新里中区,北京坤宝城市建设工程有限公司,北京首发工程监理有限公司,北京利时怀阳建筑设计有限公司,,
7,密云经济开发区三期A1地块MY00-0302-6010等地块R2二类居住用地、A33基础教育用地项目（12班幼儿园等3项）,[2020]施[密]建字0027号,密云区,北京恒云盛置业有限公司,4379.670平方米,2020/10/20 11:13:07,密云区0302街区0015地块,江苏省苏中建设集团股份有限公司,广州市恒合工程监理有限公司,天津市天友建筑设计股份有限公司,,
8,国网北京密云供电公司运维检修用房,[2020]施[密]市政字0026号,密云区,国网北京市电力公司,6833.610平方米,2020/9/27 10:23:39,密云区新中街3号,北京东旭建筑装饰工程有限公司,北京环乔工程咨询有限公司,北京清尚建筑设计研究院有限公司,,
9,密云新城顺潮街（京承高速顺密路立交-新东路）天燃气管线工程,[2020]施[密]市政字0025号,密云区,北京燃气密云有限公司,3279.00米,2020/9/23 16:12:04,由密云区领潮路经顺潮街到密云区新东路,北京市隆城市政工程有限公司,北京四方工程建设监理有限责任公司,北京市公用工程设计监理有限公司,,
10,密云区圣水泉路二期天燃气管线工程（圣水泉路二期天燃气管线工程）,[2020]施[密]市政字0024号,密云区,北京燃气密云有限公司,832.00米,2020/9/23 16:12:04,密云区由圣水泉路与启源三街交叉路口经圣水泉路到圣水泉路与顺潮街交叉口,北京政平建设投资集团有限公司,北京四方工程建设监理有限责任公司,北京市煤气热力工程设计院有限公司,,
11,地球系统数值模拟装置（开关站）,[2020]施[密]建字0023号,密云区,中国科学院大气物理研究所,487.020平方米,2020/9/18 17:48:37,密云区西田各庄镇云西二街北侧、云西二路西侧,中铁建设集团有限公司,北京市曙晨工程建设监理有限责任公司,中国城市建设研究院有限公司,,
12,新一代互联网云计算产创基地,[2020]施[密]装字0022号,密云区,北京电信易通云计算技术有限公司,17678.870平方米,2020/9/3 17:03:51,密云区科技路1号院8号楼,中建一局集团建设发展有限公司,深圳市都信建设监理有限公司,信息产业电子第十一设计研究院科技工程股份有限公司,,
13,北京市密云区檀营乡6023等地块R2二类居住用地、A33基础教育用地项目（11#住宅楼等23项）,[2020]施[密]建字0021号,密云区,北京祥晟辉年置业有限公司,97334.070平方米,2020/8/18 11:20:04,密云区檀营乡檀西路东侧,北京住总第一开发建设有限公司,北京光华建设监理有限公司,北京维拓时代建筑设计股份有限公司,,
14,北京市密云区檀营乡6023等地块R2二类居住用地、A33基础教育用地项目（6024地块幼儿园等2项）,[2020]施[密]建字0020号,密云区,北京祥晟辉年置业有限公司,3597.530平方米,2020/8/18 11:05:04,密云区檀营乡檀西路东侧,北京住总第六开发建设有限公司,北京光华建设监理有限公司,北京维拓时代建筑设计股份有限公司,,
15,密云区溪翁庄镇水库南路中压天然气管线工程,[2020]施[密]市政字0019号,密云区,北京燃气密云有限公司,1065.00米,2020/8/14 16:55:04,密云区溪翁庄镇,北京市北卫市政工程有限责任公司,北京四方工程建设监理有限责任公司,北京市公用工程设计监理有限公司,,
16,密云经济开发区三期A1地块MY00-0302-6010等地块R2二类居住用地、A33基础教育用地项目（6014地块1#住宅楼等17项）,[2020]施[密]建字0018号,密云区,北京恒云盛置业有限公司,81811.040平方米,2020/8/10 11:55:04,密云区经济开发区0302街区科技路6014地块,江苏省苏中建设集团股份有限公司,"广州市恒合工程监理有限公司,中铁华铁工程设计集团有限公司",天津市天友建筑设计股份有限公司,,
17,密云经济开发区三期A1地块MY00-0302-6010等地块R2二类居住用地、A33基础教育用地项目（6010地块1#住宅楼等23项）,[2020]施[密]建字0017号,密云区,北京恒云盛置业有限公司,118818.470平方米,2020/8/7 10:45:04,密云区经济开发区0302街区科技路,江苏省苏中建设集团股份有限公司,"中铁华铁工程设计集团有限公司,广州市恒合工程监理有限公司",天津市天友建筑设计股份有限公司,,
18,北京市密云区檀营乡6023等地块R2二类居住用地、A33基础教育用地项目（1#住宅楼等12项）,[2020]施[密]建字0016号,密云区,北京祥晟辉年置业有限公司,76591.640平方米,2020/8/3 11:35:03,密云区檀营乡,北京住总第六开发建设有限公司,北京光华建设监理有限公司,北京维拓时代建筑设计股份有限公司,,
19,西智村医疗养老设施,[2020]施[密]建字0015号,密云区,北京市密云区西田各庄镇西智股份经济合作社,973.180平方米,2020/8/3 11:15:03,密云区西田各庄镇西智村,中泰辉煌(北京)建设工程有限公司,北京市京建朋建筑工程监理有限公司,北京立人建筑设计有限公司,,
20,新王庄村医疗养老设施,[2020]施[密]建字0014号,密云区,北京市密云区西田各庄镇新王庄股份经济合作社,850.100平方米,2020/8/3 11:10:04,密云区西田各庄镇新王庄村,北京云湖建筑工程有限公司,北京市京建朋建筑工程监理有限公司,北京立人建筑设计有限公司,,
21,京能密云建材市场住宅项目（1#住宅楼等15项）,[2020]施[密]建字0013号,密云区,北京京能云泰房地产开发有限公司,91658.520平方米,2020/7/22 15:20:03,密云区鼓楼街道阳光街南侧,北京京能建设集团有限公司,北京中景恒基工程管理有限公司,北京天地都市建筑设计有限公司,,
22,北京市密云区溪翁庄MY02-0201-6001地块(原圆明三园C地块)R2二类居住用地项目(20#住宅楼等25项),[2020]施[密]建字0012号,密云区,北京臻德兴云置业有限公司,95234.960平方米,2020/7/21 16:25:02,密云区溪翁庄镇MY02-0201-6001地块,华济建设工程集团有限公司,中科金石（北京）工程咨询有限公司,中国建筑设计研究院有限公司,,
23,密云区穆家峪镇新农村刘林池村棚户区改造项目(新农村回迁地块MY00-0400-0016（C地块）、MY00-0400-0033（D地块））回迁安置房,[2020]施[密]建字0011号,密云区,北京市密云区穆家峪镇新农村村经济合作社,196617.410平方米,2020/7/21 11:00:03,密云区穆家峪镇新农村村,北京住总第六开发建设有限公司,"北京中建协工程咨询有限公司,北京光华建设监理有限公司",北京市住宅建筑设计研究院有限公司,,
24,密云经济开发区三期A1地块MY00-0302-6010等地块R2二类居住用地、A33基础教育用地项目（6012地块1#住宅楼等28项）,[2020]施[密]建字0010号,密云区,北京恒云盛置业有限公司,138997.310平方米,2020/7/15 15:40:02,密云区经济开发区科技路（密云新城0302街区6012地块）,江苏省苏中建设集团股份有限公司,"华铁工程咨询有限责任公司,广州市恒合工程监理有限公司",天津市天友建筑设计股份有限公司,,
25,国家民用空间基础设施“十三五”陆地观测卫星地面系统建设项目（“十三五”陆地观测卫星地面系统建设项目3#天线基座等4项）,[2020]施[密]建字0009号,密云区,中国科学院空天信息创新研究院,4.000平方米,2020/6/24 15:55:02,密云区溪翁庄镇金叵罗村,方圆化集团有限公司, 北京中科国金工程管理咨询有限公司 ,中科院建筑设计研究院有限公司,,
26,密云区2019年度老旧小区综合整治工程（一标段）,[2020]施[密]装字0008号,密云区,北京市密云区房地产开发总公司,25402.000平方米,2020/6/3 14:45:03,密云区兴云小区,河南七建工程集团有限公司,北京首发工程监理有限公司,北京构易建筑设计有限公司,,
27,密云区2019年度老旧小区综合整治工程（二标段）,[2020]施[密]装字0007号,密云区,北京市密云区房地产开发总公司,101837.000平方米,2020/6/3 14:45:03,密云区东菜园小区,北京城建道桥建设集团有限公司,北京首发工程监理有限公司,北京构易建筑设计有限公司,,
28,密云新城顺潮街（京承高速顺密路立交-新东路）管线工程,[2020]施[密]市政字0006号,密云区,北京市密云区城市管理委员会,15060.10米,2020/4/29 14:35:04,由密云区京承高速顺密路立交经顺潮街到密云区新东路,中国新兴建设开发有限责任公司,北京东方华太建设监理有限公司,长春市市政工程设计研究院,,
29,密云区长安新村和南菜园新村旧城改建棚户区改造项目大市政雨污再生水燃气工程（密云区水源路北侧住宅项目段）,[2020]施[密]市政字0005号,密云区,北京绿州博园投资有限公司,678.00米,2020/4/26 11:00:02,南更大街（密云区水源路北侧住宅项目段）,北京三人成建设工程有限公司,北京东方华太建设监理有限公司,"北京市公用工程设计监理有限公司,北京市市政工程设计研究总院有限公司",,
30,密云区长安新村和南菜园新村棚户区改造项目大市政给水工程（密云区长安新村和南菜园新村棚户区改造项目大市政给水工程）,[2020]施[密]市政字0004号,密云区,北京绿州博园投资有限公司,1068.90米,2020/4/9 17:20:02,密云区南更大街、承安西街,北京市自来水集团禹通市政工程有限公司,北京东方华太建设监理有限公司,北京市自来水设计有限责任公司,,
31,塘峪220千伏输变电工程,[2020]施[密]市政字0003号,密云区,国网北京市电力公司,3595.480平方米,2020/2/29 16:25:01,密云区巨各庄镇塘峪村东侧密三路南侧,北京电力工程有限公司,北京吉北电力工程咨询有限公司,北京电力经济技术研究院有限公司,,
32,北京市密云县双龙水泥集团住宅项目（云凤庄园住宅区H1号住宅楼）,[2020]施[密]建字0002号,密云区,北京新博城房地产开发有限公司,963.450平方米,2020/1/22 10:00:03,密云区密溪路90号院,河北建设集团天辰建筑工程有限公司, 北京宏远工程建设管理有限责任公司 ,北京中机一院工程设计有限公司,,
33,中铁十六局集团有限公司路桥公司密云新北路29号院棚户区改造项目（中铁十六局集团有限公司路桥公司密云新北路29号院棚户区改造项目MY00-0202-6006地块1#住宅楼等18项）,[2020]施[密]建字0001号,密云区,中铁十六局集团有限公司,100071.540平方米,2020/1/6 17:10:02,密云区新北路29号,中铁十六局集团有限公司,北京化科工程管理有限公司,北京汉通建筑规划设计有限公司,,
34,北京市密云区李各庄路0602、0603地块二类居住及基础教育用地项目（幼儿园等2项）,[2019]施[密]建字0040号,密云区,北京隽成房地产开发有限公司,3386.000平方米,2019/12/31 10:25:02,密云区李各庄路,常州利骏建筑工程有限公司,北京双诚建设监理公司,北京新纪元建筑工程设计有限公司,,
35,密云区溪翁庄MY02-0201-6001地块(原圆明三园C地块)R2二类居住用地项目(6#住宅楼等25项),[2019]施[密]建字0039号,密云区,北京臻德兴云置业有限公司,66950.160平方米,2019/12/31 10:25:02,密云区溪翁庄镇MY02-0201-6001地块,华济建设工程集团有限公司,中科金石（北京）工程咨询有限公司,中国建筑设计研究院有限公司,,
36,君山官邸2号楼装修改造项目,2020施（密）装字9183号,密云区,北京慧诚房地产开发有限公司,4165.88,2020.2.25,君山官邸2号楼,华济建设工程集团有限公司 ,,中国建筑设计研究院有限公司 ,,
