序号,企业名称,经营地址（区）,经营地址（街道）,执法任务类型,检查内容,现场检查文书编号,现场检查时间,现场检查结果,复查文书,复查时间,复查结果
1,北京鑫帝发酒业有限责任公司,密云区,河南寨镇,日常,生产经营单位是否如实记录安全生产教育和培训情况,(京密)应急现记〔2023〕执00578号,2023年04月12日,合格,,,
2,北京京东方真空电器有限责任公司,密云区,经济开发区,重点,生产经营单位的特种作业人员是否取得特种作业操作资格证书、上岗作业;生产经营单位是否建立事故隐患排查治理制度，重大事故隐患排查治理情况是否按照规定报告;生产经营单位是否制定本单位的应急预案演练计划，根据本单位的事故风险特点，每年至少组织一次综合应急预案演练或者专项应急预案演练，每半年至少组织一次现场处置方案演练,(京密)应急现记〔2023〕执02212号,2023年10月24日,合格,,,
3,北京宏盛沣达商店,密云区,鼓楼街道办事处,日常,生产经营场所和员工宿舍是否设有符合紧急疏散要求、标志明显、保持畅通的出口，出口未锁闭、封堵,(京密)应急现记〔2023〕执00005号,2023年01月04日,合格,,,
4,中铁六局集团丰桥桥梁有限公司北京分公司,密云区,密云镇,日常,气瓶间房门未有效锁闭;气瓶间内绝缘胶垫积尘毛絮未及时清理;未与液化气供应单位签订专门的安全生产管理协议,(京密)应急现记〔2024〕执01122号,2024年05月14日,不合格,(京密)应急复查〔2024〕执00129号,2024年05月21日,合格
5,北京禹文发馒头加工店,密云区,河南寨镇,日常,生产经营场所和员工宿舍是否设有符合紧急疏散要求、标志明显、保持畅通的出口，出口未锁闭、封堵;生产经营单位及其主要负责人或者其他人员是否违反操作规程或者安全管理规定作业,(京密)应急现记〔2023〕执02810号,2023年12月25日,合格,,,
6,北京小玩乐饮品有限公司,密云区,经济开发区,日常,生产经营单位是否在有较大危险因素的生产经营场所和有关设施、设备上，设置明显的安全警示标志,(京密)应急现记〔2023〕执02613号,2023年12月06日,合格,,,
7,北京太师屯腾飞广告设计部,密云区,太师屯镇,日常,生产经营场所和员工宿舍是否设有符合紧急疏散要求、标志明显、保持畅通的出口，出口未锁闭、封堵,(京密)应急现记〔2023〕执00658号,2023年04月18日,合格,,,
8,北京顺彩飞鑫商行,密云区,密云镇,日常,生产经营单位及其主要负责人或者其他人员是否违反操作规程或者安全管理规定作业,(京密)应急现记〔2023〕执01263号,2023年06月15日,合格,,,
9,北京北铃专用汽车有限公司,密云区,经济开发区,日常,生产经营场所和员工宿舍是否设有符合紧急疏散要求、标志明显、保持畅通的出口，出口未锁闭、封堵;生产经营单位及其主要负责人或者其他人员是否发现从业人员违章作业不加制止,(京密)应急现记〔2024〕执00110号,2024年01月19日,合格,,,
10,首云矿业股份有限公司,密云区,巨各庄镇,日常,生产经营单位及其主要负责人或者其他人员是否违反操作规程或者安全管理规定作业,(京密)应急现记〔2023〕执00287号,2023年03月15日,合格,,,
