一、水环境重点排污单位名录(7家),Unnamed: 1,Unnamed: 2,Unnamed: 3
序号,行政区划名称,统一社会信用代码,单位名称
,,(或组织机构代码),
1,密云区,911102287567016960,北京厚成泰克汽车部件有限公司
2,密云区,121102284010107008,北京市密云区医院
3,密云区,91110228059261424D,北京格润美云环境治理有限公司-密云新城再生水厂
4,密云区,91110000102967714K,北京科勒有限公司
5,密云区,911100001029683968,北京青岛啤酒三环有限公司
6,密云区,91110118MAD1LXNN0W,北京密云云深再生水有限公司
7,密云区,91110228754175237Y,北京康辰药业股份有限公司
二、地下水污染防治重点排污单位（3家）,,,
序号,行政区划名称,统一社会信用代码,单位名称
,,(或组织机构代码),
1,密云区,91110228102968469B,北京威克冶金有限责任公司
2,密云区,91110228103006667J,北京云冶矿业有限责任公司
3,密云区,91110228802974181X,首云矿业股份有限公司
三、大气环境重点排污单位名录(12家),,,
序号,行政区划名称,统一社会信用代码,单位名称
,,(或组织机构代码),
1,密云区,911102285674737815(01),北京云西海博物业管理有限公司
2,密云区,9111022874263749XJ,北京嘉宏供热有限公司
3,密云区,91110228788966934G,北京恒通园供暖有限公司
4,密云区,911102287693666048,北京悦居热力有限公司
5,密云区,911102281029907549(01),北京温塔热力有限公司-热力一站
6,密云区,911102281029907549(03),北京温塔热力有限公司-热力三站
7,密云区,911102281029907549(02),北京温塔热力有限公司-热力二站
8,密云区,91110228795106393X,北京热必达供暖有限公司
9,密云区,911101081011156992,北京科利源热电有限公司-溪翁庄锅炉房（一期）
10,密云区,91110228MA00336W1D,北京绿色动力再生能源有限公司
11,密云区,91110228MA003YL18R,龙正环保股份有限公司北京分公司
12,密云区,91110228766777307X,北京博恩特药业有限公司
四、噪声重点排污单位名录（0家）,,,
五、土壤污染重点监管单位名录(1家),,,
序号,行政区划名称,统一社会信用代码,单位名称
,,(或组织机构代码),
1,密云区,91110000102967714K,北京科勒有限公司
六、环境风险重点监管名录(5家),,,
序号,行政区划名称,统一社会信用代码,单位名称
,,(或组织机构代码),
1,密云区,12110228401008505R,北京市密云区环境卫生服务中心
2,密云区,91110000102967714K,北京科勒有限公司
3,密云区,91110228MA00336W1D,北京绿色动力再生能源有限公司
4,密云区,91110228748103675M,新韩（北京）汽车配件系统有限公司
5,密云区,9111022867740295X4,德昌电机（北京）有限公司
