序号,企业（机构）名称
1,小鹰展翅（北京）科技有限公司
2,北京植田生物科技有限责任公司
3,北京汉威成广告有限公司
4,北京妙利森餐饮管理有限公司
5,北京丝绸之路和平智库信息咨询有限公司
6,北京中盈文创文化传媒有限公司
7,北京颐升石餐饮有限公司
8,北京贝德养老服务有限公司
9,北京鑫浩科盛科技有限公司
10,北京福海棠科贸有限公司
11,北京维克创想文化传播有限公司
12,安徽瑞庆德商务有限公司北京分公司
13,北京森利文化传播有限公司
14,北京启商同创商贸有限公司
15,北京金澜世家商贸有限公司
16,北京伍庚电子商务有限公司
17,北京昊宇双腾建设发展有限公司
18,国弘（北京）能源有限公司
19,北京艾金特进出口有限公司
20,北京澜悦港餐饮管理有限公司
21,北京修墨教育科技有限公司
22,北京大国极尚电器有限公司
23,北京亮博商业管理有限公司
24,北京泽诚华环环保科技有限公司
25,北京予遥餐饮有限公司
26,北京高山阳光旅游开发有限公司
27,北京康湃机电设备工程公司
28,北京华城兄妹生物科技有限公司
29,北京博壹时代科技有限公司
30,北京华盛智诺文化传播有限公司
31,北京中企开源化工产品有限公司
32,北京天惠建筑有限责任公司第二分公司
33,北京国光帮帮设备安装工程有限公司
34,北京亿亩地科技有限责任公司
35,北京德诗科技有限公司
36,北京环域互联科技发展中心（有限合伙）
37,易族（北京）科技发展有限公司
38,北京华大天太文化传媒有限公司
39,北京坤航科技有限公司
40,北京四方水木国际人力资源有限公司
41,北京霞辉宏顺商贸有限公司
42,北京合创鑫丰贸易有限公司
43,北京灵丽贵华科技有限公司
44,北京沃艾客便利店连锁有限公司
45,北京匠心客教育科技有限公司
46,北京客洛宜商贸有限公司
47,北京嘉恒天成景观设计咨询有限公司
48,北京爱华友诚服装设备有限公司
49,北京市密云京东酿造厂
50,北京瑞海亿星贸易咨询有限公司
51,北京欧亚美联广告有限公司
52,北京爽心福利果脯厂
53,北京云琛未来科技有限公司
54,北京亿亩地科技有限责任公司北京密云分公司
55,北京国润东方生物科技有限公司
56,北京华夏文明东方非物质文化遗产保护发展中心
57,北京职安健业科技中心
58,北京弘弋晟世商贸有限公司
59,中控开诚（北京）科技集团有限公司
60,北京宏燕科技有限公司
61,北京建昌海达科技有限公司
62,北京冀衡广告有限公司
63,北京龙福瑞商贸有限公司
64,北京世纪创展木业有限公司
65,北京雯帆商贸有限公司
66,北京帮拍科技开发有限公司
67,北京品木源家具有限公司
68,北京佰惠商贸有限公司
69,北京鼎样瑞科技有限公司
70,北京掌贝网络科技有限公司
71,北京水木禾山工程有限公司
72,北京四季松商贸有限公司
73,北京京浩商贸有限公司
