序号,企业名称,社会统一信用代码
1,联通智网科技股份有限公司,91110228351596010W
2,北京汉典制药有限公司,91110228774727334N
3,联通航美网络有限公司,91110228MA00C1PR5E
4,北京鑫泰绿能科技有限公司,91110228MA00789G5H
5,北京天地融创科技股份有限公司,91110115MA0054MEXH
6,北京金东高科科技有限公司,91110105318292189L
7,北京神州泰业科技发展有限公司,91110105064921140Q
8,北京大豪工缝智控科技有限公司,9111010578481938X5
9,北京中环鑫融科技有限公司,9111010267425252XE
10,北京梵客家居科技有限公司,91110112MA0081B030
11,北京京隽科技有限公司,91110228MA01ARC108
12,北京迪科瑞德科技有限公司,911101087239618334
13,中铁十六局集团路桥工程有限公司,91110000102978392X
14,北京华尊建设集团有限公司,91110108102020950N
15,北京金尼斯电子技术有限责任公司,91110108633725589A
16,北京麦康医疗器械有限公司,9111010678861703XJ
17,北京芝参堂药业有限公司,91110228097106433A
18,开能康德威健康科技（北京）有限责任公司,91110228MA01HKB564
19,东为商业集团有限公司,91110102080460460N
20,北京欧美环境工程有限公司,91110105339794612R
21,和德数保（北京）科技有限公司,9111011668437204XH
22,北京恒久实验设备有限公司,911102286963759261
23,北京大地云网科技有限公司,91110228MA001CWW0Q
24,北京科力强电子有限公司,91110112717730895C
25,北京城房云智慧科技有限公司,91110108MA01GY0WX8
26,北京力拓铭达机电安装工程有限公司,91110106053620705D
27,北京元驰液压制造有限公司,91110228747527185T
28,北京中锐体育产业有限公司,91110105335426978B
29,北京龙田华远科技有限公司,91110101579009548B
30,北京通成网联科技有限公司,9111022856576872XD
31,琪玥环保设备（北京）有限公司,91130225MA09T0KT8B
32,北京大疆实业有限公司,911102281030054292
33,北京莱比特环保科技有限公司,91110228661581463A
34,北京宏基世达液压有限公司,911102287461388662
35,北京华电森源电气有限公司,911102285877419664
36,北京杜根鸿运科技发展有限公司,911102286757353550
37,北京棋淼工贸有限公司,91110228059279472X
38,北京东方威特称重设备系统有限公司,91110228681959857D
39,北京创捷科技有限公司,91110228MA0046BR6K
40,北京筑工建设工程有限公司,911102281029981075
41,北京实干兴邦科技有限公司,9111010533039361X4
42,北京安科德膜分离工程科技有限公司,91110105765022666F
43,中智游（北京）科技有限公司,91110114318019123C
44,北京瑞友云智科技有限责任公司,91110118MA028K7E6Y
45,北京真家科技有限责任公司,91110228MA01E1BJ2U
46,北京嘉捷汉华机电设备有限公司,911102285636973905
47,北京鸿耀科技发展有限公司,91110228775474703N
48,北京美兰德媒体传播策略咨询有限公司,9111022874008449XP
49,中嘉锦诚（北京）科技有限公司,911102286916850525
50,北京云浩印刷有限责任公司,9111022810296955X5
51,北京闻信智远信息科技有限公司,91110228680482401G
52,北京仁创科技发展有限公司,911102281030011107
53,北京天弘瑞智科技有限公司,91110116335441481K
54,北京一零一生态地质检测有限公司,91110228MA002CLX4G
55,北京邮科科技有限公司,91110108782511437Y
56,北京嘉镒新能源技术有限公司,91110105MA00EGCG40
57,北京旋安特传动技术开发有限公司,91110228103005269T
58,北京中研硕福科技有限公司,91110228318291813T
59,北京博识广联科技有限公司,91110228MA0058BM6M
60,北京时空天地科技有限公司,91110108MA01D0XGXG
