企业名称,许可文书号,许可证号,许可日期,有效期至,许可范围,许可机关,数据获取时间
北京京建华工程监理有限责任公司,0014230612006599,E211007212,2020-02-12,2025-02-12,/,北京市住房和城乡建设委员会,/
北京中铁诚业工程建设监理有限公司,0014230616001723,E211007052,2020-06-05,2025-01-21,/,北京市住房和城乡建设委员会,/
建研凯勃建设工程咨询有限公司,0014230210002724,E211006308,2023-03-17,2028-03-16,/,北京市住房和城乡建设委员会,/
建研凯勃建设工程咨询有限公司,0014230316002563,E211006308,2023-03-17,2028-03-16,/,北京市住房和城乡建设委员会,/
北京顺政通工程监理有限公司,0014230605000708,E111006931,2019-08-23,2024-08-23,/,北京市住房和城乡建设委员会,/
北京航青工程建设监理有限责任公司,0014230328000610,E211006114,2019-05-22,2024-05-22,/,北京市住房和城乡建设委员会,/
北京航青工程建设监理有限责任公司,0014230302005370,E211006114,2019-05-22,2024-05-22,/,北京市住房和城乡建设委员会,/
北京市顺金盛建设工程监理有限责任公司,0014230601000591,E111007231,2019-08-01,2024-08-01,/,北京市住房和城乡建设委员会,/
北京金都园林绿化有限责任公司,0014230609008058,E211016974,2018-08-15,2023-12-31,/,北京市住房和城乡建设委员会,/
北京京建华工程监理有限责任公司,0014230612006599,E111007215,2020-01-06,2025-01-06,/,北京市住房和城乡建设委员会,/
北京铁城建设监理有限责任公司,0014230511006463,E211005662,2018-05-30,2023-12-31,/,北京市住房和城乡建设委员会,/
建研凯勃建设工程咨询有限公司,0014230210002724,E111006301,2020-06-02,2024-07-03,/,北京市住房和城乡建设委员会,/
建研凯勃建设工程咨询有限公司,0014230316002563,E111006301,2020-06-02,2024-07-03,/,北京市住房和城乡建设委员会,/
北京光华建设监理有限公司,0014230109001483,E111001625,2019-07-03,2024-07-03,/,北京市住房和城乡建设委员会,/
北京鼎信建业工程管理有限公司,0014230110005221,E211005348,2020-04-28,2024-08-01,/,北京市住房和城乡建设委员会,/
北京鼎信建业工程管理有限公司,0014230118002013,E211005348,2020-04-28,2024-08-01,/,北京市住房和城乡建设委员会,/
中民防(北京)工程管理有限公司,0014230315008366,E211018864,2017-11-24,2023-12-31,/,北京市住房和城乡建设委员会,/
北京华厦工程项目管理有限责任公司,0014220217004092,E111006407,2019-07-29,2024-07-29,/,北京市住房和城乡建设委员会,/
北京仁源利云建设工程管理有限公司,0014230228003836,E211025022,2019-08-06,2024-08-06,/,北京市住房和城乡建设委员会,/
北京海建工程建设监理有限责任公司,0014230330008789,E211005196,2016-07-14,2023-12-31,/,北京市住房和城乡建设委员会,/
北京高屋工程咨询监理有限公司,0014230608001713,E111007005,2019-08-01,2024-08-01,/,北京市住房和城乡建设委员会,/
中国船级社实业有限公司,0014230530000615,E211015174,2020-07-10,2024-07-25,/,北京市住房和城乡建设委员会,/
