业户名称,评定等级,所属区域,年度,统一社会信用代码
四达国际旅行社有限公司,B,朝阳运输管理分局,2022,91110105101201864R
北京水木通达运输有限公司,A,海淀运输管理分局,2022,91110114MA017TN52W
新国线运输集团北京京汉运输有限公司,A,丰台运输管理分局,2022,911101156259053792
北京铭宇佳业客运有限公司,A,怀柔交通局,2022,91110116057388982G
北京四海同心客运有限公司,A,,2022,91110116662181672X
北京赶趟出行科技有限公司,A,经开区城市运行局,2022,91110302MA0049KA2A
北京温都水城旅游饭店管理有限公司,AA,昌平,2019,91110114749356463C
北京渔阳出租汽车集团有限公司,AA,平谷,2019,911100001029182777
北京北汽出租汽车集团有限责任公司,AAA,西城,2019,91110000633692131T
交通国际旅行社有限公司,AAA,朝阳,2019,91110105710925876F
北京海天腾飞运输有限公司,A,,2024,911101061022976266
北京上场汽车租赁有限公司,B,,2024,91110106339813887P
北京国汇兴客运有限公司,A,,2024,91110106MA01AE8K53
北京龙海恒安旅游客运有限公司,A,,2024,911101086819573848
北京顺威狮星新能源科技有限公司,A,,2024,91110113MAD29UF5X4
北京平安胜达客运有限公司,B,,2024,91110116MA0205H19K
北京八达岭旅游有限公司,A,,2024,91110229103049675G
北京青年旅行社股份有限公司,A,朝阳,2023,91110000101200159U
北京赛笛芭诗城市观光旅行社有限公司,A,西城,2023,911101026662827378
中旅旅游汽车有限公司,A,朝阳,2023,91110105101129049G
北京驰锐汽车租赁有限公司,A,丰台,2023,91110106682884594W
北京悦驰旅游客运服务有限公司,B,,2023,91110111MA01PGUL0T
北京兴顺达通企业管理有限公司,B,,2023,91110115MA01AA0P4T
北京渔阳出租汽车集团有限公司,A,平谷交通局,2022,911100001029182777
新国线集团北京省际客运股份有限公司,A,西城运输管理分局,2022,911100006336461438
北京北汽九龙出租汽车股份有限公司,A,西城运输管理分局,2022,91110000710936778H
北京旅游集散中心有限责任公司,A,东城运输管理分局,2022,91110101773351785P
北京天马旅行社有限公司,A,西城运输管理分局,2022,9111010210171503XW
北京天平国际旅行社,B,东城运输管理分局,2022,91110105101103375D
北京海天腾飞运输有限公司,A,丰台运输管理分局,2022,911101061022976266
北京广运恒通汽车服务有限公司,B,,2022,91110111055579590L
北京未来科学城汽车租赁有限公司,B,,2022,91110114059291439N
北京中辉国际旅游有限公司,A,怀柔交通局,2022,91110116MA00AP6P2G
北京金城顺旅游客运有限公司,A,密云交通局,2022,91110228MA01YQJG60
新国线运输集团有限公司,AA,丰台,2019,91110000726340629X
中旅商务旅行服务有限公司,AAA,朝阳,2019,911101057109262627
北京城乡旅游汽车出租有限责任公司,AAA,朝阳,2019,9111010563369142XP
北京公交集团亦庄运营管理有限公司,A,经开区城市运行局,2022,91110302MA01THLG7C
中国国际旅行社总社有限公司,A,,2024,911100001013930695
北京新国线安泽运输有限公司,A,,2024,911101011021697633
北京博大忠强旅游客运有限公司,B,,2024,91110102MABQ3Q0P28
北京首钢园区综合服务有限公司,A,,2024,91110107071737042K
北京天行健汽车租赁有限公司,A,,2024,911101076699061460
北京凯捷风公交客运有限责任公司,A,,2024,91110111678246434B
北京未来科学城汽车租赁有限公司,A,,2024,91110114059291439N
北京天路客运有限公司,A,,2024,91110114400927454U
北京九州行汽车服务有限公司,A,,2024,91110114MAC4GUUH1H
北京顺亿达运力科技集团有限公司,A,,2024,91110115MA01XX8C7J
北创时代（北京）旅游客运有限公司,B,,2023,91110113MA01KXPY4N
北京未来科学城汽车租赁有限公司,A,昌平,2023,91110114059291439N
北京九州行汽车服务有限公司,A,昌平,2023,91110114MAC4GUUH1H
北京高客长途客运有限责任公司,A,丰台,2023,91110115802897278T
北京北汽出租汽车集团有限责任公司,A,西城运输管理分局,2022,91110000633692131T
北京京铁欣途出租汽车有限公司,A,丰台运输管理分局,2022,91110106101246157U
北京天行健汽车租赁有限公司,A,石景山运输管理分局,2022,911101076699061460
北京凯捷风公交客运有限责任公司,A,房山交通局,2022,91110111678246434B
北京福地青云国际旅行社有限公司,A,大兴交通局,2022,91110115599699320P
北京顺亿达运力科技集团有限公司,B,,2022,91110115MA01XX8C7J
赛特国际旅行社,___,朝阳,2019,91110000101721595X
四达国际旅行社有限公司,AA,朝阳,2019,91110105101201864R
北京畅的科技开发有限公司,AA,朝阳,2019,911103023443550757
北京旅游集散中心有限责任公司,AAA,东城,2019,91110101773351785P
北京八百里汽车服务有限公司,B,,2024,91110102MACUYT8G2U
北京民航机场巴士有限公司,A,,2024,91110105101255715M
北京阿尔萨客运有限公司,A,,2024,91110105600026028M
北京驰锐汽车租赁有限公司,A,,2024,91110106682884594W
北京悦驰旅游客运服务有限公司,A,,2024,91110111MA01PGUL0T
银建国际旅行社有限公司,A,,2024,91110113101737503H
氢动力（北京）科技服务有限公司,A,,2024,91110119MA04CU8C72
北京一路领先旅游客运有限公司,B,,2023,9111010158913473XE
北京申威狮星汽车服务有限公司,A,西城,2023,911101027226527805
北京民航机场巴士有限公司,A,,2023,91110105101255715M
北京四九城旅游客运有限公司,B,,2023,91110111MA04F7LR6K
北京滴润通达汽车租赁有限公司,B,,2023,91110113592306192E
北京顺威狮星新能源科技有限公司,B,,2023,91110113MAD29UF5X4
北京中运氢动力运输有限公司,A,昌平,2023,91110114MABU70LM6R
北京福地青云国际旅行社有限公司,A,大兴,2023,91110115599699320P
中国国际体育旅游有限公司,A,东城运输管理分局,2022,91110000100003727Y
北京天寿山出租汽车有限责任公司,B,昌平交通局,2022,91110114700341690M
北京九龙旅游客运有限公司,B,昌平交通局,2022,91110114752177642T
北京中运氢动力运输有限公司,B,,2022,91110114MABU70LM6R
北京天行健汽车服务有限公司,AA,朝阳,2019,91110105556863805R
北京京联出租汽车有限责任公司,___,通州,2019,91110112102452550Q
北京九龙旅游客运有限公司,A,昌平,2019,91110114752177642T
北京市兴顺达客运有限责任公司,AAA,大兴,2019,911101157003500877
中国国际体育旅游有限公司,A,,2024,91110000100003727Y
中旅旅游汽车有限公司,A,,2024,91110105101129049G
北京海淀颐海出租汽车有限责任公司,A,,2024,91110108101907103H
北京申威狮星新能源汽车有限公司,A,,2024,91110108MA01YKDM0X
北京滴润通达汽车租赁有限公司,A,,2024,91110113592306192E
北京陆胜汽车租赁有限公司,A,,2024,9111011368196973XL
北京兴顺达通新能源科技有限公司,A,,2024,91110115MA01AA0P4T
北京中兴盛达汽车服务有限公司,A,,2024,91110115MA7ETQH18Y
北京金城顺旅游客运有限公司,A,,2024,91110228MA01YQJG60
北京兴顺达旅游有限公司,A,,2024,91110400MA020WYK66
北京京铁欣途出租汽车有限公司,A,丰台,2023,91110106101246157U
北京海天腾飞运输有限公司,A,,2023,911101061022976266
北京铭悦旅游客运有限公司,B,,2023,91110106MACE591Y81
北京广运恒通汽车服务有限公司,A,,2023,91110111055579590L
中青旅控股股份有限公司旅游服务分公司,A,东城运输管理分局,2022,91110000101310358E
