企业名称,等级,所属区域,年度,统一社会信用代码
北京石景山飞翔贸易公司,合格,石景山,2019,911100001022872761
梅赛德斯-奔驰租赁有限公司,合格,朝阳,2019,911100005877260101
中煤国际工程集团梅苑物产管理有限公司,合格,西城,2019,91110000710934182F
中国海洋置业有限公司,合格,西城,2019,91110000733447862C
金宝惠通汽车租赁（北京）有限公司,未参加,朝阳,2019,911101015620554684
北京金凯鸿达汽车租赁有限公司,合格,西城,2019,91110102085471011U
北京世纪行汽车租赁服务有限责任公司,合格,西城,2019,91110102101148776Y
北京西荣通顺投资管理有限公司,合格,西城,2019,911101026691428281
北京明振汽车运输服务有限公司,合格,朝阳,2019,911101056330276339
北京恒瑞行商务汽车租赁有限公司,合格,朝阳,2019,91110105666259887R
沃达恒通汽车租赁（北京）有限公司,合格,朝阳,2019,91110105681219648K
北京通产经贸有限公司汽车租赁分公司,合格,朝阳,2019,91110105681979604K
北京富元昊汽车租赁有限公司,合格,朝阳,2019,91110105690040535G
北京安迅汽车租赁有限公司,合格,朝阳,2019,91110105699557856M
北京净土汽车租赁有限公司,合格,朝阳,2019,911101057423479274
北京金光大道汽车租赁有限责任公司,未参加,朝阳,2019,91110105779523832A
北京益嘉通汽车租赁有限公司,合格,丰台,2019,91110106681228413L
北京凯圣铭歌汽车租赁有限公司,合格,丰台,2019,91110106687643407T
北京航天华盛科贸发展有限公司,合格,丰台,2019,91110106802227119B
北京汇铖大通汽车销售服务有限公司,合格,石景山,2019,91110107567410991T
北京欢乐旅程汽车租赁有限责任公司,不合格,通州,2019,91110108069558141M
北京通行天下汽车租赁有限公司,合格,朝阳,2019,91110108096449493J
北京金马驿站汽车租赁有限公司,合格,海淀,2019,91110108576861655L
北京久诚信汽车服务有限公司,合格,海淀,2019,911101086343236372
北京京现荣华汽车销售有限公司,合格,海淀,2019,911101087635294121
中润通新能源汽车租赁（北京）有限公司,合格,房山,2019,911101110929204604
北京和信汽车租赁有限公司,合格,通州,2019,91110112076554405A
北京奥思汽车租赁有限公司,合格,顺义,2019,91110113053563691T
金建汽车租赁有限公司,优秀,顺义,2019,91110113101202680X
