id,搅拌站名称,混凝土企业注册地,zdszd,采集时间,更新状态,交换时间,统一社会信用代码
1,北京秋实混凝土有限公司,北京市朝阳区黑庄户乡郎各庄村38号,朝阳区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,911101057475335772
2,北京住总新型建材有限公司朝阳百子湾分站,北京市朝阳区王四营乡唐新村161号,朝阳区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,999999330
3,中铁六局集团丰桥桥梁有限公司,北京市平谷区马坊工业开发西区198号,平谷区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110000101100713L
4,北京顺兴隆混凝土有限公司,北京市延庆区康庄镇郭家堡村西南,延庆区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110229797593156W
5,北京宏福华信混凝土有限公司,北京市昌平区北七家镇宏福创业园,昌平区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,911101148022296400
6,北京韩信混凝土有限公司,北京市朝阳区崔各庄乡东营村蟹岛西路1号,朝阳区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,911101056000372961
7,北京京首建混凝土搅拌站有限公司,北京市石景山区古城路首钢一建设三公司院内,石景山区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110107722612922R
8,北京铁建永泰新型建材有限公司,北京市通州区张家湾镇三间房村委会北1500米(通州区北空第二副食品生产基地),通州区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110112753302361W
9,北京紫阳福源混凝土搅拌有限公司,北京市房山区阎村镇肖庄村东侧,房山区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110111744708861L
10,华东材料(北京)有限公司张家湾分公司,北京市通州区张家湾镇定福庄村西,通州区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,999999541
11,北京金隅混凝土有限公司西北旺站,北京市海淀区宏丰西路1号院,海淀区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110108101123405N
12,北京市高强混凝土有限责任公司第二搅拌站,北京市大兴区黄村镇立垡村市政基地,大兴区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110106801123852U
13,中铁建设集团有限公司商品混凝土分公司,北京市石景山区张仪村0号,石景山区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,99999904X
14,北京质信恒通水源混凝土制品有限公司,北京市密云区季庄村1号（原北京市密云区小唐庄火车站路西）,密云区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110228733478394L
15,北京铁建永泰新型建材有限公司昌平分公司,北京市昌平区百善镇孟祖村北,昌平区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110114565814175N
16,北京金隅混凝土有限公司通州分公司,北京市通州区张家湾镇前街村委会西800米,通州区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110112571215515B
17,北京筑诚兴业混凝土有限公司(资质异常，该主站已拆除),北京市丰台区大灰厂村西北侧2号,丰台区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110106752624844A
18,北京正华混凝土有限责任公司,北京市大兴区西红门镇振亚庄村委会西100米,大兴区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110115674271691P
19,北京金隅混凝土有限公司朝阳分公司,北京市朝阳区金盏乡长店村,朝阳区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110105801663031N
