是否已注销,产权单位企业名称,登记编号,设备类型,生产厂家,产权单位统一社会信用代码
有效,北京乐名洋建筑机械设备租赁有限公司,京FS-T58655,塔式起重机,徐州建机工程机械有限公司,91110111571276051X
有效,北京三上建筑机械租赁有限公司,京FT-T71645,塔式起重机,徐州建机工程机械有限公司,911101067461137227
有效,远宏强顺（北京）机械设备租赁有限公司,京HR-S56149,施工升降机,黄骅市昌达起重设备有限公司,91110116MA01LHWX28
有效,北京国成伟业机械设备租赁有限公司,京HR-S70633,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京国成伟业机械设备租赁有限公司,京HR-S78671,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京悫信建功建筑机械有限公司,京XC-S68808,施工升降机,北京汇鑫机械厂,9111010271779096X8
有效,北京厚德伟业建筑机械租赁有限公司,京HR-T81161,塔式起重机,徐州建机工程机械有限公司,91110116MA00GQ961J
有效,北京神州恒运达机电设备有限公司,京HD-S57083,施工升降机,北京九虹中工工程机械有限公司,9111010878395941XA
有效,北京汇聚同安设备安装有限公司,京MY-T77360,塔式起重机,亚泰重工股份有限公司,91110228MA01MPXP06
有效,北京鑫联诚工业机械设备服务有限公司,京PG-T74191,塔式起重机,中联重科股份有限公司,911101170765634835
有效,北京九筑机械有限公司,京FS-T82163,塔式起重机,中联重科股份有限公司,91110111MA01UDYN1A
有效,北京新邦机械工程有限公司,京FS-T77319,塔式起重机,徐州建机工程机械有限公司,91110111059286509A
有效,北京鑫涌伟业机械设备租赁有限公司,京TZ-S56073,施工升降机,黄骅市昌达起重设备有限公司,91110112667522341Y
有效,北京天润伟业建筑机械租赁有限公司,京SJ-T78286,塔式起重机,中联重科股份有限公司,91110107675714693M
有效,北京润合建筑机械租赁有限公司,京FS-S57718,施工升降机,中联重科股份有限公司,91110304599637269H
有效,北京鑫涌伟业机械设备租赁有限公司,京TZ-S73587,施工升降机,中联重科建筑起重机械有限责任公司,91110112667522341Y
有效,北京兴鸿达建筑机械设备租赁有限公司,京MY-T54772,塔式起重机,徐州建机工程机械有限公司,91110228MA01PCH21F
有效,北京金山建筑机械厂,京HD-S57035,施工升降机,北京金山建筑机械厂,91110108700313788L
有效,北京鑫和安达工程机械有限公司,京HR-S81789,施工升降机,大汉科技股份有限公司,91110116575218393A
有效,北京福刚设备租赁有限公司,京TZ-S80823,施工升降机,大汉科技股份有限公司,911101125769240707
有效,北京坤克鼎盛建筑机械租赁有限公司,京FS-T58567,塔式起重机,徐州建机工程机械有限公司,91110111MA01M6F777
有效,北京天和建筑机械设备租赁有限责任公司,京FT-S69305,施工升降机,广州市特威工程机械有限公司,911101066336408682
有效,北京国成伟业机械设备租赁有限公司,京HR-S68268,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京攀腾伟业建筑机械设备租赁有限公司,京FS-T61829,塔式起重机,徐州建机工程机械有限公司,91110111665649816H
有效,北京振邦万达机械设备有限公司,京HR-S74821,施工升降机,北京宏升卓越工程机械有限公司,91110116551415640F
有效,北京庞源机械工程有限公司,京TZ-T81807,塔式起重机,陕西建设机械股份有限公司,911101125568120205
