单位名称,电话,法定代表人,单位地址,主项资质,有效期开始日期,有效期截至日期
中电投工程研究检测评定中心有限公司,138****6873,谭*,北京市海淀区万寿路27号院2号楼304,"主体结构工程检测,见证取样检测",29/5/2024 10:18:47,11/1/2025 09:56:41
北京中兵勘工程检测有限公司,136****9007,夏*东,北京市西城区西便门内大街79号20号楼301室,地基基础工程检测,25/2/2022 16:15:42,24/2/2025 16:15:42
奥来国信(北京)检测技术有限责任公司,,方*云,北京市顺义区高丽营镇顺于路高丽营段138号院,"主体结构工程检测,见证取样检测,钢结构工程检测",15/11/2023 10:07:11,31/7/2024 00:00:00
北京正宏兴达试验检测科技有限公司,,张*光,北京市大兴区金业大街46号院5号楼1-3层,"主体结构工程检测,见证取样检测",7/5/2024 14:13:49,31/7/2024 00:00:00
北京铁五院工程试验检测有限公司,,王*,北京市大兴区黄村镇康庄路九号,地基基础工程检测,12/1/2023 15:34:27,31/7/2024 00:00:00
北京恒建通达检测服务有限公司,134****3184,范*斌,北京市石景山区古城路首钢第一机械运输工程公司院内,"见证取样检测,主体结构工程检测,钢结构工程检测",27/4/2023 09:33:30,31/7/2024 00:00:00
北京鑫畅路桥工程检测有限公司,,毛*雁,北京市大兴区黄村镇王立庄村村民委员会西20米,见证取样检测,2/11/2023 13:52:47,31/7/2024 00:00:00
北京市建平兴业建筑材料检测有限公司,153****1881,丁*明,北京市大兴区金盛大街10号院3号楼1层116室,"主体结构工程检测,见证取样检测",2/2/2024 09:48:25,31/7/2024 00:00:00
北京新运通诚工程检测有限公司,133****4599,姚*如,北京市通州区西集镇西集村西集政府路北西集供销社大院(村委会东50米),见证取样检测,5/1/2023 15:02:08,4/1/2026 15:02:08
北京建筑材料检验研究院股份有限公司,136****5386,何*明,北京市石景山区实兴大街30号院3号楼9层9059房间,"主体结构工程检测,见证取样检测,建筑幕墙工程检测",13/3/2024 17:21:40,7/9/2024 14:42:00
北京路星顺达建设工程质量检测有限公司,139****5956,刘*用,北京市顺义区顺平路北侧(施工队),见证取样检测,16/3/2023 14:05:30,30/6/2025 09:55:14
国检测试控股集团北京有限公司,151****4388,杜*,北京市通州区工业开发区光华路1号,见证取样检测,29/5/2023 16:44:41,23/9/2024 15:09:20
北京博安鸿建材检测中心,,田*,北京市房山区韩村河镇韩村河村,见证取样检测,28/3/2024 15:14:56,31/7/2024 00:00:00
中冶检测认证有限公司,139****5845,王*,北京市海淀区西土城路33号55号楼307房间,"地基基础工程检测,见证取样检测,钢结构工程检测,建筑幕墙工程检测,主体结构工程检测",20/11/2023 16:33:17,31/7/2024 00:00:00
中震(北京)工程检测股份有限公司,133****5726,贾*华,北京市大兴区鼎利路10号院14号楼1至4层,"主体结构工程检测,见证取样检测",18/10/2022 10:05:09,31/7/2024 00:00:00
中国建筑标准设计研究院有限公司,010-88426983,李*东,北京市海淀区首体南路9号,"主体结构工程检测,见证取样检测",14/9/2021 09:19:59,13/9/2024 09:20:00
建研院检测中心有限公司,138****0976,王*,北京市平谷区中关村科技园平谷园平旺街60号院1号楼,"地基基础工程检测,见证取样检测,钢结构工程检测,建筑幕墙工程检测,主体结构工程检测",9/8/2022 16:24:13,10/10/2024 11:18:00
北京市建设工程质量第二检测所有限公司,152****6134,张*,北京市西城区南礼士路62号25号楼7层,"主体结构工程检测,见证取样检测,钢结构工程检测",16/5/2024 11:28:34,16/3/2025 11:50:00
北京建工恒均工程检测有限公司,158****5121,范*春,北京市大兴区长恒路20号院16号楼1层101室,"主体结构工程检测,见证取样检测",16/9/2022 09:20:48,31/8/2025 11:06:00
北京高新市政工程科技有限公司,010-88462132,张*丽,北京市海淀区昌运宫17号,"主体结构工程检测,见证取样检测",8/10/2023 09:48:28,31/8/2025 11:06:08
中铁咨询集团北京工程检测有限公司,136****6507,屠*峰,北京市丰台区四合庄路6号院3号楼1至10层101内02层02室,地基基础工程检测,6/5/2024 14:24:06,31/7/2024 00:00:00
北京三茂建筑工程检测鉴定有限公司,138****8519,高*旺,北京市海淀区马甸东路19号9层1026,"主体结构工程检测,钢结构工程检测",4/2/2024 09:30:35,31/7/2024 00:00:00
北京时代中衡科技有限公司,189****8429,徐*善,北京市顺义区天竺空港工业区B区安祥路1号7幢2层214室,"主体结构工程检测,见证取样检测",13/2/2023 17:43:54,31/7/2024 00:00:00
北京冠山博源建筑工程检测有限公司,186****9862,葛*,北京市延庆区延庆镇百莲路81号,"主体结构工程检测,见证取样检测",1/12/2021 15:10:43,31/7/2024 00:00:00
北京中京建设工程质量检测有限公司,134****6104,王*,北京市东城区东直门内大街177号,地基基础工程检测,13/11/2023 15:53:57,31/7/2024 00:00:00
北京恒源泉建材检测有限公司,139****7581,曹*来,北京市顺义区李桥镇沿河村任李路沿河段45号1号楼,见证取样检测,2/4/2024 14:11:10,31/7/2024 00:00:00
北京建业通工程检测技术有限公司,189****3353,吴*玲,北京市大兴区春和路39号院3号楼2-306室,"地基基础工程检测,主体结构工程检测",23/6/2021 16:53:50,31/7/2024 00:00:00
北京中勘国检工程技术有限公司,189****1515,徐*忠,北京市海淀区体院西路甲2号10号楼D座301号,地基基础工程检测,4/3/2021 14:44:38,31/7/2024 00:00:00
北京陆建鸿兴工程质量检测有限公司,134****9675,陈*,北京市石景山区石景山路北老山北京市第六建筑工程公司材料分公司内,"主体结构工程检测,见证取样检测,钢结构工程检测",9/2/2022 14:51:43,31/7/2024 00:00:00
北京紫衡轩建筑工程检测有限公司,185****5830,王*军,北京市房山区良乡长虹西路翠柳东街1—363号,"主体结构工程检测,见证取样检测",26/12/2023 10:30:41,31/7/2024 00:00:00
华业地学(北京)科技有限公司,139****1287,刘*召,北京市东城区和平里七区15号楼1层103房间,地基基础工程检测,20/11/2023 16:32:58,31/7/2024 00:00:00
北京筑之杰建筑工程检测有限责任公司,136****3317,马*,北京市顺义区火寺路赵全营段49号,"地基基础工程检测,见证取样检测,钢结构工程检测,主体结构工程检测",20/3/2023 16:42:17,31/7/2024 00:00:00
北京经纬建元建筑工程检测有限公司,135****6534,钟*平,北京市海淀区什坊院甲1号,"主体结构工程检测,见证取样检测",12/6/2024 16:03:52,31/7/2024 00:00:00
北京中永成建筑工程检验有限责任公司,156****9760,杨*波,北京市顺义区李遂镇南孙路李遂段13-173号,"见证取样检测,主体结构工程检测",12/10/2023 18:28:10,31/7/2024 00:00:00
北京中思成工程测试有限公司,133****2386,郑*斌,北京市朝阳区定福庄北里1号,"主体结构工程检测,见证取样检测",1/9/2021 16:19:14,31/7/2024 00:00:00
北京诚宇阳建设工程检测有限公司,135****9982,杨*社,北京市顺义区高丽营镇金益街7号院3号楼3层、4层,"主体结构工程检测,见证取样检测",26/4/2024 16:14:48,31/7/2024 00:00:00
北京金雕建材检测有限公司,138****2712,侯*军,北京市怀柔区北房镇恒利街58号院-1,"主体结构工程检测,见证取样检测",19/4/2022 14:36:25,31/7/2024 00:00:00
北京金地通检测技术有限公司,186****9952,张*良,北京市石景山区晋元庄路23号(首钢地勘院内),地基基础工程检测,8/6/2021 15:36:33,31/7/2024 00:00:00
北京精诚恒通工程技术检测有限公司,138****5140,卢*军,北京市丰台区小郭庄西路44号(南厂东院),见证取样检测,2/7/2021 10:05:40,31/7/2024 00:00:00
北京兴质建设工程检测有限责任公司,138****6630,王*,北京市大兴区黄村镇工业开发区科苑路17号,"主体结构工程检测,见证取样检测",7/9/2021 10:51:11,31/7/2024 00:00:00
北京恒永诚建设工程检测有限公司,150****3607,孙*泉,北京市海淀区玲珑路9号院东区8号楼13层1310,"主体结构工程检测,见证取样检测",28/4/2022 15:14:53,31/7/2024 00:00:00
北京建恒兴达工程质量检测有限公司,138****7679,尹*,北京市海淀区太平路36号甲54号,"主体结构工程检测,见证取样检测",29/4/2024 16:42:16,11/8/2024 15:48:08
北京中建华衡工程检测试验有限公司,136****6992,张*梅,北京市朝阳区望花路西里22号楼,"主体结构工程检测,见证取样检测,钢结构工程检测",27/2/2023 17:28:38,1/8/2024 15:22:39
北京城泰建翔检测科技有限公司,136****8859,吴*,北京市大兴区中鼎路18号1幢一层106室,"主体结构工程检测,见证取样检测",26/1/2024 08:07:55,31/7/2024 00:00:00
北京奥科瑞检测技术开发有限公司,136****2917,侯*安,北京市丰台区科学城星火路10号1幢1层131室,见证取样检测,27/7/2023 10:57:12,24/8/2024 16:26:42
北京新顺城建筑工程质量检测所,138****3511,赵*,北京市顺义区仁和地区南白路23号(紫微星西院),"主体结构工程检测,见证取样检测",2/12/2021 08:49:43,1/8/2024 15:20:13
北京市建设工程质量第三检测所有限责任公司,134****6390,彭*荣,北京市西城区百万庄大街3号3号楼102室,"地基基础工程检测,见证取样检测,钢结构工程检测,主体结构工程检测",14/3/2023 17:08:31,12/8/2024 16:30:29
中交路星(北京)工程检测技术有限公司,158****2996,朱*,北京市石景山区北京重型电机厂(东厂7)10幢1层1号,"主体结构工程检测,见证取样检测",29/5/2024 10:17:21,31/7/2024 00:00:00
北京市建昌建筑材料检测有限公司,187****4986,张*飞,北京市昌平区昌平镇水库路东水泥构件厂院内,"主体结构工程检测,见证取样检测",1/6/2021 15:58:51,31/7/2024 00:00:00
北京市政路桥锐诚科技有限公司,67581121,孙*波,北京市丰台区南苑镇北天津庄179号一层,见证取样检测,3/11/2021 09:32:53,31/7/2024 00:00:00
北京市建设工程质量第五检测所有限公司,136****9359,郭*才,北京市朝阳区南三环成寿寺路甲135号2号楼5层504室,"主体结构工程检测,见证取样检测,钢结构工程检测",11/2/2022 13:51:01,10/2/2025 13:51:01
北京环安工程检测有限责任公司,010-82221282,王*伟,北京市朝阳区向军北里9号楼(1-4层),"地基基础工程检测,钢结构工程检测,主体结构工程检测",9/9/2022 16:48:58,10/3/2025 15:53:44
铁科检测有限公司,136****6516,蔡*钩,北京市海淀区大柳树路2号铁建试验楼三层,"地基基础工程检测,见证取样检测",25/2/2021 14:50:52,31/7/2024 00:00:00
北京恒基筑嘉建设工程质量检测有限公司,137****6883,王*静,北京市平谷区平谷镇金乡路西7号,"主体结构工程检测,见证取样检测",16/6/2021 16:28:06,31/7/2024 00:00:00
北京四方通达建筑工程检测有限公司,178****8501,张*粮,北京市大兴区宏业东路2号院1号楼3层0236,见证取样检测,14/3/2024 15:09:27,7/3/2025 11:18:25
北京康桥隆盛工程检测有限责任公司,138****4836,吴*兰,北京市大兴区兴华大街(二段)19号院23号楼-1层-109,"主体结构工程检测,钢结构工程检测",4/6/2021 14:48:34,31/7/2024 00:00:00
北京市怀信建材检验有限责任公司,136****2826,边*云,北京市怀柔区迎宾南路12号院2号,"主体结构工程检测,见证取样检测",6/9/2023 10:14:51,31/7/2024 00:00:00
北京思建新创工程质量检测有限公司,138****4097,贾*振,北京市朝阳区高井(四建机械处)31幢平房,"主体结构工程检测,见证取样检测",7/3/2024 09:03:34,31/7/2024 00:00:00
北京华检兴航检验检测有限公司,138****2878,赵*福,北京市大兴区庞各庄镇西中堡西路甲5号一层,见证取样检测,2/4/2024 16:00:13,31/7/2024 00:00:00
北京吉友佳检测技术有限公司,136****7721,朱*男,北京市石景山区古城北路综合商业楼1幢4层453室,见证取样检测,8/8/2022 15:56:26,20/12/2024 15:06:40
北京润得丰工程质量检测有限责任公司,136****3535,刘*加,北京市海淀区小南庄甲26号院三建试验楼,"主体结构工程检测,见证取样检测",25/8/2021 16:41:29,24/8/2024 16:41:29
北京东泰盛检测技术有限公司,188****5371,田*尔,北京市海淀区大柳树路23号1号楼、10号楼,"主体结构工程检测,见证取样检测",18/7/2023 17:22:01,7/9/2024 14:41:48
北京东方建宇混凝土科学技术研究院有限公司,152****3639,聂*智,北京市海淀区北四环西路9号银谷大厦17层1708室,"主体结构工程检测,见证取样检测",2/9/2021 09:16:34,1/9/2024 09:16:34
北京科远智恒鉴定检测技术有限公司,139****6118,王*,北京市丰台区大井东里甲2号,"主体结构工程检测,见证取样检测",24/3/2021 10:58:34,31/7/2024 00:00:00
