执行单位,工程名称,建筑面积（平方米）,申报单位,证书编号,验收日期
上海宝冶集团有限公司,国家雪车雪橇中心,52536.57,上海宝冶集团有限公司,BJSF22-04-189,6/4/2022 00:00:00
上海宝冶集团有限公司,国家雪车雪橇中心,52536.5703125,上海宝冶集团有限公司,BJSF22-04-189,6/4/2022 00:00:00
中国建筑一局（集团）有限公司,延庆冬奥村及延庆山地新闻中心项目二标段,58100.0,中国建筑一局（集团）有限公司,BJSF22-01-186,6/4/2022 00:00:00
中国建筑一局（集团）有限公司,门急诊医技病房综合楼（医疗用房）等8项（中国医学科学院整形外科医院改扩建工程（Ⅰ期））,79434.0,中国建筑一局（集团）有限公司,BJSF23-02-210,26/4/2023 00:00:00
中国建筑一局（集团）有限公司,雁柏山庄项目（1号工字殿等5项）,27935.2109375,中国建筑一局（集团）有限公司,BJSF22-02-187,6/4/2022 00:00:00
中国建筑一局（集团）有限公司,门急诊医技病房综合楼（医疗用房）等8项（中国医学科学院整形外科医院改扩建工程（Ⅰ期））,79434.0,中国建筑一局（集团）有限公司,BJSF23-02-210,26/4/2023 00:00:00
中国建筑一局（集团）有限公司,1#实验楼（国家核与辐射安全监管技术研发基地建设项目）、2#实验及综合业务楼等2项（国家核与辐射安全监管技术研发基地建设项目）,94937.0,中国建筑一局（集团）有限公司,BJSF20-02-170,23/7/2020 00:00:00
中国建筑一局（集团）有限公司,1#实验楼（国家核与辐射安全监管技术研发基地建设项目）、2#实验及综合业务楼等2项（国家核与辐射安全监管技术研发基地建设项目）,94937.0,中国建筑一局（集团）有限公司,BJSF20-02-170,23/7/2020 00:00:00
中国建筑一局（集团）有限公司,延庆冬奥村及延庆山地新闻中心项目二标段,58100.0,中国建筑一局（集团）有限公司,BJSF22-01-186,6/4/2022 00:00:00
中国建筑一局（集团）有限公司,雁柏山庄项目（1号工字殿等5项）,27935.21,中国建筑一局（集团）有限公司,BJSF22-02-187,6/4/2022 00:00:00
"中国建筑一局（集团）有限公司,中国建筑设计研究院有限公司",北京城市副中心行政办公区二期启动区FZX-0901-0160地块项目（1号办公楼等2项）,175693.90625,中国建筑一局（集团）有限公司,BJSF23-17-225,28/12/2023 00:00:00
中国建筑第二工程局有限公司,国家会议中心二期项目配套部分B23地块(办公商业服务楼等2项),217602.515625,中国建筑第二工程局有限公司,BJSF25-04-243,6/6/2025 00:00:00
中国建筑第八工程局有限公司,北京大学第一医院城南院区工程,216100.0,中国建筑第八工程局有限公司,BJSF23-10-218,30/10/2023 00:00:00
中国建筑第八工程局有限公司,中国铁物大厦（商业金融项目）,232500.0,中国建筑第八工程局有限公司,BJSF22-21-206,21/7/2022 00:00:00
中国建筑第八工程局有限公司,魏公村小区棚户区改造项目（1#办公商业楼等3项）,191374.0,中国建筑第八工程局有限公司,BJSF23-09-217,30/10/2023 00:00:00
中国建筑第八工程局有限公司,中国医学科学院北京协和医院转化医学综合楼主体工程（转化医学综合楼主体等2项）,56173.0,中国建筑第八工程局有限公司,BJSF22-20-205,21/7/2022 00:00:00
中国建筑第八工程局有限公司,首都体育馆改扩建等项目,140257.0,中国建筑第八工程局有限公司,BJSF21-05-185,22/9/2021 00:00:00
中国建筑第八工程局有限公司,民航运行管理中心和气象中心及民航情报管理中心等4项（民航运行管理中心和气象中心工程及民航情报管理中心工程）,74985.0,中国建筑第八工程局有限公司,BJSF21-03-183,21/5/2021 00:00:00
中国建筑第八工程局有限公司,中国铁物大厦（商业金融项目）,232500.0,中国建筑第八工程局有限公司,BJSF22-21-206,21/7/2022 00:00:00
中国建筑第八工程局有限公司,北京大学第一医院城南院区工程,216100.0,中国建筑第八工程局有限公司,BJSF23-10-218,30/10/2023 00:00:00
中国建筑第八工程局有限公司,首都体育馆改扩建等项目,140257.0,中国建筑第八工程局有限公司,BJSF21-05-185,22/9/2021 00:00:00
中国建筑第八工程局有限公司,丽泽SOHO,172800.0,中国建筑第八工程局有限公司,BJSF20-06-174,27/7/2020 00:00:00
中国建筑第八工程局有限公司,丽泽平安,152800.0,中国建筑第八工程局有限公司,BJSF20-07-175,27/7/2020 00:00:00
中国建筑第八工程局有限公司,中直机关园博园职工住宅(保障房)工程6158地块(1#住宅等18项)及6166地块(封闭式垃圾收集站),179585.375,中国建筑第八工程局有限公司,BJSF24-12-239,13/12/2024 00:00:00
中国建筑第八工程局有限公司,魏公村小区棚户区改造项目（1#办公商业楼等3项）,191374.0,中国建筑第八工程局有限公司,BJSF23-09-217,30/10/2023 00:00:00
中国建筑第八工程局有限公司,A-1科研楼（信息通信创新园二期工程）,96746.0,中国建筑第八工程局有限公司,BJSE24-08-235,10/7/2024 00:00:00
