项目名称,项目地址,建设单位,预售证号,发证时间,开发企业名称
玺萌壹号院,星河城住宅小区四期C-3地块,北京玺萌置业有限公司,京房售证字( 2017 ) 74 号,20170623,北京玺萌置业有限公司
诚悦佳园,北京城市副中心0302街区FZX-0302-6004地块F1住宅混合公建用地,北京双城通达房地产开发有限公司,京房售证字( 2024 ) 70 号,20240814,北京双城通达房地产开发有限公司
琅橒园,天竺镇,北京懋源鸿源房地产开发有限公司,京房售证字( 2025 ) 135 号,20251127,北京懋源鸿源房地产开发有限公司
山樾嘉园,田村山(西郊砂石厂西地块)保障性住房项目用地(配建商品房及公建),北京金隅嘉业房地产开发有限公司,京房售证字( 2017 ) 54 号,20170521,北京金隅嘉业房地产开发有限公司
鲁美芳苑,后沙峪镇古城村南,北京顺义新城建设开发有限公司,京房售证字( 2017 ) 19 号,20170302,北京顺义新城建设开发有限公司
金隅尚林家园,西三旗建材城中路东侧1814-630等地块R2二类居住用地,北京金隅程远房地产开发有限公司,京房售证字( 2022 ) 173 号,20221025,北京金隅程远房地产开发有限公司
理想新苑,北七家镇010地块R2二类居住用地,北京梓文房地产开发有限公司,京房售证字( 2018 ) 71 号,20180715,北京梓文房地产开发有限公司
臻林雅苑,开发区路东区E9R4地块,北京经开亦盛房地产开发有限公司,京房售证字( 2020 )开4号,20200614,北京经开亦盛房地产开发有限公司
璟院嘉园,南苑街道城乡一体化槐房村和新宫村旧村改造项目NY-011B地块,北京兆新房地产开发有限公司,京房售证字( 2023 ) 13号,20230301,北京兆新房地产开发有限公司
禧章苑,首钢园区东南区土地一级开发项目1612-763地块F2公建混合住宅用地,北京海鑫兴业房地产开发有限公司,京房售证字( 2024 ) 106 号,20241029,北京海鑫兴业房地产开发有限公司
清岳里,百善镇中心区西部地块土地一级开发项目A地块CP01-0901-0013地块R2二类居住用地,北京佰昌房地产开发有限公司,京房售证字( 2025 ) 92 号,20250904,北京佰昌房地产开发有限公司
西二旗燕尚园,东北旺乡西二旗S12地住宅及首层配套,北京科技园置地有限公司,京房售证字( 2006 ) 221 号,20060618,北京科技园置地有限公司
卓锦万代,来广营东路东侧北京香江胡姬花园,北京胡姬花园房地产开发有限公司,京房售证字( 2005 ) 312 号,20050713,北京胡姬花园房地产开发有限公司
香花畦家园,后沙峪镇东庄村,北京天洋志普房地产开发有限公司,京房售证字( 2005 ) 375 号,20050806,北京天洋志普房地产开发有限公司
自由季大厦,北京市崇文区夕照寺中街31号,北京天宏国发房地产开发有限公司,京房售证字( 2009 ) 124 号,20090510,北京天宏国发房地产开发有限公司
华彩中心,望京新兴产业区17号地（北京华瀛慧谷中心南地块公寓）,北京华瀛置业房地产开发有限公司,京房售证字( 2008 ) 122 号,20080419,北京华瀛置业房地产开发有限公司
经开科技园（BDA国际企业大道）,开发区63#街区63M1-2,北京经开投资开发股份有限公司,京房售证字( 2005 ) 开2 号,20050625,北京经开投资开发股份有限公司
光熙家园,柳芳北街和平里住宅小区A地块,北京阳光城房地产有限公司,京房售证字( 2010 ) 174 号,20100808,北京阳光城房地产有限公司
天龙苑,东小口镇回龙观大街北侧,北京腾昌兴房地产开发有限公司,京房售证字( 2006 ) 228 号,20060625,北京腾昌兴房地产开发有限公司
乐活家园,阎村中心镇D地块项目,北京天恒房地产股份有限公司,京房售证字( 2009 ) 228 号,20090719,北京天恒房地产股份有限公司
北苑家园望春园,立水桥北苑家园101-103、105-107等12栋楼,北京城建兴华地产有限公司,京房售证字( 2006 ) 431 号,20061021,北京城建兴华地产有限公司
瀚河园,四季青镇京香青科,永泰房地产（集团）有限公司,京房售证字( 2009 ) 51 号,20090325,永泰房地产（集团）有限公司
   ,东二环东辅路东侧雅宝路危改二期B区Q1、C2楼,北京兆泰置地（集团）股份有限公司,京房售证字( 2007 ) 230 号,20070708,北京兆泰置地（集团）股份有限公司
华骏国际中心,东大桥路10号,北京京汇房地产开发有限公司,京房售证字( 2007 ) 19 号,20070120,北京京汇房地产开发有限公司
玉桥东里小区,通州区通州区乔庄,北京潞隆房地产开发有限责任公司,京房售证字(2004)534号,20041111,北京潞隆房地产开发有限责任公司
东方美景家园,南磨房乡南磨房小区三期(10、11、12、15、16号),北京达义兴业房地产开发有限公司,京房售证字( 2008 ) 166 号,20080511,北京达义兴业房地产开发有限公司
世嘉博苑,西红门镇十一村聚福园小区,北京东旭发房地产开发有限公司,京房售证字( 2007 ) 378 号,20071020,北京东旭发房地产开发有限公司
水晶布洛阁,北京经济技术开发区北侧绿化带,北京丰裕房地产开发有限公司,京房售证字( 2008 ) 开04号,20080727,北京丰裕房地产开发有限公司
东方梅地亚中心（二期）,光华路4号,北京东方梅地亚置业有限公司,京房售证字( 2006 ) 569 号,20061231,北京东方梅地亚置业有限公司
丽湖嘉园小区,南华园四区南侧,北京宏怀房地产开发有限公司,京房售证字( 2009 ) 96 号,20090426,北京宏怀房地产开发有限公司
锋线阁,海淀区清河镇龙岗路北京粉丝厂职工宿舍,北京恒乾房地产开发有限公司,京房售证字(2004)564号,20041130,北京恒乾房地产开发有限公司
乐活家园,阎村中心镇D地块项目,北京天恒房地产股份有限公司,京房售证字( 2010 ) 138 号,20100620,北京天恒房地产股份有限公司
乐活家园,阎村中心镇D地块项目,北京天恒房地产股份有限公司,京房售证字( 2009 ) 87 号,20090418,北京天恒房地产股份有限公司
博雅国际中心,朝阳区望京新兴产业区3号地,北京世纪恒成建设开发有限公司,京房售证字(2004)542号,20041117,北京世纪恒成建设开发有限公司
奥北中心,立水桥,北京信永房地产开发有限公司,京房售证字( 2006 ) 328 号,20060823,北京信永房地产开发有限公司
东方华庭,常营乡（A-004地块）,北京通瑞万华置业有限公司,京房售证字( 2012 ) 82 号,20120516,北京通瑞万华置业有限公司
西堤红山苑,广安门外大街305号住宅及配套,华润置地（北京）股份有限公司,京房售证字( 2009 ) 58 号,20090329,华润置地（北京）股份有限公司
丽湖嘉园小区,南华园四区,北京宏怀房地产开发有限公司,京房售证字( 2008 ) 62 号,20080306,北京宏怀房地产开发有限公司
乐红园小区,富乐大街南侧,北京宏怀房地产开发有限公司,京房售证字( 2007 ) 213 号,20070629,北京宏怀房地产开发有限公司
珠江峰景家园,卢沟桥乡大井村（珠江绿苑二期B项目）,北京东方恒嘉房地产开发有限公司,京房售证字( 2006 ) 443 号,20061027,北京东方恒嘉房地产开发有限公司
丽湖嘉园小区,南华园四区南侧,北京宏怀房地产开发有限公司,京房售证字( 2007 ) 341 号,20070921,北京宏怀房地产开发有限公司
奥北中心,立水桥,北京信永房地产开发有限公司,京房售证字( 2006 ) 299 号,20060806,北京信永房地产开发有限公司
源境苑,首钢园区东南区土地一级开发项目1612-830地块R2二类居住用地,北京海鑫兴业房地产开发有限公司,京房售证字( 2024 ) 129 号,20241228,北京海鑫兴业房地产开发有限公司
品创璟苑,西红门镇B2-08地块R2二类居住用地,北京壹品兴创置业有限公司,京房售证字( 2022 ) 125 号,20220827,北京壹品兴创置业有限公司
彤廷雅苑,王四营乡土地一级开发项目一期1304-L03地块R2二类居住用地,北京矿融城置业有限公司,京房售证字( 2022 ) 176号,20221031,北京矿融城置业有限公司
璞逸佳苑,东铁营FT00-0512-0010地块、0015地块,北京喜茂房地产开发有限公司,京房售证字( 2025 ) 29 号,20250402,北京喜茂房地产开发有限公司
海晏雅苑,北京市海淀区东升镇北部片区朱房四街棚户区改造项目二期（剩余用地）HD00-0803-0030地块R2二类居住用地,北京兆盛房地产开发有限公司,京房售证字( 2025 ) 63 号,20250606,北京兆盛房地产开发有限公司
东晏和园,平房乡黄杉木店平房区城中村改造项目2107-03地块,北京兴昶房地产开发有限公司,京房售证字( 2025 ) 123 号,20251030,北京兴昶房地产开发有限公司
云庭雅苑,东风乡绿隔地区第一宗地J-1地块,北京泛海东风置业有限公司,京房售证字( 2023 ) 134 号,20231205,北京泛海东风置业有限公司
云禧华庭,顺义新城第19街区19-69地块二类居住用地,北京兆祥房地产开发有限公司,京房售证字( 2023 ) 104 号,20230924,北京兆祥房地产开发有限公司
晓月和风雅苑,三合庄改造区土地一级开发项目DX00-0202-6018地块R2二类居住用地,北京禾意房地产开发有限公司,京房售证字( 2024 ) 7 号,20240206,北京禾意房地产开发有限公司
嘉棠云玺苑,龙山街道,北京建邦怀憬房地产开发有限公司,京房售证字( 2025 ) 91 号,20250901,北京建邦怀憬房地产开发有限公司
潮海苑,十八里店乡1303-692地块,北京新鑫兴业房地产开发有限公司,京房售证字( 2025 ) 99 号,20250919,北京新鑫兴业房地产开发有限公司
龙景湾,庞各庄镇,北京龙熙房地产开发有限责任公司,京房售证字( 2006 ) 104 号,20060604,北京龙熙房地产开发有限责任公司
海上海花园 ,大红门西路16号B地块,北京匠心置业有限公司,京房售证字( 2009 ) 416 号,20091210,北京匠心置业有限公司
开园小区,密云县吉鼎商贸城（三期）、密云县吉鼎商贸城（四期）,中铁建设集团中加伟业房地产有限公司,京房售证字( 2010 ) 121 号,20100530,中铁建设集团中加伟业房地产有限公司
腾龙家园,窦店镇下坡店村,北京华风腾龙房地产开发有限公司,京房售证字( 2008 ) 4 号,20080106,北京华风腾龙房地产开发有限公司
翰宏花园,小汤山镇常兴庄村,北京翰宏基业房地产开发有限公司,京房售证字( 2006 ) 229 号,20060625,北京翰宏基业房地产开发有限公司
花园公寓,花园东路30号,北京市裕发东瑞房地产开发有限公司,京房售证字( 2005 ) 550 号,20051019,北京市裕发东瑞房地产开发有限公司
安宁庄锦上居,海淀区小营西路北侧,北京实创科技园开发建设股份有限公司,京房售证字( 2009 ) 426 号,20091220,北京实创科技园开发建设股份有限公司
腾龙家园,窦店镇下坡店村,北京华风腾龙房地产开发有限公司,京房售证字( 2006 ) 70 号,20060315,北京华风腾龙房地产开发有限公司
北京卧龙国际山庄,北京密云国际会议中心北侧,北京慧诚房地产开发有限公司,京房售证字( 2007 ) 363 号,20071002,北京慧诚房地产开发有限公司
