法人代表,电话,名称,注册地址,序号,统一社会信用代码
连*乐,010-8459****,北京方圆平安食品开发有限公司,北京市朝阳区孙河乡西甸村,1,91110105700306959J
张*设,010-5867****,中地种业（集团）有限公司,曙光西里甲6号院1号楼9层1005,2,911100007002439513
马*刚,010-6371****,北京九州大地生物技术股份有限公司,北京市海淀区上地信息路1号2号楼1901室,3,911101087187892157
廖*,010-6298****,北京大伟嘉生物技术股份有限公司,北京市海淀区上地三街9号D座803室,4,91110108633798286U
王*伟,010-8283****,北京北农大动物科技有限责任公司,北京市海淀区学清路甲38号金码大厦A座8层,5,9111010810115659XW
彭*斌,010-6211****,北京联创种业股份有限公司,北京市海淀区中关村南大街乙12号院1号楼19层2211-12,6,91110108774700967Y
王*国,1342***7368,北京嘉博文生物科技有限公司,北京市海淀区上地信息路12号1幢1层E109室,7,91110108726366175X
邵*伙,010-8285****,北京大北农科技集团股份有限公司,北京市海淀区中关村大街27号19层1901A,8,91110000102006956C
宣*海,010-6104****,北京德青源农业科技股份有限公司,北京市海淀区丰秀中路3号院10号楼2层,9,9111010873936331XC
阳*华,010-8285****,北京金色农华种业科技有限公司,北京市海淀区中关村大街27号19层1901B,10,91110108600377178H
王*生,010-6240****,北京旗舰食品有限公司,北京市海淀区西小营中关村中医药园甲1号平房,11,911101087825466137
张*明,010-8372****,北京新发地农副产品批发市场中心,北京市丰台区京开路新发地桥西侧,12,911101067426083221
刘*安,010-6033****,北京凯达恒业农业技术开发有限公司,北京市房山区窦店镇久安路38号,13,91110111102806929A
刘*明,010-6939****,北京航天恒丰科技有限公司,北京市房山区窦店镇窦店村东京保路甲9号,14,911101116812383633
常*,010-8035****,北京卓宸畜牧有限公司,北京市房山区良乡镇侯庄村东,15,911101111027499289
葛*兵,010-6932****,北京臻味坊食品有限公司,北京市房山区周口店镇瓦梨路1号,16,911101115844830178
何*凡,010-6239****,北京中农富通园艺有限公司,北京市通州区潞城镇贾后瞳村委会西200米,17,91110112679634367T
宋*蔚,010-6051****,北京八里桥农产品中心批发市场有限公司,北京市通州区通惠北路甲27号,18,911101126337895070
李*林,010-8149****,北京顺鑫农业股份有限公司,北京市顺义区站前街1号院1号楼,19,91110000633712032W
李*阳,010-6941****,北京牵手果蔬饮品股份有限公司,北京市顺义区牛汇街1号1幢、2幢,20,911100007699033808
朱*彤,010-6048****,北京汇源饮料食品集团有限公司,北京市顺义区北小营镇府前街北侧汇源果汁,21,91110000802606485Y
庞*,010-5977****,北京中地种畜有限公司,北京市顺义区大孙各庄镇吴雄寺村村委会西200米,22,911100007635415261
杨*燕,010-6949****,北京恒慧通肉类食品有限公司,北京市顺义区金马工业区23号,23,91110113102544578B
孙*,010-6147****,北京优帝鸽业有限公司,北京市顺义区大孙各庄镇湘王庄村东2000米,24,9111011368357175XN
贠*德,010-8942****,北京顺鑫石门农产品批发市场有限责任公司,北京市顺义区仁和地区石门村,25,911101131025643844
王*伟,010-6796****,北京金星鸭业有限公司,北京市大兴区旧宫镇德茂庄德裕街7号,26,91110115633775906A
徐*建,010-6926****,北京资源亚太饲料科技有限公司,北京市大兴区黄村镇西磁村村委会北350米,27,911101156337118737
杜*雪,010-8929****,北京秋实农业发展有限公司,北京市大兴区榆垡镇榆昌路18号,28,911101157577148735
李*华,010-6069****,北京红螺食品有限公司,北京市怀柔区庙城镇郑重庄村631号,29,91110116102593927L
董*军,010-6166****,北京御食园食品有限公司,北京市怀柔区雁栖经济开发区牤牛河路71号院,30,91110116802600294H
孙*,010-6190****,北京沃德辰龙生物科技股份有限公司,北京市平谷区中关村科技园区平谷园兴谷A区7号-129,31,91110117MA002MDHXP
马*红,010-8459****-8001,金果园老农(北京)食品有限公司,北京市延庆区八达岭镇飞东路1号,32,911100007967147885
马*梅,010-6201****,北京首农食品集团有限公司,北京市西城区裕民中路4号,33,91110000101115923W
唐*,010-5630****,北京三元食品股份有限公司,北京市大兴区瀛海瀛昌街8号,34,91110000600062547M
杜*山,010-6190****,北京市华都峪口禽业有限责任公司,北京市平谷区峪口镇兴隆庄北街3号,35,91110117101108192B
尹*刚,010-6931****,北京德润通农业科技发展有限公司　,北京市房山区城关街道东瓜地村村委会北30米,36,91110111562142043G
狄*清,010-5167****,北京粮食集团有限责任公司,北京市西城区广安门内大街316号,37,91110000700224507H
吴*成,010-6157****,北京二商肉类食品集团有限公司,北京市通州区潞城镇食品工业园区武兴北路1号,38,911101127501087907
栾*成,010-8500****,中国粮油食品（集团）有限公司,北京市朝阳区朝阳门南大街8号中粮福临门大厦,39,
殷*豪,010-8501****,中国土产畜产进出口总公司（中粮）,北京市朝阳区朝阳门南大街8号,40,91110000100001457J
吴*荀,010-6370****,中牧实业股份有限公司,北京市丰台区南四环西路188号八区16-19号楼,41,9111000071092358XT
何*玉,010-5933****,中华棉花集团有限公司,北京市西城区宣武门外大街甲1号环球财讯中心B座11层,42,91110000100015197A
陈*,010-8800****,国投中鲁果汁股份有限公司,北京市丰台区科兴路7号205室,43,91110000166780051K
杨*岐,010-6350****,国能生物发电集团有限公司,北京市朝阳区北沙滩1号院37号楼,44,91110000777054454K
万*,010-8806****,中国农业发展集团有限公司,北京市西城区民丰胡同31号中水大厦,45,91110000100003057A
应*杰,010-5956****,中化现代农业有限公司,北京市西城区复兴门内大街28号818室,46,91110102MA001X7QX7
邓*科,010-5669****,北京世纪阿姆斯生物技术有限公司,北京市海淀区天秀路10号中国农大国际创业园3号楼5层5061,47,91110108600058935H
薛*友,010-5871****,北京京鹏环宇畜牧科技股份有限公司,北京市海淀区丰慧中路7号新材料创业大厦704号,48,91110108791637576Y
温*龙,010-5150****,北京京研益农科技发展中心,北京市海淀区紫竹院街道板井村,49,91110108600476176N
谢*,010-5158****,北京德农种业有限公司,北京市海淀区中关村南大街甲6号17层1701,50,91110108754152908D
张*宏,010-8289****,中博农畜牧科技股份有限公司,北京市海淀区上地信息路1号7层A栋,51,91110108744716036J
李*波,010-6389****,北京京丰岳各庄农副产品批发市场中心,北京市丰台区西四环中路136号,52,91110106742636286N
周*,010-6034****,北京航天农业生物科技有限公司,北京市房山区青龙湖镇大苑村良坨路甲2号,53,91110111666932074P
郄*金,010-6133****,北京琦彩鸿农业发展有限公司,北京市房山区张坊镇西白岱村北30米处,54,91110111585812847U
于*华,010-8492****?,北京昊屹畜牧有限公司　,北京市房山区良乡镇江村村东南-2,55,911101117817199736
冉*会,010-8036****,康莱德国际环保植被（北京）有限公司,北京市房山区长阳镇镇政府北2000米路西,56,91110111681210520P
赵*真,010-6939****,北京澳特舒尔保健品开发有限公司,北京市房山区窦店镇秋实工业园1号,57,91110000801145963P
褚*林,010-8039****,北京燕都立民屠宰有限公司,北京市房山区琉璃河镇平各庄村东,58,911101143484691687
孙*立,010-8039****,北京三江宏利牧业有限公司,北京市房山区琉璃河镇常舍村,59,911101117770827706
