质量安全认证,年产量,生产规模,产品类别,所属区域,联系人,主体类型,主体名称,ID,所属行业,主要销售渠道,联系电话,统一社会信用代码,更新时间
"有机,国家地理标识",40.0,8,蔬菜种植,顺义区,董**,合作社,北京利志农业专业合作社,C113007000000001,种植业,其他,***6580,93110113MA00EWTT2N,45271
"有机,国家地理标识",200.0,,粮经作物生产,平谷区,王**,合作社,北京北台头兴民农产品产销专业合作社,C117003000000002,种植业,其他,***1235,93110117MA7FGQ1H7D,44810
"无公害,绿色,有机,GAP",,,蔬菜种植,昌平区,张**,企业,北京万德园农业科技发展有限公司,E114110000000022,种植业,其他,***3582,91110114802662866N,45680
"无公害,绿色,有机,GAP",,60,蔬菜种植,昌平区,王**,企业,北京万德园农业科技有限公司,E114110000000022,种植业,其他,***0550,91110114802662866N,42625
"有机,国家地理标识",,150,蔬菜种植,昌平区,尹**,企业,北京爱心农业科技有限公司,E114113000000002,种植业,其他,***2828,91110114MA003R373D,45250
"有机,国家地理标识",,15,蔬菜种植,昌平区,朱**,企业,北京美林间草莓园,E114116000000006,种植业,其他,***3888,911101146728175747,45268
"ISO22000,HACCP,无公害",,,畜禽屠宰,大兴区,张**,企业,北京金星鸭业有限公司,E115108245000001,畜牧业,其他,***8564,91110115633775906A,45317
"ISO22000,HACCP,无公害",,,畜禽屠宰,大兴区,张**,企业,北京金星鸭业有限公司,E115108245000001,畜牧业,其他,***8564,91110115633775906A,45317
绿色,,,蔬菜种植,顺义区,周**,合作社,北京一景九田农业专业合作社,C113108213000001,种植业,其他,***8990,93110113MABLT6X867,45635
绿色,,,"蔬菜种植,蔬菜种植加工",顺义区,芦**,企业,北京大孙各庄吴雄寺农产品销售服务中心,C113109210000001,种植业,其他,***5856,911101137725551294,45622
绿色,150.0,,蔬菜种植,昌平区,汪**,合作社,北京市流村田园盛业农业专业合作社,C114118000000012,种植业,其他,***3857,93110114673843117H,45250
绿色,,,蔬菜种植,昌平区,汪**,合作社,北京市流村田园盛业农业专业合作社,C114118000000012,种植业,其他,***9636,93110114673843117H,45616
绿色,,,蔬菜种植,大兴区,杜**,合作社,北京采育喜山葡萄专业合作社,C115104000000017,种植业,其他,***3888,93110115686915941C,45540
绿色,,,蔬菜种植,大兴区,崔**,合作社,北京永顺兴泰种植专业合作社,C115111000000004,种植业,其他,***1712,931101155938382118,45253
绿色,,300,蔬菜种植,怀柔区,沈**,合作社,北京金丰春源种植专业合作社（仲海春生源农业发展有限公司）,C116102000000005,种植业,其他,***7617,93110116599697755T,45475
绿色,,,蔬菜种植,怀柔区,沈**,合作社,北京金丰春源种植专业合作社（仲海春生源农业发展有限公司）,C116102000000005,种植业,其他,***7617,93110116599697755T,45475
绿色,,,蔬菜种植,怀柔区,彭**,合作社,北京振鑫种植专业合作社,C116211208000001,种植业,其他,***4604,,45611
绿色,,8,蔬菜种植,怀柔区,马*****,合作社,北京绿尔康种植专业合作社,C116213000000001,种植业,其他,***0865,93110116MA00GD908W,45513
绿色,,,蔬菜种植,怀柔区,马*****,合作社,北京绿尔康种植专业合作社,C116213000000001,种植业,其他,***0865,93110116MA00GD908W,45813
绿色,,,蔬菜种植,平谷区,史**,合作社,北京京东绿谷蔬菜产销专业合作社,C117101000000002,种植业,其他,***9215,110117009471737,45646
绿色,,,其他(种植),平谷区,张**,合作社,北京松棚晚翠果蔬产销专业合作社,C117112204000001,种植业,其他,***8254,93110117MA01U2GD5Y,45855
绿色,,,其他(种植),密云区,佟**,合作社,北京满福园农副产品产销专业合作社,C118104000000001,种植业,其他,***8219,931102286857631142,45663
绿色,,9,其他(种植),密云区,佟**,合作社,北京满福园农副产品产销专业合作社,C118104000000001,种植业,其他,***8219,931102286857631142,45222
绿色,,,蔬菜种植,密云区,孟**,合作社,北京南山鑫农蔬菜种植专业合作社,C118104000000007,种植业,其他,***2007,,45650
绿色,45.0,110,蔬菜种植,密云区,孟**,合作社,北京南山鑫农蔬菜种植专业合作社,C118104000000007,种植业,其他,***2007,/,45222
绿色,7.0,,蔬菜种植,密云区,王**,合作社,北京和合园种植专业合作社,C118104000000016,种植业,其他,***4325,931102280648717105,45481
绿色,,,蔬菜种植,密云区,王**,合作社,北京和合园种植专业合作社,C118104000000016,种植业,其他,***4325,931102280648717105,45652
"绿色,其他,无公害",,,蔬菜种植,密云区,郑**,合作社,北京奥仪凯源蔬菜种植专业合作社,C118106000000002,种植业,其他,***3856,9311022869001795X8,45807
绿色,,250,蔬菜种植,密云区,王**,合作社,北京扬帆农产品产销专业合作社,C118106000000003,种植业,其他,***3095,93110118MAC6HURE50,45516
绿色,,,蔬菜种植,密云区,王**,合作社,北京扬帆农产品产销专业合作社,C118106000000003,种植业,其他,***3095,93110118MAC6HURE50,45790
绿色,,,蔬菜种植,密云区,李**,合作社,北京燕落蔬菜种植专业合作社,C118109000000002,种植业,其他,***5090,93110228696373031T,45260
绿色,,,"粮经作物生产,蔬菜种植",密云区,韩**,合作社,北京市密云区不老屯镇合作经济联社,C118109001000001,种植业,其他,***3403,N3110228599664400C,45607
绿色,,,蔬菜种植,延庆区,刘**,合作社,北京天地合种植专业合作社,C119103000000003,种植业,其他,***9867,93110229MA01G2G88F,45800
绿色,500.0,40,蔬菜种植,延庆区,刘**,合作社,北京天地合种植专业合作社,C119103000000003,种植业,其他,***9867,93110229MA01G2G88F,45420
绿色,,,蔬菜种植,延庆区,梁**,合作社,北京绿田园丰种植专业合作社,C119103000000008,种植业,其他,***0197,,45800
绿色,1301.8,519,蔬菜种植,延庆区,梁**,合作社,北京绿田园丰种植专业合作社,C119103000000008,种植业,其他,***0197,/,45420
绿色,,,蔬菜种植,延庆区,韩**,合作社,北京市延庆区永宁镇前平坊村股份经济合作社,C119103216000001,种植业,其他,***6199,,45807
绿色,487.0,,蔬菜种植,延庆区,孙**,合作社,北京强农富顺蔬菜种植专业合作社,C119103217000001,种植业,其他,***6369,/,45420
绿色,,,蔬菜种植,延庆区,孙**,合作社,北京强农富顺蔬菜种植专业合作社,C119103217000001,种植业,其他,***6369,,45800
绿色,120.0,,蔬菜种植,延庆区,于**,合作社,北京土地家园种植专业合作社,C119103217000002,种植业,其他,***4534,/,45420
绿色,,,蔬菜种植,延庆区,于**,合作社,北京土地家园种植专业合作社,C119103217000002,种植业,其他,***4534,,45800
绿色,,,粮经作物生产,延庆区,赵**,合作社,北京中顺种植专业合作社,C119104000000001,种植业,其他,***6290,93110119666915290c,45625
绿色,2250.0,,粮经作物生产,延庆区,赵**,合作社,北京中顺种植专业合作社,C119104000000001,种植业,其他,***6290,93110119666915290c,45275
绿色,,,蔬菜种植,延庆区,李**,合作社,北京兄弟新贵种植专业合作社,C119109000000001,种植业,其他,***7853,931102295620725672,45875
绿色,50.0,800,蔬菜种植,延庆区,李**,合作社,北京兄弟新贵种植专业合作社,C119109000000001,种植业,其他,***7853,931102295620725672,45469
绿色,1200.0,360,蔬菜种植,延庆区,李**,合作社,北京绿惠种植专业合作社,C119109000000004,种植业,其他,***0437,93110229567476165B,45475
绿色,,,蔬菜种植,朝阳区,孟**,企业,北京市朝阳区来广营乡来广营村朝来乐采摘园,E105032000000002,种植业,其他,***6126,911100007001199854,45820
HACCP,,350,蔬菜种植,通州区,蒋**,合作社,北京绿洲亿丰种植专业合作社,C112105000000001,种植业,其他,***2388,93110112053576679A,45219
HACCP,150.0,75,粮经作物生产,昌平区,尚**,合作社,北京市昌平区阳坊镇西马坊村股份经济合作社,C114104000000001,种植业,其他,***8929,/,45250
HACCP,40.0,,粮经作物生产,昌平区,黄**,合作社,北京市昌平区阳坊镇西贯市村股份经济合作社,C114104000000002,种植业,其他,***8565,/,45250
HACCP,37.0,,粮经作物生产,昌平区,韩**,合作社,北京市昌平区阳坊镇阳坊村股份经济合作社,C114104000000003,种植业,其他,***7956,/,45250
HACCP,,,蔬菜种植,大兴区,郭**,合作社,北京市京采兴农产品专业合作社,C115104000000013,种植业,其他,***2328,931101156923206078,44483
HACCP,8.0,115,蔬菜种植,大兴区,郭**,合作社,北京市京采兴农产品专业合作社,C115104000000013,种植业,其他,***2328,931101156923206078,44483
HACCP,4.0,1000,养殖,怀柔区,吴**,合作社,北京龙泉水产养殖场,C116108000000002,渔业,其他,***1440,,45251
HACCP,400.0,,粮经作物生产,延庆区,时**,合作社,北京双时助农花卉种植专业合作社,C119100000000013,种植业,其他,***7536,93110229576901389k,44880
HACCP,52600.0,,粮经作物生产,延庆区,李**,合作社,北京农华中药材种植专业合作社,C119109000000008,种植业,其他,***8168,93110229MA01HU2563,45505
HACCP,,,粮经作物生产,延庆区,李**,合作社,北京农华中药材种植专业合作社,C119109000000008,种植业,其他,***8168,93110229MA01HU2563,45505
HACCP,607.1,42.9,蔬菜种植,朝阳区,隋**,企业,北京鲁店农场有限公司,E105040000000002,种植业,其他,***3829,91110105MA01UQXN0B,45253
HACCP,,2,蔬菜种植,海淀区,于**,企业,北京市西山农场有限责任公司,E108029000000008,种植业,其他,***2324,911101081019316643,45448
HACCP,,,蔬菜种植,海淀区,于**,企业,北京市西山农场有限责任公司,E108029000000008,种植业,其他,***2324,911101081019316643,45448
"HACCP,ISO22000",3000.0,200000,畜禽养殖,房山区,王**,企业,北京昊屹畜牧有限公司,E111008231000001,畜牧业,其他,***1663,911101117817199736,45534
HACCP,250.0,500,畜禽养殖,房山区,方**,企业,北京市房山牧原农牧有限公司,E111109000000001,畜牧业,其他,***9977,91110111MA01T0DE32,45260
HACCP,779.2,,粮经作物生产,通州区,徐**,企业,北京兴漷裕民运营管理有限公司,E112106000000010,种植业,其他,***8058,91110112MA01T68Y1R,45222
HACCP,87.0,,蔬菜种植,通州区,徐**,企业,北京兴漷裕民运营管理有限公司,E112106000000039,种植业,其他,***8058,91110112MA01T68Y1R,45222
HACCP,1000.0,1000,粮经作物生产,通州区,徐**,企业,北京兴漷裕民运营管理有限公司,E112106000000043,种植业,其他,***7866,91110112MA01T68Y1R,45218
HACCP,9000.0,2300,畜禽养殖,通州区,罗**,企业,北京首农畜牧发展有限公司半截河牛场,E112117000000001,畜牧业,其他,***7450,91111011580289490,45260
HACCP,11232.0,2088,畜禽养殖,通州区,成**,企业,北京首农畜牧发展有限公司中以示范牛场,E112117000000009,畜牧业,其他,***3887,911101158028909490,45260
HACCP,,,蔬菜种植,通州区,武**,企业,北京京东晟禾农业科技有限公司,E112209000000014,种植业,其他,***9300,91110112MA00DHQ18L,44571
