等级,主要完成人,主要完成单位,成果名称,序号,获奖年份
一等奖,王**、王**、蔡**、徐**、刘**、张**、崔**、贾**、段**、邢**、田**、郭**、王**、吕**、李**、张**、阮**、梁**、张**、闫**,北京市农林科学院玉米研究所、北京农科院种业科技有限公司、北京龙耘种业有限公司,京农科728等系列早熟耐旱玉米品种研发与推广,1,2019-2022年度
一等奖,宗**、齐**、马**、王**、田**、张**、徐**、李**、李**、刘**、贡**、田**、杨**、李**、张**、高**、崔**、张**、焦**、崔**,北京市农业技术推广站、北京市昌平区农业技术推广站、北京市海淀区农业技术综合服务中心、北京市顺义区农业科学研究所、北京市通州区农业（种植）技术推广中心,设施草莓高质量生产技术集成创新与产业化应用,2,2019-2022年度
一等奖,范**、杜**、韩**、郝**、狄**、刘**、安**、杜**、汤**、朱**、靳**、张**、刘**、韩**、张**、王**、钱**、李**、商**、韦**,北京农业职业学院、中国农业大学、北京农学院、河北省植保植检总站、北京市农业机械试验鉴定推广站、北京市农业技术推广站、北京市通州区农业（种植）技术推广中心、北京市大兴区种植业技术推广站、北京市房山区种植业技术推广站、北京市顺义区农业科学研究所,叶菜品种选育及技术集成创新与应用推广,3,2019-2022年度
一等奖,曹**、田**、姜**、曹**、张**、刘**、赵**、徐**、王**、张**、佟**、闫**、吕**、阚**、韩**、李**、张**、张**、姜**、高**,北京市农业技术推广站、北京市农林科学院智能装备技术研究中心、北京永盛园农业种植中心、北京茂源广发农业发展有限公司,蔬菜机械化育苗技术提升与集成推广,4,2019-2022年度
一等奖,郭**、齐**、王**、付**、屠**、司**、金**、张**、王**、胡**、程**、王**、姜**、尹**、吴**、郭**、郑**、康**、李**、魏**,北京市畜牧总站、中国农业科学院饲料研究所、北京精准动物营养研究中心有限公司、北京正大饲料有限公司、北京市昌平区动物疫病预防控制中心、北京市平谷区畜牧水产服务中心、北京市房山区动物疫病预防控制中心、北京市昌平区马池口镇农业服务中心、北京市密云区农业农村局石城所、北京市昌平区南口镇农业服务中心,奶牛、蛋鸡精准饲养技术集成与服务模式创建及应用,5,2019-2022年度
一等奖,胡**、田**、朱**、马**、董**、王**、王**、孙**、李**、王**、郭**、东**、金**、高**、李**、姚**、孙**、张**、姜**、刘**,北京市农林科学院水产科学研究所,优质杂交鲟苗种创制及配套技术推广应用,6,2019-2022年度
一等奖,刘**、邵**、赵**、王**、王**、王**、董**、王**、姚**、王**、童**、崔**、魏**、陈**、杨**、苏**、张**、晏**、林**、李**,北京农学院、北京三元禾丰牧业有限公司、北京永和荣达饲料有限公司、北京市畜牧总站、北京中农弘科生物技术有限公司、北京市昌平区动物疫病预防控制中心、北京市房山区动物疫病预防控制中心、北京市延庆区农业技术综合服务中心、北京市怀柔区动物疫病预防控制中心、北京市平谷区动物疫病预防控制中心,功能性酵母产品研制及其在畜禽养殖减抗中的应用与推广,7,2019-2022年度
一等奖,熊**、张**、李**、高**、杨**、滕**、王**、赵**、陈**、陈**、廖**、郭**、栗**、张**、马**、闫**、徐**、佟**、孙**、韩**,北京市农业机械试验鉴定推广站、北京市顺义区农业机械化技术推广服务站、北京奥格尼克生物技术有限公司、北京市大兴区农业机械化技术推广站、北京市房山区农业机械技术推广站、北京市平谷区种植业服务中心、北京市延庆区农业科技服务中心、北京市昌平区农业机械化技术推广站、北京市密云区农业机械化技术推广服务站、北京市怀柔区农业技术综合服务中心,北京市种植秸秆资源化利用机械化技术示范推广,8,2019-2022年度
一等奖,赵**、郭**、孙**、王**、陈**、孟**、聂**、李**、王**、马**、钟**、杨**、陈**、布**、刘**、丰**、张**、曹**、王**、王**,北京市农林科学院数据科学与农业经济研究所,基于知识图谱的农民远程教育智能化技术研究与推广,9,2019-2022年度
一等奖,于**、王**、邱**、罗**、龚**、张**、陆**、宋**、肖**、刘**、曹**、郑**、平**、乔**、王**、马**、杜**、侯**、刘**、张**,北京市农林科学院数据科学与农业经济研究所、北京市农业农村宣传中心、北京智农天地网络技术有限公司、北京市数字农业农村促进中心、北京市农产品质量安全中心、中国农业大学、张家口市农业信息中心、北京市平谷区果品产业服务中心、北京市昌平区农业农村事务中心,北京农业科技大讲堂服务体系建设与应用,10,2019-2022年度
一等奖,欧**、王**、肖**、杨**、万**、温**、翟**、韩**、王**、王**、马**、吴**、张**、王**、闫**、刘**、常**、王**、凡**、刘**,北京市农产品质量安全中心、北京市农林科学院、北京勤邦科技股份有限公司、国家粮食和物资储备局科学研究院、承德市农产品质量监督检测中心、北京市大兴区农业农村局检测检疫和疫病防控中心、北京市新发地农产品股份有限公司、北京市延庆区农产品质量安全中心、北京市平谷区农业综合检验检测中心、北京市密云区农业综合检验检测站,粮菜农药残留生物毒素快检技术研发集成与推广应用,11,2019-2022年度
一等奖,吴**、王**、张**、郑**、黄**、潘**、张**、黄**、郑**、孙**、王**、李**、蓝**、李**、王**、邢**、王**、孟**、郭**、孟**,北京市畜牧总站、中国农业大学、北京市平谷区畜牧水产服务中心、北京市昌平区动物疫病预防控制中心、北京市密云区动物疫病预防控制中心、景天环谷（北京）生态科技发展有限公司、北京市房山区农业技术综合服务中心,规模养殖场臭气污染系统防治关键技术集成与应用,12,2019-2022年度
二等奖,周**、周**、裴**、兰**、梅**、栾**、佟**、石**、刘**、张**、李**、谷**、石**、郎**、张**,北京市农业技术推广站、北京市气候中心、北京市房山区种植业技术推广站、北京市密云区土肥工作站、北京市顺义区农业技术综合服务中心,小麦玉米绿色高产高效技术集成与应用,13,2019-2022年度
二等奖,李**、毛**、刁**、姚**、岳**、崔**、窦**、何**、徐**、罗**、李**、李**、刘**、王**、刘**,北京市农业技术推广站、中国农业科学院、北京市农林科学院、中国农业大学、北京农学院、北京市密云区农业服务中心、北京市房山区种植业技术推广站、北京市大兴区种植业技术推广站,谷子甘薯优良品种选育及优化栽培技术推广,14,2019-2022年度
二等奖,魏**、贺**、胡**、赵**、吴**、张**、王**、赵**、白**、贾**、池**、戴**、李**、王**、蒋**,北京市农业技术推广站、北京市房山区种植业技术推广站、北京市怀柔区农业技术综合服务中心、北京市通州区农业（种植）技术推广中心、北京市昌平区农业职业技术学校、北京市密云区农业技术推广站、北京市延庆区农业技术综合服务中心,食用菌绿色高效生产关键技术提升与集成应用,15,2019-2022年度
