统一社会信用代码,许可证编号,许可证有效期,许可机关,注册地址,企业名称
91110108699594606R,E(农)农种许字(2020)第0204号,2025.09.13,农业农村部,北京市海淀区温泉镇杨家村南（原北京市海淀温泉服装厂厂区）B区平房07,北京优嘉利丰农业科技有限公司
91110108699594606R,BCD(京)农种许字(2020)第0005号,2025.07.21,北京市种子管理站,北京市海淀区温泉镇杨家庄村南（原北京市海淀温泉服装厂厂区）B区平房07,北京优嘉利丰农业科技有限公司
91110108735580683A,BD(京)农种许字(2022)第0003号,2027.03.27,北京市种子管理站,北京市海淀区紫竹院路5号楼107室,北京农科院种业科技有限公司
91110108MA0081CMX3,B(京)农种许字(2021)第0002号,2026.04.25,北京市种子管理站,北京市海淀区学院南路15号院7号楼6层715,北京中智龙星农业科技有限公司
911101153181448992,E(农)农种许字(2021)第0225号,2026.04.19,农业农村部,北京市大兴区中关村科技园区大兴生物医药产业基地天华大街9号院3号楼10层1103室,北京多良农业科技有限公司
91110000593849260J,BCD(京)农种许字(2017)第0008号,2027.08.31,北京市农业农村局,北京市西城区宣武门外大街甲1号15层1513,中农集团种业控股有限公司
91110000593849260J,E（农）农种许字（2018）第0054号,2028.03.15,农业农村部,北京市西城区宣武门外大街甲1号15层1513,中农集团种业控股有限公司
9111010859064653XM,G(农)农种许字(2023)第0054号,2028.12.24,农业农村部,北京市海淀区苏家坨镇澄湾街19号院2号楼1层,北京大北农生物技术有限公司
91110108633734549N,B(京)农种许字(2022)第0005号,2027.05.15,北京市农业农村局,北京市海淀区生命园路21号1号楼A栋办公楼3层309室,北京奥瑞金种业有限公司
91110000710925016E,A(京)农种许字(2017)第0001号,2027.01.12,北京市种子管理站,北京市西城区西单民丰胡同31号5幢318室,中农发种业集团股份有限公司
91110108600377178H,B(京)农种许字(2022)第0007号,2027.10.18,北京市农业农村局,北京市海淀区中关村大街27号19层1901B,北京金色农华种业科技股份有限公司
91110108600377178H,A(京)农种许字(2017)第0004号,2027.06.28,北京市农业农村局,北京市海淀区中关村大街27号19层1901B,北京金色农华种业科技股份有限公司
91110108768497659A,B(京)农种许字(2020)第0003号,2025.05.17,北京市种子管理站,北京市海淀区西直门外高粱桥斜街19号院3号楼一层102房间 ,北京中农三禾农业科技有限公司
91110108772599738Q,E （农）农种许字（2017）第0026 号,2027.08.28,农业农村部,海淀区上地三街9 号D座11 层1112 室,北京凯福瑞科技股份有限公司
91110108802104530D,B(京)农种许字(2018)第0007号,2028.10.06,北京市农业农村局,北京市海淀区西四环北路15号依斯特大厦308室,北京金农科种子科技有限公司
91110108802104530D,E（农）农种许字（2019）第0114号,2024.01.31,农业农村部,北京市海淀区西四环北路15号依斯特大厦308室,北京金农科种子科技有限公司
911101143443659943,E(农)农种许字(2019)第0154号,2024.08.28,农业农村部,北京市昌平区南邵镇张各庄村东街80号,北京拉森农业发展有限公司
91110114752617468J,B(京)农种许字(2020)第0004号,2025.05.26,北京市种子管理站,北京市昌平区回龙观镇生命园路4号院4号楼9层901A,北京中农大康科技开发有限公司
911102293065564900,B(京)农种许字(2023)第0001号,2028.02.12,北京市农业农村局,北京市延庆区大榆树镇下屯村东区甲161号,北京新中品开元农业发展有限公司
/,A(京)农种许字(2017)第0009号,2027.08.31,北京市农业农村局,北京市海淀区厂西门2号吉友大厦3007,北京华农伟业种子科技股份有限公司
/,"E(农)农种许字(2023)第
0346号",2028.12.24,农业农村部,北京市丰台区造甲街南里11号楼11-3幢1层11370,海伟斯特国际种子（北京）有限公司
/,F(农)农种许字(2020)第0021号,2025.04.02,农业农村部,"  北京市朝阳区建外大街22号赛特大厦1406,1407室  ",海泽拉启明种业（北京）有限公司
/,"
E(农)农种许字(2022)第0264号",2027.06.13,农业农村部,北京市朝阳区建国门外大街22号赛特大厦1号楼1406、1407室,海泽拉启明种业（北京）有限公司
/,"E（农）农种许字（2019）
第0112号",2024.01.31,农业农村部,北京市朝阳区东四环南路53号院4号楼10层1115,金扬浦（北京）农业科技有限公司
/,E（农）农种经许字（2021）第0246号,2026.09.28,农业农村部,北京市海淀区紫竹院街道板井村蔬菜研究中心33号楼1层101室,京研益农（北京）种业科技有限公司
/,A(京)农种许字(2017)第0002号,2027.03.22,北京市种子管理站,北京市海淀区紫竹院街道板井村北京蔬菜研究中心33号楼1层101,京研益农（北京）种业科技有限公司
/,F、E（农）农种许字（2020）第0023号,2025.05.27,农业农村部,北京市平谷区兴谷街道平旺街62号院1号楼1层至2层,圣尼斯种子（北京）有限公司
/,F（农）农种许字（2019）第0014号,2024.01.31,农业农村部,北京市顺义区板桥乡南侧,先正达种苗（北京）有限公司
/,E(农)农种许字(2021)第0215号,2026.02.09,农业农村部,北京市顺义区板桥乡南侧,先正达种苗（北京）有限公司
/,E（农）农种许字（2019）第0113号,2024.01.31,农业农村部,北京市朝阳区曙光西里甲6号1号楼9单元1005室 ,中地种业（集团）有限公司
/,E(农)农种许字(2023)第0344号,2028.12.24,农业农村部,北京市顺义区李桥镇沿河村村委会西侧600米,北京百幕田农业科技有限公司
/,A(京)农种许字(2019)第0001号,2024.12.08,北京市种子管理站,北京市朝阳区曙光西里甲6号院1号楼9层1005,中地种业（集团）有限公司
/,"E（农）农种许字（2018）
第0055号",2028.03.15,农业农村部,北京市海淀区中关村南大街12号,中蔬种业科技（北京）有限公司
/,F(农)农种许字(2018)第0012号,2028.03.15,农业农村部,北京市海淀区林风二路38号院5号楼7层710,安莎天地种子（北京）有限公司
/,"F（农）农种许字（2018）
第0009号",2028.01.04,农业农村部,北京市北京经济技术开发区经海四路16号,纽内姆（北京）种子有限公司
91110108102032548X,BD(京)农种许字(2018)第0010号,2028.11.15,北京市农业农村局,北京市海淀区中关村南大街乙12号院1号楼12层1510,北京四海种业有限责任公司
91110108662199987E,B(京)农种许字(2018)第0009号,2028.11.19,北京市农业农村局,北京市海淀区上地信息路1号国际创业园1号楼903室,北京垦丰龙源种业科技有限公司
91110108796744098E,BCD(京)农种许字(2016)第0002号,2026.11.17,北京市种子管理站,北京市海淀区马连洼竹园住宅小区综合楼5层502室,北京中农金科种业科技有限公司
91110108306637477B,A(京)农种许字(2020)第0001号,2025.01.16,北京市种子管理站,北京市海淀区马连洼北路158号1号楼4层08,北京大京九农业开发有限公司
91110108584492335B,B(京)农种许字(2017)第0003号,2026.12.14,北京市种子管理站,北京市海淀区上地三街9号F座806室,北京新实泓丰种业有限公司
91110108783231293B,（京）菌种生经许字（2022）第001号,2025.09.27,北京市农业农村局,北京市海淀区圆明园西路2号院中国农业科学院原子能利用研究所49号楼103室,北京吉蕈园科技有限公司
91110114348359903L,B(京)农种许字(2022)第0006号,2027.10.08,北京市农业农村局,北京市昌平区满井胡同135号院2号楼10层1012,北京舍得方硕农业发展有限公司
91110115102882665U,F(农)农种许字(2017)第0005号,2027.04.07,农业农村部,北京市大兴区生物工程与医药产业基地天荣街9号,北京世农种苗有限公司
911101153589925506,B(京)农种许字(2021)第0001号,2026.02.08,北京市种子管理站,北京市大兴区中关村科技园区大兴生物医药产业基地天华大街9号院2号楼18层2108室 ,北京金粒农业科技有限公司
91110115788648389A,F(农)农种许字(2020)第0020号,2025.01.21,农业农村部,北京市大兴区丽园路30号院23号楼1层107,北京中联韩种子有限公司
91110105633654178H,E(农)农种许字(2020)第0186号,2025.05.27,农业农村部,北京市朝阳区芍药居北里101号1幢15层2座1819,北京北农种业有限公司
91110108344314978R,BCD(京)农种许字(2019)第0005号,2024.12.26,北京市种子管理站,北京市海淀区羊坊店路18号2幢10层1063 ,北京纵横种业有限公司
91110228103005525B,BD(京)农种许字(2017)第0002号,2027.01.05,北京市种子管理站,北京市密云区西门外大街30-8号,北京中农斯达农业科技开发有限公司
911103026259103896,F(农)农种许字(2018)第0011号,2028.03.15,农业农村部,北京市大兴区北京经济技术开发区康定街1号院8号楼,东方正大种子有限公司
911100003216493967,B(京)农种许字(2024)第0001号,2029.02.27,北京市农业农村局,北京朝阳区阜通东大街12 号楼11 层1005、1006,垦丰科沃施种业有限公司
911100003216493967,F（农）农种许字（2016）第0001号,2026.06.17,农业农村部,北京市朝阳区阜通东大街12号楼11层1005、1006,垦丰科沃施种业有限公司
91110105739358115P,E（农）农种许字（2019）第0125号,2024.04.11,农业农村部,北京市朝阳区久文路6号院41号楼1至3层105,北京圣华德丰种子有限公司
91110105MA02AHKX7U,A(京)农种许字(2023)第0001号,2028.11.27,北京市农业农村局,北京市朝阳区曙光西里甲6号院1号楼8层0903,北京中地种业有限公司
91110108306559085T,B(京)农种许字(2022)第0002号,2027.03.22,北京市种子管理站,北京市海淀区羊坊店路18号1幢6层605,北京沃尔正泰农业科技有限公司
9111010876847473XN,BCD(京)农种许字(2020)第0002号,2025.05.06,北京市种子管理站,北京市海淀区中关村南大街甲6号16层1603,北京金色谷雨种业科技有限公司
9111010876847473XN,E(农)农种许字(2020)第0188号,2025.05.27,农业农村部,北京市海淀区中关村南大街甲6号16层1603,北京金色谷雨种业科技有限公司
91110111MA01KB3P0J,BD(京)农种许字(2020)第0001号,2025.03.03,北京市种子管理站,北京市房山区良乡凯旋大街建设路18号-D8191,北京高锐思种业有限公司
91110114MA01FUF23A,E(农)农种许字(2022)第0275号,2027.08.28,农业农村部,北京市昌平区回龙观镇北农路7号科技综合楼A0916室,北京福联智农业科技有限公司
91110115MA01XECD94,B(京)农种许字(2022)第0001号,2027.03.15,北京市种子管理站,北京市大兴区青云店镇青正街8号090室平房,北京兴农益远农业科技有限公司
91110105MA00AJ505A,B(京)农种许字(2018)第0012号,2028.11.27,北京市农业农村局,北京市朝阳区化工路59号院1号楼1至14层01内A座六层602A室,北京粒隆种业科技有限公司
91110108700051378M,E(农)农种许字(2022)第0265号,2027.06.13,农业农村部,北京市海淀区羊坊店路18号2幢10层1059,北京华奥农科玉育种开发有限责任公司
91110108700051378M,B(京)农种许字(2017)第0001号,2027.01.28,北京市种子管理站,北京市海淀区羊坊店路18号2幢10层1059,北京华奥农科玉育种开发有限责任公司
91110108718776270G,BCD(京)农种许字(2017)第0004号,2027.02.27,北京市种子管理站,北京市海淀区中关村南大街12号四区106幢平房,北京宝丰种子有限公司
91110228071689298U,BCD(京)农种许字(2019)第0003号,2029.01.17,北京市农业农村局,北京市密云区河南寨镇套里村北（原木器厂院内）,北京泰民同丰农业科技有限公司
91110228666938943R,BCD(京)农种许字(2016)第0001号,2026.09.21,北京市种子管理站,北京市密云县十里堡镇靳各寨村东（原种子公司院内）,北京龙耘种业有限公司
911101087959792318,E(农)农种许字(2021)第0221号,2026.02.09,农业农村部,北京市海淀区吴家场路1号院2号楼2层202,北京中农金玉农业科技开发有限公司
911101087959792318,BD(京)农种许字(2018)第0008号,2028.09.26,北京市农业农村局,北京市海淀区吴家场路1号院2号楼2层1单元202,北京中农金玉农业科技开发有限公司
91110112569464897Y,"E(农)农种许字(2023)第
0345号",2028.12.24,农业农村部,北京市通州区观音庵北街3号院1号楼18层1804,北京盛禾源农业科技有限公司
91110108MA019DJ70X,"E(农)农种许字(2023)第
0343号",2028.12.24,农业农村部,北京市海淀区中关村大街27号19层1901J,北京丰度高科种业有限公司
91110108MA019DJ70X,A(京)农种许字(2022)第0001号,2027.10.18,北京市农业农村局,北京市海淀区中关村大街27号19层1901J,北京丰度高科种业有限公司
91110108MA019DJ70X,B(京)农种许字(2018)第0005号,2028.06.06,北京市农业农村局,北京市海淀区中关村大街27号19层1901J,北京丰度高科种业有限公司
91110108MA019DJ70X,G(农)农种许字(2023)第0053号,2028.12.24,农业农村部,北京市海淀区中关村大街27号19层1901J,北京丰度高科种业有限公司
91110113MA01L2XJ3X,BD(京)农种许字(2020)第0006号,2025.09.17,北京市种子管理站,北京市顺义区金穗路2号院7号楼4层416,北京华晟益美农业科技有限公司
91110113MA01L2XJ3X,E(农)农种许字(2020)第0205号,2025.09.13,农业农村部,北京市顺义区金穗路2号院7号楼416,北京华晟益美农业科技有限公司
91110108317967084K,BC(京)农种许字(2020)第0007号,2025.11.01,北京市种子管理站,北京市昌平区回龙观镇北农路7号科技综合楼A0918室（昌平示范园）,北京登海种业有限公司
91110108774700967Y,E(农)农种许字(2020)第0198号,2025.09.13,农业农村部,北京市海淀区中关村南大街乙12号院1号楼19层2211、2212室,北京联创种业有限公司
91110108774700967Y,A(京)农种许字(2017)第0008号,2027.08.08,北京市农业农村局,北京市海淀区中关村南大街乙12号院1号楼19层2211、2212室,北京联创种业有限公司
91110108774700967Y,G(农)农种许字(2023)第0052号,2028.12.24,农业农村部,北京市海淀区中关村南大街乙12号院1号楼19层2211、2212,北京联创种业有限公司
911101027763688229,D(京)农种许字(2020)第0001号,2025.05.17,北京市种子管理站,北京市西城区新街口外大街8号金丰和写字楼B座115室,北京百欧通种子有限公司
91110108784836665Y,E（农）农种许字（2017）第0040号,2027.11.03,农业农村部,北京市海淀区温泉镇山口路1号院1号楼1014室,北京奥立沃种业科技有限公司
91110108784836665Y,BD(京)农种许字(2019)第0004号,2024.12.08,北京市种子管理站,北京市海淀区温泉镇杨家庄村南（原北京市海淀区温泉服装厂厂区）A区三层3018,北京奥立沃种业科技有限公司
911101135658094139,BCD(京)农种许字(2018)第0002号,2028.02.12,北京市农业农村局,北京市顺义区南彩镇顺平辅线188号1幢306室,北京顺鑫国际种业集团有限公司
91110114663739172D,B(京)农种许字(2023)第0002号,2028.12.21,北京市农业农村局,北京市昌平区城北街道西关路20号3号楼11层3-1215,北京圣尼亚种业科技有限公司
911100003302325415,G(农)农种许字(2023)第0056号,2028.12.24,农业农村部,北京市顺义区顺通路25号1幢04-05层,北京顺鑫农科种业科技有限公司
911100003302325415,A(京)农种许字(2018)第0001号,2028.03.12,北京市农业农村局,北京市顺义区顺通路25号1幢04-05层,北京顺鑫农科种业科技有限公司
911101085712553736,BCD(京)农种许字(2017)第0005号,2027.03.15,北京市种子管理站,北京市海淀区天秀路10号中国农大国际创业园3号楼2层2026室,北京世诚中农科技有限公司
91110108756746144Q,B(京)农种许字(2017)第0006号,2027.11.22,北京市农业农村局,北京市海淀区中关村南大街乙12号院1号楼4层510,北京北方丰达种业有限责任公司
911101147868651605,E(农)农种许字(2018)第0068号,2028.10.16,农业农村部,北京市昌平区科技园区超前路9号B座2028,北京华耐农业发展有限公司
911101147868651605,BD(京)农种许字(2017)第0007号,2027.06.26,北京市农业农村局,北京市昌平区科技园区超前路9号B座2028,北京华耐农业发展有限公司
91110000100000403R,E（农）农种许字（2019）第0142号,2024.07.07,农业农村部,北京市朝阳区胜古南里甲34楼,中国林木种子集团有限公司
91110105600097344R,F（农）农种许字（2018）第0008号,2028.01.04,农业农村部,北京市顺义区大孙各庄镇杜石路1号8幢,北京大一韩日国际种苗有限公司
91110108754152908D,G(农)农种许字(2023)第0057号,2028.12.24,农业农村部,北京市海淀区中关村南大街甲6号铸诚大厦B座1701室,德农种业股份公司
91110108754152908D,A(京)农种许字(2016)第0003号,2026.11.09,北京市种子管理站,北京市海淀区中关村南大街甲6号17层1701,德农种业股份公司
911101087855117828,BD(京)农种许字(2016)第0005号,2026.11.09,北京市种子管理站,北京市海淀区彰化路138号院1号楼9层904,北京中农绿桥科技有限公司
91110108788630453L,B(京)农种许字(2021)第0003号,2026.06.01,北京市种子管理站,北京市海淀区安宁庄西路15号怡美家园20号楼108室,北京禾佳源农业科技股份有限公司
911101125844931275,E（农）农种许字（2017）第0013号,2027.08.28,农业农村部,北京市通州区中关村科技园区通州园国际种业科技园区聚和七街1号-399,神舟绿鹏农业科技有限公司
91110113MA01WP7T2U,E(农)农种许字(2021)第0226号,2026.04.19,农业农村部,北京市顺义区李遂镇市场南路1幢414号,北京克劳斯生态科技有限公司
91110116795117949T,B(京)农种许字(2016)第0007号,2027.02.10,北京市种子管理站,北京市怀柔区杨宋镇梭草村51号,北京广源旺禾种业有限公司
911100007000055074,F(农)农种许字(2023)第0031号,2028.10.16,农业农村部,北京市昌平区南口农场内,北京安德鲁水果食品有限公司
911100007000055074,E(农)农种许字(2023)第0328号,2028.10.16,农业农村部,北京市昌平区南口农场内,北京安德鲁水果食品有限公司
911101057526371001,E(农)农种许字(2018)第0069号,2028.03.15,农业农村部,北京市顺义区大孙各庄镇杜石路1号6幢,北京亘青种子有限公司
911101057526371001,BD(京)农种许字(2017)第0010号,2027.03.29,北京市种子管理站,北京市顺义区大孙各庄镇杜石路1号6幢,北京亘青种子有限公司
911101070573572034,E(农)农种许字(2020)第0187号,2025.05.27,农业农村部,北京市石景山区北京市石景山区实兴大街30号院3号楼2层A-3223房间,北京绿冠生态科技股份有限公司
91110108MA04FJJX5E,G(农)农种许字(2023)第0055号,2028.12.24,农业农村部,北京市海淀区北京市海淀区中关村大街27号19层1902-1,北京创种科技有限公司
91110101766764450C,D(京)农种许字(2018)第0006号,2028.07.05,北京市农业农村局,北京市东城区建国门内大街7号光华长安大厦1座12层,北京东方商友贸易有限公司
91110106317929192N,BD(京)农种许字(2020)第0008号,2025.11.30,北京市种子管理站,北京市丰台区南三环西路65号C座2层060,北京澳加美农业技术开发有限公司
911101086336726083,E(农)农种许字(2019)第0151号,2024.08.28,农业农村部,北京市海淀区林风二路38号院5号楼7层710,北京天地园种苗有限公司
91110108688384523P,E(农)农种许字(2020)第0197号,2025.09.13,农业农村部,北京市海淀区中关村南大街乙12号院1号楼16层1908,北京开心格林农业科技有限公司
91110108688384523P,B(京)农种许字(2022)第0004号,2027.04.18,北京市农业农村局,北京市海淀区中关村南大街乙12号院1号楼16层1908,北京开心格林农业科技有限公司
