育种者,申请者,登记编号,作物名称,品种名称
北京天地园种苗有限公司,北京天地园种苗有限公司,GPD向日葵(2019)110089,向日葵,TDYSCE903
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD大白菜(2017)110048,大白菜,京翠70号
盈信（北京）农业发展有限公司,盈信（北京）农业发展有限公司,GPD大白菜(2020)110062,大白菜,CR铂爵
北京四海种业有限责任公司,北京四海种业有限责任公司,GPD大白菜(2020)110542,大白菜,喜娃
北京安峰种苗科技有限公司,北京安峰种苗科技有限公司,GPD大白菜(2022)110042,大白菜,鑫品
北京安峰种苗科技有限公司,北京安峰种苗科技有限公司,GPD大白菜(2022)110043,大白菜,安白
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD甜瓜(2020)110022,甜瓜,京玉30
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD甜瓜(2020)110023,甜瓜,京玉357
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD甜瓜(2020)110135,甜瓜,京玉911
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD甜瓜(2020)110136,甜瓜,京玉黄流星
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD甜瓜(2020)110137,甜瓜,京玉白流星
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD甜瓜(2020)110138,甜瓜,京玉1号
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD甜瓜(2020)110139,甜瓜,京玉太阳
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD甜瓜(2020)110324,甜瓜,京玉月亮
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD甜瓜(2020)110325,甜瓜,京玉352
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD甜瓜(2020)110326,甜瓜,京玉4号
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD甜瓜(2020)110327,甜瓜,京玉11号
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD甜瓜(2020)110328,甜瓜,京玉绿宝
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD甜瓜(2020)110365,甜瓜,京玉墨宝
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD甜瓜(2020)110366,甜瓜,京玉绿宝2号
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD甜瓜(2020)110463,甜瓜,京玉羊角酥
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD甜瓜(2020)110466,甜瓜,京玉268
盈信（北京）农业发展有限公司,盈信（北京）农业发展有限公司,GPD甜瓜(2020)110541,甜瓜,金贝尔
盈信（北京）农业发展有限公司,盈信（北京）农业发展有限公司,GPD甜瓜(2020)110542,甜瓜,绿贝尔
北京天地园种苗有限公司,北京天地园种苗有限公司,GPD番茄(2020)110157,番茄,阳桃71
北京天地园种苗有限公司,北京天地园种苗有限公司,GPD番茄(2020)110158,番茄,春桃70
北京富万家农业科技发展有限公司,北京富万家农业科技发展有限公司,GPD番茄(2020)110188,番茄,甜番贝
北京富万家农业科技发展有限公司,北京富万家农业科技发展有限公司,GPD番茄(2020)110189,番茄,多拉
北京富万家农业科技发展有限公司,北京富万家农业科技发展有限公司,GPD番茄(2020)110190,番茄,塔丽卡
北京富万家农业科技发展有限公司,北京富万家农业科技发展有限公司,GPD番茄(2020)110248,番茄,红小贝
北京富万家农业科技发展有限公司,北京富万家农业科技发展有限公司,GPD番茄(2020)110249,番茄,多可5号
北京美晨禾生生物科技有限公司,北京美晨禾生生物科技有限公司,GPD番茄(2020)110329,番茄,菲腾一号
北京美晨禾生生物科技有限公司,北京美晨禾生生物科技有限公司,GPD番茄(2020)110408,番茄,禾瑞斯一号
北京美农东方科技发展有限公司;上海市农业科学院,北京美农东方科技发展有限公司;上海市农业科学院,GPD番茄(2020)110487,番茄,申红2号
北京美农东方科技发展有限公司;上海市农业科学院,北京美农东方科技发展有限公司;上海市农业科学院,GPD番茄(2020)110488,番茄,申粉18
北京金土地农业技术研究所,北京金土地农业技术研究所,GPD番茄(2021)110114,番茄,金冠81
北京金土地农业技术研究所,北京金土地农业技术研究所,GPD番茄(2021)110115,番茄,金冠58
北京德莱高科农业科技有限公司,北京德莱高科农业科技有限公司,GPD番茄(2022)110190,番茄,德莱复兴三号
北京天地园种苗有限公司,北京天地园种苗有限公司,GPD结球甘蓝(2020)110224,结球甘蓝,鸿源绿贝
北京中农富通园艺有限公司,北京中农富通园艺有限公司,GPD结球甘蓝(2022)110007,结球甘蓝,富绿60
北京安峰种苗科技有限公司,北京安峰种苗科技有限公司,GPD结球甘蓝(2022)110028,结球甘蓝,奥宇
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2017)110004,西瓜,华欣
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2017)110024,西瓜,京美
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2018)110377,西瓜,京嘉
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2018)110378,西瓜,京颖
北京北农种业有限公司,北京北农种业有限公司,GPD西瓜(2019)110071,西瓜,北农佳丽
北京北农种业有限公司,北京北农种业有限公司,GPD西瓜(2019)110072,西瓜,北农吉嘉
北京北农种业有限公司,北京北农种业有限公司,GPD西瓜(2019)110107,西瓜,佳美1号
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110119,西瓜,京美10K
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110120,西瓜,京美6K
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110121,西瓜,京美4K
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110124,西瓜,京嘉2号
北京关尔科技发展有限公司,北京关尔科技发展有限公司,GPD向日葵(2017)110001,向日葵,关尔一号
北京关尔科技发展有限公司,北京关尔科技发展有限公司,GPD向日葵(2017)110003,向日葵,GY9191
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD向日葵(2017)110176,向日葵,NX73008
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD向日葵(2018)110152,向日葵,NX65001
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD向日葵(2018)110153,向日葵,NX10226
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD向日葵(2018)110154,向日葵,NX19012
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD向日葵(2018)110155,向日葵,K989
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD向日葵(2018)110210,向日葵,NK858
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD向日葵(2018)110211,向日葵,NK919
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD向日葵(2018)110212,向日葵,G101
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD向日葵(2018)110213,向日葵,NX44166
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD向日葵(2018)110214,向日葵,NX53177
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD向日葵(2018)110719,向日葵,S606
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD向日葵(2018)110720,向日葵,TO12244
北京绿冠草业股份有限公司,北京绿冠草业股份有限公司,GPD向日葵(2018)110861,向日葵,TP3316
北京绿冠草业股份有限公司,北京绿冠草业股份有限公司,GPD向日葵(2018)111157,向日葵,冠葵115
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD向日葵(2020)110045,向日葵,NX52363
北京关尔科技发展有限公司,北京关尔科技发展有限公司,GPD向日葵(2020)110351,向日葵,G五
北京君川种业科技有限公司,北京君川种业科技有限公司,GPD大白菜(2018)110351,大白菜,君胜2号
北京君川种业科技有限公司,北京君川种业科技有限公司,GPD大白菜(2018)110352,大白菜,井泽快菜
北京君川种业科技有限公司,北京君川种业科技有限公司,GPD大白菜(2018)110522,大白菜,金星黄
北京君川种业科技有限公司,北京君川种业科技有限公司,GPD大白菜(2018)110523,大白菜,君川尊者
北京君川种业科技有限公司,北京君川种业科技有限公司,GPD大白菜(2018)110524,大白菜,绿美达
北京君川种业科技有限公司,北京君川种业科技有限公司,GPD大白菜(2019)110068,大白菜,君胜60
北京君川种业科技有限公司,北京君川种业科技有限公司,GPD大白菜(2019)110086,大白菜,君胜55
北京君川种业科技有限公司,北京君川种业科技有限公司,GPD大白菜(2019)110400,大白菜,君川力寒
北京君川种业科技有限公司,北京君川种业科技有限公司,GPD大白菜(2019)110401,大白菜,君川金旺
北京君川种业科技有限公司,北京君川种业科技有限公司,GPD大白菜(2019)110402,大白菜,君川夏喜
北京百欧通种子有限公司,北京百欧通种子有限公司,GPD大白菜(2020)110234,大白菜,NH金皇后
北京硕源种子有限公司,北京硕源种子有限公司,GPD大白菜(2020)110255,大白菜,黄金快菜
