序号,样品名称,标称生产企业,标称产地,标称商标,标称型号,规格,标称生产日期或批号,主要不合格项目或主要问题,更新时间
1,手提式干粉灭火器,北京金承消防科技有限公司,寿光市腾龙消防器材有限公司,山东,腾龙（含图形）,MFZ/ABC1,42705,20℃±5℃喷射性能,5/6/2024 11:34:09
2,有衬里消防水带,北京旺利鹏达五金电料商店,黄山市龙潭消防水带有限责任公司,安徽,登雲（含图形）,8-65-25-涤纶长丝/涤纶长丝-塑料,42826,爆破压力,5/6/2024 11:34:09
3,消防应急照明灯具,北京朋通兴安商贸中心,中山市小榄镇永程电器厂,广东,羽展（含图形）,YC-ZFZD-E3WB-1,42675,耐压性能,5/6/2024 11:34:09
4,手提式干粉灭火器,北京朋通兴安商贸中心,冀州市润丰消防器材有限公司,河北,衡水湖（含图形）,MFZ/ABC4,42856,20℃±5℃喷射性能,5/6/2024 11:34:09
5,消防水枪,北京北机机电工业有限责任公司消防器材销售部,高邮市金仓消防设备有限公司,江苏省,高邮邮宁,/,未标注,耐水压强度,5/6/2024 11:34:09
6,手提式干粉灭火器,北京江南安泰消防安全技术有限公司,天津市北洋消防器材有限公司,天津市,北洋（含图形）,/,43160,灭火器充装量,5/6/2024 11:34:09
7,室内消火栓,北京福安企达消防器材有限公司,福建省南安市广威消防器材有限公司,福建省,广威,/,未标注,固定接口（水压强度）,5/6/2024 11:34:09
8,消防应急标志灯具,北京鑫淼润泽消防工程有限公司,江门市汇大新电子有限公司,广东省,上富（含图形）,/,42795,重复转换性能、耐压试验,5/6/2024 11:34:09
9,消防应急标志灯具,北京东方华宇消防器材销售有限公司,顺德区均安镇志远照明电器厂,广东省,志远（含图形）,/,43109,重复转换性能、耐压试验,5/6/2024 11:34:09
10,有衬里消防水带,北京江华永恒建材有限公司,江苏四海消防器材有限公司,江苏省,双拐（含图形）,/,43009,耐磨性能,5/6/2024 11:34:09
11,有衬里消防水带,北京鑫方盛五金交电有限公司销售分公司,高邮市水花消防器材有限公司,江苏,邮花,8-65-25-涤纶长丝/涤纶长丝-聚氨酯,43221,爆破压力    耐磨性能,5/6/2024 11:34:09
12,手提式干粉灭火器,北京京盾永安消防设备销售中心,山东龙成消防科技股份有限公司,山东,薪薪（含图形）,MFZ/ABC4型,43221,20℃±5℃喷射性能        筒（瓶）体爆破试验,5/6/2024 11:34:09
13,直流水枪,北京京嵌兴业科技有限责任公司,江苏丹花消防器材有限公司,江苏,丹花,QZ3.5/7.5,未标注,耐水压强度,5/6/2024 11:34:09
14,消防应急照明灯具,北京京嵌兴业科技有限责任公司,江门市汇大新电子有限公司,广东,上富（含图形）,XH-ZFZD-E3W-02F,43101,基本功能试验重复转换性能,5/6/2024 11:34:09
15,手提式干粉灭火器,北京东方盛辉消防科技有限公司,莱州市亿泽消防器材有限公司,山东,飞泉（含图形）,MFZ/ABC4型,2018年06,灭火器充装量,5/6/2024 11:34:09
16,消防应急照明灯具,北京路程富科技有限公司,江门市汇大新电子有限公司,广东,上富（含图形）,XH-ZFZD-E3W-02A,43040,耐压性能,5/6/2024 11:34:09
17,有衬里消防水带,北京鑫泰利发商贸有限公司,高邮市新世纪消防器材有限公司,江苏,水花,8-65-20-涤纶长丝/涤纶长丝-聚氨酯,42878,长度,5/6/2024 11:34:09
18,室内消火栓,北京北阀通顺商贸有限公司,福建泉州闽弘消防设备有限公司,福建,闽弘（含图形）,SN50,43070,固定接口（水压强度）,5/6/2024 11:34:09
19,有衬里消防水带,北京旭唐科技有限公司,扬州市东盛消防救生装备有限公司,江苏,年成（含图形）,13-65-20-涤纶长丝/涤纶长丝-聚氨酯,43160,长度,5/6/2024 11:34:09
20,消防应急标志灯具,北京闽顺清五金批发部,新会区睦洲卡德波特电器厂,广东,波特（含图形）,KB-BLZD-I1LROE2W,2017.12.24,基本功能试验重复转换性能,5/6/2024 11:34:09
