标称生产者信息,被抽样单位信息,产品信息,检验结果,主键,更新时间
北京继远斋食品有限公司,北京继远斋食品有限公司,"冷加工糕点,蜜饯,糖果",完全合格,110101-2022-1-000456,26/10/2023 10:00:00
北京汇力发食品工业有限责任公司第二销售部,北京汇力发食品工业有限责任公司第二销售部,"冷加工糕点,热加工糕点",完全合格,110101-2023-1-000023,26/10/2023 10:00:00
北京中海万悦饮料销售中心,北京中海万悦饮料销售中心,瓶(桶)装饮用水,完全合格,110102-2022-1-000113,26/10/2023 10:00:00
北京中海万悦饮料销售中心,北京中海万悦饮料销售中心,瓶(桶)装饮用水,完全合格,110102-2022-1-000763,26/10/2023 10:00:00
北京中海万悦饮料销售中心,北京中海万悦饮料销售中心,瓶(桶)装饮用水,完全合格,110102-2023-1-000054,26/10/2023 10:00:00
法美味饼业（北京）有限公司,法美味饼业（北京）有限公司,"糕点,冷加工糕点",完全合格,110105-2022-1-000107,26/10/2023 10:00:00
北京二商富月食品有限公司,北京二商富月食品有限公司,"其他粮食加工品,热加工糕点",完全合格,110105-2022-1-000310,26/10/2023 10:00:00
北京金华林营养保健品有限责任公司,北京金华林营养保健品有限责任公司,"蜂产品制品,蜂蜜,蜂王浆(含蜂王浆冻干品),其他方便食品",完全合格,110105-2023-1-000676,26/10/2023 10:00:00
北京圣祥乳制品厂,北京圣祥乳制品厂,液体乳,完全合格,110106-2022-1-000229,26/10/2023 10:00:00
北京艾森绿宝油脂有限公司,北京艾森绿宝油脂有限公司,食用植物油,完全合格,110106-2022-1-001185,26/10/2023 10:00:00
北京金美添技术发展有限公司,北京金美添技术发展有限公司,发酵肉制品,完全合格,110106-2023-1-000225,26/10/2023 10:00:00
北京京粮东方粮油贸易有限责任公司,北京京粮东方粮油贸易有限责任公司,"大米,其他粮食加工品",完全合格,110106-2023-1-000641,26/10/2023 10:00:00
北京樱桃泉矿泉水厂,北京樱桃泉矿泉水厂,包装饮用水,完全合格,110108-2022-1-000009,26/10/2023 10:00:00
北京蜂珍科技开发有限公司蜂产品加工厂,北京蜂珍科技开发有限公司蜂产品加工厂,"蜂产品制品,蜂蜜,蜂王浆(含蜂王浆冻干品)",本次检查发现不符合项（0）项，其中：重点项（）项，项目序号分别是（）；一般项（）项，项目序号分别是（）。,110108-2023-1-002780,30/11/2023 22:00:03
北京正隆斋全素食品有限公司,北京正隆斋全素食品有限公司,"冷加工糕点,热加工糕点",完全合格,110108-2023-1-002804,27/11/2023 22:01:37
北京四季顺鑫食品有限公司,北京四季顺鑫食品有限公司,"热加工熟肉制品,预制调理肉制品",完全合格,110108-2023-1-002838,27/11/2023 22:02:51
北京四季顺鑫食品有限公司,北京四季顺鑫食品有限公司,"热加工熟肉制品,预制调理肉制品",完全合格,110108-2023-1-002914,30/11/2023 22:00:12
