姓名,年度
 北京北辰会展投资有限公司,2023
北京京能清洁能源电力股份有限公司,2023
北京华天饮食控股集团有限公司,2023
北京市东城区北新桥街道总工会 ,2023
北京市延庆区教育工会,2023
北京北一机床有限责任公司,2023
北京市朝阳区总工会,2023
北京市昌平区城南街道总工会,2023
首钢环境产业有限公司,2023
北京住总科贸控股集团有限公司,2023
北京首农东风资产管理有限公司 ,2023
中建交通第二建设公司,2023
北京建工集团有限责任公司,2023
北京市鼓楼中医医院,2023
北京市房山区青龙湖镇总工会,2023
北京市海淀区上地街道总工会 ,2023
北京德源兴业投资管理集团有限公司,2023
北京金隅新型建材产业化集团有限公司,2023
北京央务恒远保安服务有限公司,2023
北京市大兴区总工会,2023
北京市怀柔区泉河街道总工会 ,2023
北京市昌平区总工会,2023
中建二局第一建筑工程有限公司设备安装分公司 ,2023
北京奥科瑞检测技术开发有限公司 ,2023
北京市丰台区总工会,2023
北京翠微大厦股份有限公司,2023
北京北投通城建设开发有限公司,2023
北京市顺义区总工会 ,2023
中国铁路北京局集团有限公司,2023
北京汽车股份有限公司工会 ,2023
北京一商创信科技有限责任公司,2023
北京市通州区漷县镇总工会,2023
国网北京市电力公司亦庄供电公司 ,2023
