企业名称,统一社会信用代码
北京新奥集团有限公司,
北京实创科技园开发建设股份有限公司,9.11E+17
北京首特钢园区开发经营有限公司,91110107074196173R
,
通州区园林绿化局,
北京实创科技园开发建设股份有限公司,9.11E+17
北京宣房大德置业投资有限公司,91110102306500665C
首都医科大学附属北京友谊医院,1.21E+17
北京怀柔科学城建设发展有限公司,91110116MA00D3MN4H
北京市南水北调工程建设管理中心,1.21E+17
北京实创科技园开发建设股份有限公司,9.11E+17
北京建工四建房地产开发有限公司,9111010568285271X9
京安城际铁路有限公司,91110112MA004R440H
北京市土地整理储备中心延庆县分中心,
北京市房山区城市管理委员会,
丰台区水务局,
北京信息科技大学,1.21E+17
北京鼎昌房地产开发有限公司,91110114741579603A
北京怀柔科学城建设发展有限公司,91110116MA00D3MN4H
北京市首都公路发展集团有限公司,91110000700221058P
北京市基础设施投资有限公司,
北京怀柔科学城建设发展有限公司,91110116MA00D3MN4H
北京怀柔科学城建设发展有限公司,91110116MA00D3MN4H
北京华融基础设施投资有限责任公司,91110000788952938B
北京实创科技园开发建设股份有限公司,9.11E+17
北京悦康凯信制药有限公司,91110115318057904R
北京怀柔科学城建设发展有限公司,91110116MA00D3MN4H
北京市天竺房地产开发公司,9111011310251861XH
北京市房山区发展和改革委员会,1.11E+17
北京市大兴区旧宫镇人民政府,1.11E+17
北京辰威房地产开发有限公司,9111011373509794XC
北京市南水北调工程建设管理中心,1.21E+17
北京和信京香房地产开发有限公司,9111010858913043XM
北京实创高科技发展有限责任公司,9111010810200570XL
中船重工海空智能装备有限公司,91110302MA00G4K96E
中国人民大学,12100000400002435L
北京金海湖文旅投资有限公司,91110117MA0178PB7H
北京市土地整理储备中心通州区分中心,1.21E+17
北京城市副中心工程建设管理办公室,
北京市大兴区瀛海镇政府,
北京市交通委员会通州公路分局,1.21E+17
北京首钢房地产开发有限公司,91110000633712278Y
北京市交通委员会通州公路分局,1.21E+17
北京紫图房地产开发有限公司,91110228752606195T
北京城市副中心投资建设集团有限公司,9.11E+17
,
,
北京兴福临空产业发展有限公司,9.11E+17
北京市房山区长沟镇政府,
北京古船福兴食品有限公司,91110115565761800L
北京碧桂园阳光置业发展有限公司(北京京碧置业发展有限公司),
北京星泰通府置业有限公司,91110112MA0081CC8H
北京南海子投资管理有限公司,91110302556839469Q
北京百利兴房地产开发有限公司,91110117722600817U
北京龙建诚信房地产开发有限公司,9111000074472129X6
北京北控国际会都房地产开发有限责任公司,9.11E+17
北京市门头沟区永定镇人民政府,1.11E+17
北京兴展盛业投资有限公司,91110115676649483T
北京芯盾时代科技有限公司,91110107351285263D
北京石泰基础设施投资有限公司,91110107093089824Q
北京市顺义区后沙峪镇人民政府,1.11E+17
北京市基础设施投资有限公司,
首钢集团,
北京市怀柔区水务局,11110227000097949G
北京首钢生物质能源科技有限公司,91110000560374342R
北京京能科技有限公司,
平谷区大华山镇人民政府,
北京市大兴区采育镇人民政府,11110224000088436X
首都师范大学附属中学,1.21E+17
北京市昌平区人民法院,11110221000028644A
北京市昌平区人民法院,11110221000028644A
北京市平谷区人民法院,1.11E+17
北京市通州区人民法院,1.11E+17
北京市东城区城市管理委员会,
北京市通州区市政市容管理委员会,
北京市通州区市政市容管理委员会,
北京市昌平区热力供应管理中心,12110221584478517T
北京心连心热力有限公司,91110228102987336H
北京同仁堂股份有限公司同仁堂药酒厂,91110112801100001N
新兴际华（北京）应急救援科技有限公司,
延庆区消防救援支队,
北京榆树庄投资管理公司,91110106102183610B
北京诚丰建材制品有限公司,91110106600018976W
北京市政路桥集团有限公司,91110000567482258Y
北京星明湖度假村,
北京绿都基础设施投资有限公司,9.11E+17
北京市大兴区卫生和计划生育委员会,
北京二七轨道交通装备有限责任公司,
北京悦居热力有限公司,9.11E+17
北京二七通信工厂,
北京二七通信工厂,
北京翔仁物业管理有限公司,91110115758225844D
北京泰利丰瑞物业管理有限公司,91110101634305455C
北京市延庆区城市管理委员会,
北京市延庆区城市管理委员会,
北京市门头沟区城市管理委员会（北京市门头沟区城乡环境建设管理委员会办公室）,
北京市丰台区公安消防支队,
北京市热力集团有限责任公司,91110000101100238R
北京航空航天大学,12100000400011227Y
北京市海淀区人民政府机关事务管理处,12110108400885397G
中关村国家自主创新示范区展示交易中心,12110108571298736U
北京戏曲艺术职业学院,1.21E+17
北京医院,12100000400005599J
北京市顺义区北小营镇后鲁各庄村经济合作社,N21101137786345060
北京市先农坛体育运动技术学校,12110000400685539X
北京九华山庄集团股份有限公司,9.11E+17
北京正东电子动力集团有限公司,91110000101101150L
北京永辉超市有限公司,91110107681217503Q
北京京能未来燃气热电有限公司,91110114067316755U
北京祥龙出租客运有限公司,91110000722609272P
北京统一饮品有限公司,9111000080114985XE
北京嘉诚热力有限公司,91110116661590159R
北京北汽出租汽车集团有限责任公司,91110000633692131T
北京金房暖通节能技术股份有限公司,91110114101646767U
北京市延庆区园林绿化局,
北京公共交通控股（集团）有限公司,9111000010110591XL
北京民益投资管理中心,
中共中央直属机关住房服务中心,
北京龙脉温泉疗养院,9.11E+17
北京市房山区档案馆,12110111000078238X
北京公共交通控股（集团）有限公司,9111000010110591XL
北京市燃气集团有限责任公司,91110000795951626B
北京青岛啤酒三环有限公司,9.11E+17
北京市大兴区园林绿化局,1.11E+17
北京市顺义区园林绿化局,
北京天竺空港经济开发区金马工业园,
环保部北京会议与培训基地,
朝阳区园林绿化局,
昌平区园林绿化局,
北京市怀柔区园林绿化局,
