bid,旅行社名称,旅行社业务经营许可证编号,统一社会代码,许可文号,英文名称,出资人,法定代表人,经营场所,许可经营业务,许可日期
1,交通公社新纪元国际旅行社有限公司,L-BJ-WZ00001,91110105710939063C,旅管理发[2000]007号,JTB NEW CENTURY INTERNATIONAL TOURS CO.LTD,中信旅游集团有限公司、株式公社JTB,赵**,北京市朝阳区亮马桥东方东路19号外交办公大楼D01-0-0501A,境内旅游业务 出境旅游业务 入境旅游业务 ,24/1/2000
2,国旅运通旅行社有限公司,L-BJ-WZ00005,91110105710938749D,旅管理发[2001]140号,CITS AMERICAN EXPRESS TRAVEL SERVICE LIMITED,中国国际旅旅行社总社有限公司、美国旅运通旅行服务（香港）有限公司,陈**,北京市朝阳区广渠路38号楼一轻大厦7、8层,境内旅游业务 出境旅游业务 入境旅游业务 ,10/1/2002
3,北京福莱森特康辉国际旅行社有限公司,L-BJ-WZ00006,911101057109371219,旅管理发[2002]9号,flight centre-comfort business travel service co. ltd,中国康辉旅行社有限公司、FLIGHT-CENTRE(CHINA) PTY  LTD,谢**,北京市朝阳区亮马桥路39号1号楼第4层A401,境内旅游业务 入境旅游业务 ,21/3/2002
4,中旅途易旅游有限公司,L-BJ-WZ00008,91110101710932144N,旅管理发[2003]84号,"TUI CHINA TRAVEL CO.,LTD",星旅易游信息科技（北京）有限公司、TUI股份有限公司,法**·弗雷德里赫·瓦尔德克,北京市东城区建国门内大街7号光华长安大厦第2座921--926,境内旅游业务 出境旅游业务 入境旅游业务 ,18/11/2003
5,中青旅国际旅游有限公司,L-BJ-WZ00011,91110000717744875D,旅发[2016]56号,"CYTS INTERNATIONAL TRAVEL CO.,LTD",中青旅控股股份有限公司、中国青年旅行社（香港）有限公司,张**,北京市东城区东直门南大街5号中青旅大厦5层,境内旅游业务 出境旅游业务 入境旅游业务 ,14/11/2007
6,近畿国际旅行社（中国）有限公司,L-BJ-WZ00012,91110105717860593T,旅管理发（2005）221号,KINTETSU INTRERNATIONAL EXPRESS （CHINA） CO；LTD,"KNT-CT HOLDINGS CO.,LTD",江**文,北京市朝阳区建国门外大街甲24号16层1608A-9室,境内旅游业务 入境旅游业务 ,7/5/2005
7,阪急国际旅行社（中国）有限公司,L-BJ-WZ00013,91110101717860120R,旅管理发[2005]219号,"HANKYU INTERNATIONAL CHINA CO.,LTD.",株式会社阪急交通社,酒**,北京市东城区东直门外大街48号写字楼19A,境内旅游业务 入境旅游业务 ,7/5/2005
8,哈拿多乐旅游（北京）有限公司,L-BJ-WZ00014,91110105717882477D,旅管理发[2008]126号,HANA TOUR CHINA,韩国（株）哈拿多乐旅行社,白**,北京市朝阳区望京西园二区221号博太大厦907室,境内旅游业务 入境旅游业务 ,5/11/2007
9,励驰旅游（北京）有限公司,L-BJ-WZ00016,91110105551350576R,国家旅游局监管发（2009）282号,"RITZ TOURS (BEIJING) CO.,LTD",励驰旅游有限公司,詹**,北京市东城区建国门南大街5号3号楼3407室,境内旅游业务 入境旅游业务 ,25/2/2010
10,百事活(北京)旅行社有限公司,L-BJ-WZ00018,911101057178845520,国家旅游局旅监管发(2009)285号,"Pacific World (Beijing ) Travel Agency Co.,Ltd",百事活会议香港有限公司,埃**.约瑟夫.安东尼,北京市朝阳区日坛路6号新族大厦3层312室,境内旅游业务 入境旅游业务 ,24/10/2009
11,北京东方联盟旅行社有限责任公司,L-BJ-WZ00020,91110102678204517R,国家旅游局旅监管发(2010)37号,"BEIJING ORIENT ALLIANCE TRAVEL SERVICE CO.,LTD",红龙咨询有限公司,卡**金.格奥尔吉,北京市西城区德胜门外大街36号楼17层2单元1701,境内旅游业务  入境旅游业务 ,12/7/2010
12,北京自由之星旅行社有限公司,L-BJ-WZ00021,91110105678200591X,旅监管发[2010]82号,BEIJING FREEDOM TRAVEL AGENCY LTD,秦游国际旅行社有限公司,田**,北京市朝阳区秀水街1号7号楼1单元081,境内旅游业务 入境旅游业务 ,6/9/2010
13,北京亚信国际旅行社有限公司,L-BJ-WZ00022,91110105717884659B,旅监管发[2010]183号,ASIAN TRAILS INTERNATIONAL TRAVEL SERVICES (BEIJING)LTD,亚洲旅途投资有限公司,张**,北京市朝阳区麦子店街37号8层810室,境内旅游业务 入境旅游业务 ,7/9/2010
