序号,项目名称,项目申报单位,统一社会信用代码,年度
1,御茶膳房节令礼食衍生旅游商品销售项目,北京御茶膳房食品有限责任公司,91110101774063179M,2021
2,《北京传统工艺美术系列旅游商品》创新研发项目,北京工美集团有限责任公司,9111000010110372XU,2021
3,首都长城文化带特色旅游商品研发项目,北京文创科技有限责任公司,91110101563691933M,2021
4,北京特色智慧文创旅游商品研发项目,北京智维思创科技有限公司,911101013443460992,2021
5,“首都·礼遇”历史文化主题旅游商品项目,万点东方（北京）旅游文化有限公司,911101023065188992,2021
6,“冰雪主题”毛绒和各类材质玩具类旅游产品销售项目,北京元隆雅图文化传播股份有限公司,911100006337468032,2021
7,博古通今 国博典藏文物赋能现代科技，时尚诠释经典,北京元隆创展文化传播有限公司,91110102669124320T,2021
8,“紫禁之巅”北京中轴线文化系列旅游产品研发设计项目,北京知原悟造文化创意发展有限公司,91110105MA00EPFP1H,2021
9,《故宫思维训练大挑战》,御鉴文化（北京）有限公司,91110105MA009LDE0D,2021
10,北京工业旅游商品设计开发,北京华新意创工业设计有限公司,9111010866372339XM,2021
11,建侬原创文化服饰研发设计项目,北京建侬体育用品有限公司,911101086004077056,2021
12,首都文化特色的旅游商品销售项目(4A景区及国家一级博物馆）,北京博霖贺隅国际文化发展有限公司,91110106571242679F,2021
13,北京海洋元素文旅纪念品销售项目,北京海之乐文化创意有限公司,91110106MA01XNYQXC,2021
14,北京景区景点旅游商品销售项目,中和博礼（北京）科技发展有限公司,91110101597733601W,2021
15,"""首钢文创""系列旅游商品开发",北京首钢园区综合服务有限公司,91110107071737042K,2021
16,故宫 “ 最北京 ” 系列文化旅游产品项目,北京华胥氏文化投资管理有限公司,911101093179163008,2021
17,市级非遗“火绘葫芦”及景区与民宿配套新潮产品开发,北京文韵中萃文化发展有限公司,91110111MA0090FD8M,2021
18,“东方艺珍花丝如意”系列产品开发转化,北京东方艺珍花丝镶嵌厂,91110112102386119B,2021
19,冰雪主题旅游商品的设计研发和生产,北京福人福地文化发展有限公司,911101066615538944,2021
20,东韵丝绸文化旅游商品销售项目,北京丝纶纺织股份有限公司,911101127582408960,2021
21,京城皇家文化产品系列,北京百创文化传播有限公司,91110112067285485D,2021
22,北京2022年冬奥会特许商品研发,北京华江文化集团有限公司,911101017488178944,2021
23,宫廷季首都旅游商品销售项目,央广幸福购物（北京）有限公司,911101156932199040,2021
24,北京文化特色旅游商品,北京金蜜蜂文化创意股份有限公司,911101156950292992,2021
25,承天门酒（20）研发设计生产项目,北京华都酿酒食品有限责任公司,911101147214456960,2021
26,冬奥旅行套绒冲锋衣项目,探路者控股集团股份有限公司,91110000700205322G,2021
27,御食园“北京礼物”礼盒系列旅游商品,北京御食园食品股份有限公司,91110000700205322G,2021
28,红星钰玺研发设计投入项目,北京红星股份有限公司,911100007226141056,2021
29,三联韬奋书店专柜,北京三联韬奋书店有限公司,9111010110128521X1,2021
30,北京首钢园礼物店,北京首钢园区综合服务有限公司,91110107071737042K,2021
