唯一标识,行政相对人名称,统一社会信用代码,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,备注,是否删除,行政相对人类别,更新时间
44e841ff-413f-4092-95e6-53026b710531,北京莱速科技有限责任公司,91110108MA01XQ7X3R,刘*,(京)文执罚 〔2023〕第200117号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京莱速科技有限责任公司于2023年04月23日与2023年06月21日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-09-01,2099-12-31,2024-09-01,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:35
5a7350b9-725d-4922-a866-6cba99d3ab78,北京惠红慧梓文化传播有限公司,91110115MA00H3796B,翟*鹏,(京)文执罚 〔2023〕第400254号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京市惠红慧梓文化传播有限公司于2023年03月31日与2023年08月03日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-09-21,2099-12-31,2024-09-21,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:32
ef4ecc0e-b1b5-489d-b0a3-bb6a18c62466,北京乐趣玩文化传媒有限公司,91110117MA04C3A24F,田*童,(京)文执罚 〔2023〕第200174号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京乐趣玩文化传媒有限公司于2023年08月19日与2023年09月19日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-11-10,2099-12-31,2024-11-10,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:41
087e17d2-7963-4931-bccc-00dbaf852e88,北京王竹星琳文化传媒有限公司,91110105MA7CJWTE01,邓*,(京)文执罚 〔2023〕第200150号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京王竹星琳文化传媒有限公司于2023年06月10日至2023年09月07日期间，存在传播《中华人民共和国未成年人保护法》第五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示的违法行为，无违法所得。,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-09-27,2099-12-31,2024-09-27,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:33
536f5b82-c66f-4be7-989b-99956285be96,北京建岛文化传媒有限公司,91110102MA7MXYM37E,刘*昭,(京)文执罚 〔2023〕第200094号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京建岛文化传媒有限公司于2023年05月01日与2023年06月09日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-06-30,2099-12-31,2024-06-30,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:28
75c83cf1-14f4-4751-9a4f-3cc28c95c091,北京天顺八酒店管理有限责任公司,91110107569541514J,陈*,(京)文执罚 〔2023〕第200088号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,    北京天顺八酒店管理有限责任公司于2023年06月03日与2023年06月12日期间，存在传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）的违法行为，无违法所得。,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-06-29,2099-12-31,2024-06-29,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:30
a37ceb0a-8711-43d4-af65-df9d1c0a8f65,北京亓元文化有限责任公司,91110101MABNBKE95Q,常*骐,(京)文执罚 〔2023〕第200048号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京亓元文化有限责任公司于2023年03月15日至2023年03月29日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）。,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-06-09,2099-12-31,2024-06-09,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:34
d3898c7a-d36e-48f3-b14e-4c2eeff69961,西街十七号（北京）商贸有限公司,91110102MA02MDA16M,郭*琛,(京)文执罚 〔2023〕第200070号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,西街十七号（北京）商贸有限公司于2022年02月01日与2023年05月24日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-06-29,2099-12-31,2024-06-29,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:34
f87fb840-ed94-40a3-8eed-b08fb4577321,侦八厝（北京）娱乐文化有限公司,91110101MA02166L04,杜*轩,(京)文执罚 〔2023〕第200051号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,侦八厝（北京）娱乐文化有限公司于2023年01月01日与2023年05月09日期间，存在传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为），依法作出行政处罚：警告。,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-06-15,2099-12-31,2024-06-15,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:24
27719ab6-f716-4e39-a8ec-3861730bd4b6,北京久理文化有限公司,91110102MA029X4M3M,李*勋,(京)文执罚 〔2023〕第200084号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京久理文化有限公司于2021年04月16日与2023年05月08日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-06-29,2099-12-31,2024-06-29,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:33
