唯一标识,行政相对人名称,统一社会信用代码,组织机构代码,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,是否删除,行政相对人类别,更新时间
0aa81cc1-9fea-4cc3-a859-98fa679a0525,麟祥（北京）网络科技有限公司,91110107327139418M,,朱*阳,(京)文执罚 〔2023〕第400147号,经营性互联网文化单位提供含有禁止内容的互联网文化产品,麟祥（北京）网络科技有限公司于2023年4月11日，提供含有危害社会公德的互联网文化产品，存在经营性互联网文化单位提供含有禁止内容的互联网文化产品的行为。,《互联网文化管理暂行规定》第二十八条第一款,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币叁佰伍拾元伍角伍分;2.罚款人民币壹万元。,1,0.035055,2023/6/29,2099/12/31,2024/6/29,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:38
70fe0f5e-82af-43a1-bf3a-11c1b24cfb43,北京卓特视觉科技有限公司,91110101397037468H,,孙*,(京)文执罚 〔2023〕第400138号,未经批准，擅自从事经营性互联网文化活动,北京卓特视觉科技有限公司于2014年05月29日与2023年04月28日期间，存在未经批准，擅自从事经营性互联网文化活动的行为。,《互联网文化管理暂行规定》第二十一条,警告;罚款,1.警告;2.罚款人民币壹仟元。,0.1,,2023/6/14,2099/12/31,2024/6/14,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:37
e9ba613b-a135-40fb-a4f8-c7d293980a38,北京蓝湾博阅科技有限公司,91110105MA01D3J83K,MA01D3J83,王*,(京)文执罚 〔2023〕第400291号,经营性互联网文化单位未在其网站主页的显著位置标明《网络文化经营许可证》编号,北京蓝湾博阅科技有限公司于2021年08月09日至2023年09月20日期间，存在经营性互联网文化单位未在其网站主页的显著位置标明《网络文化经营许可证》编号的行为。,《互联网文化管理暂行规定》第二十三条第一款,罚款,罚款人民币叁仟元。,0.3,,2023/10/27,2099/12/31,2024/4/27,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:30
3ed7fdf7-5f2a-4968-838f-962230c546ed,北京猴面包树科技有限公司,91110108MA002Q1B5P,,李*,(京)文执罚 〔2024〕第400191号,经营性互联网文化单位未在其网站主页的显著位置标明《网络文化经营许可证》编号,"北京猴面包树科技有限公司于2023年8月22日至2024年8月14日期间,存在经营性互联网文化单位未在其网站主页的显著位置标明《网络文化经营许可证》编号的行为，违法所得0元。",《互联网文化管理暂行规定》第二十三条第一款,罚款,罚款人民币叁仟元。,0.3,,2024/9/3,2099/12/31,2025/3/3,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:44
486cba56-f48f-43d2-8e5d-894b1d0b0aba,北京光忆世代网络科技有限公司,91110108080453340K,080453340,李*仁,(京)文执罚 〔2023〕第400299号,经营性互联网文化单位变更有关信息未办理变更或者备案手续,北京光忆世代网络科技有限公司于2023年07月20日与2023年08月21日期间，存在经营性互联网文化单位变更有关信息未办理变更或者备案手续的情况，违反了《互联网文化管理暂行规定》第十三条第一款的规定，依据《互联网文化管理暂行规定》第二十四条第一款的规定进行行政处罚。,《互联网文化管理暂行规定》第二十四条第一款,罚款,罚款人民币壹万元。,1,,2023/11/9,2099/12/31,2024/11/9,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:27
6f3807f7-3af6-4485-aa04-eb31693c6d02,北京火星火翎文化科技有限公司,91110105MA01WCFP5D,,陈*,(京)文执罚 〔2025〕第400004号,未经批准，擅自从事经营性互联网文化活动,北京火星火翎文化科技有限公司于2024年2月10日至2025年2月10日期间，存在未经批准，擅自从事经营性互联网文化活动的行为，违法所得418元。,《互联网文化管理暂行规定》第二十一条,警告;罚款;没收违法所得、没收非法财物,1.警告;2.罚款叁仟元;3.没收违法所得肆佰壹拾捌元。,0.3,0.0418,2025/2/27,2099/12/31,2026/2/27,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,18/3/2025 10:30:44
848ba73f-f5fb-4db4-aa02-0f30a89a6816,北京音悦荚科技有限责任公司,91110102MA006DAN75,MA006DAN7,刘*凭,(京)文执罚 〔2023〕第400135号,未经批准，擅自从事经营性互联网文化活动,北京音悦荚科技有限责任公司于2022年10月11日与2023年04月03日期间，存在未经批准，擅自从事经营性互联网文化活动，处以警告、罚款1000元的行政处罚。,《互联网文化管理暂行规定》第二十一条,警告;罚款,1.警告;2.罚款人民币壹仟元。,0.1,,2023/6/6,2099/12/31,2024/6/6,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:23
858b52c7-6a21-4551-af20-0f785f0ebf15,北京心域科技有限责任公司,91110105MA01YKM751,MA01YKM75,蒋*宏,(京)文执罚 〔2023〕第400142号,经营性互联网文化单位未在其网站主页的显著位置标明《网络文化经营许可证》编号,北京心域科技有限责任公司于2022年04月26日与2023年05月16日期间，存在经营性互联网文化单位未在其网站主页的显著位置标明《网络文化经营许可证》编号的行为。,《互联网文化管理暂行规定》第二十三条第一款,罚款,罚款人民币叁仟元。,0.3,,2023/6/19,2099/12/31,2023/12/19,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:24
bda45793-1a92-4160-ba46-3c62fa10ebd3,北京罗兰盛世音乐教育科技有限公司,911101055808664083,,程*铜,(京)文执罚 〔2023〕第400134号,未经批准，擅自从事经营性互联网文化活动,北京罗兰盛世音乐教育科技有限公司于2011年08月与2023年05月期间，存在未经批准，擅自从事经营性互联网文化活动的行为。,《互联网文化管理暂行规定》第二十一条,警告;罚款,1.警告;2.罚款人民币壹仟元。,0.1,,2023/6/6,2099/12/31,2024/6/6,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:40
e6e1bb2a-6aa4-4cdc-b71e-eaff54bf7362,北京咚漫娱乐有限公司,91110105MA009WXG4G,MA009WXG4,南*女,(京)文执罚 〔2024〕第400080号,经营性互联网文化单位提供含有禁止内容的互联网文化产品,"北京咚漫娱乐有限公司于2017年8月12日至2024年2月29日期间,存在经营性互联网文化单位提供含有禁止内容的互联网文化产品的行为。",《互联网文化管理暂行规定》第二十八条第一款,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币陆佰贰拾捌元;2.罚款人民币壹万元。,1,0.0628,2024/4/1,2099/12/31,2025/4/1,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:31
