唯一标识,行政相对人名称,统一社会信用代码,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,是否删除,行政相对人类别,更新时间
5ed5b177-e2e1-4827-9bbd-8a84ce81a7b9,北京技加科技有限公司,91110108MA01HK97XX,万*武,(京)文执罚 〔2024〕第300073号,擅自从事互联网视听节目服务,北京技加科技有限公司于2023年12月至2024年08月期间，存在擅自从事互联网视听节目服务,《互联网视听节目服务管理规定》第二十四条第一款,警告;罚款,1.警告;2.罚款人民币叁仟元。,0.3,2024/9/9,2099/12/31,2025/9/9 0:00,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:50
6e2cf077-fe0d-46f6-9bf0-ca67faafd1df,北京多格科技有限公司,91110108091870959Y,陈*,(京)文执罚 〔2023〕第400324号,擅自从事互联网视听节目服务,北京多格科技有限公司于2023年02月05日至2023年04月06日期间，存在擅自从事互联网视听节目服务的行为。,《互联网视听节目服务管理规定》第二十四条第一款,警告;罚款,1.警告;2.罚款人民币叁仟元。,0.3,2023/12/22,2099/12/31,2024/12/22 0:00,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:31
75baa37f-b1c2-402c-9f40-865559eb3578,北京读我科技有限公司,91110108330347576Y,黄*,(京)文执罚 〔2023〕第400269号,擅自在互联网上使用广播电视专有名称开展业务,北京读我科技有限公司于2019年08月28日与2023年08月28日期间，存在擅自在互联网上使用广播电视专有名称开展业务的行为。,《互联网视听节目服务管理规定》第二十三条第一款第（一）项,警告;罚款,1.警告;2.罚款人民币壹万元。,1,2023/10/11,2099/12/31,2024/4/11 0:00,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:23
b7205386-7eae-48cd-8cc7-30848fe8dea6,北京智汇游信息技术有限公司,91110107585802710W,李*,(京)文执罚 〔2024〕第300065号,未按照《信息网络传播视听节目许可证》载明或备案的事项从事互联网视听节目服务,北京智汇游信息技术有限公司于2024年05月至2024年06月期间，存在未按照《信息网络传播视听节目许可证》载明或备案的事项从事互联网视听节目服务,《互联网视听节目服务管理规定》第二十四条第三款,警告;罚款,1.警告;2.罚款人民币伍仟元。,0.5,2024/8/29,2099/12/31,2025/8/29 0:00,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:52
08f00982-f394-4aea-8201-42cf64ba3715,北京视果科技有限公司,91110105MA01D6G665,周*青,(京)文执罚 〔2023〕第300103号,擅自从事互联网视听节目服务,北京视果科技有限公司于2022年12月与2023年08月期间，存在擅自从事互联网视听节目服务。,《互联网视听节目服务管理规定》第二十四条第一款,警告;罚款,1.警告;2.罚款人民币叁仟元。,0.3,2023/9/15,2099/12/31,2024/9/15 0:00,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:44
1a11a277-ef1a-437e-86f8-f5cf5d5c3853,北京腾玥科技有限公司,91110105MA0091PB8J,李*,(京)文执罚 〔2024〕第300039号,擅自从事互联网视听节目服务,北京腾玥科技有限公司于2023年12月至2024年03月期间，存在擅自从事互联网视听节目服务,《互联网视听节目服务管理规定》第二十四条第一款,警告;罚款,1.警告;2.罚款人民币叁仟元。,0.3,2024/5/15,2099/12/31,2025/5/15 0:00,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:29
1fd83892-6170-40c0-b031-4b91ed20a626,北京大家都好科技有限公司,91110105MACAJ1EP8M,李*媛,(京)文执罚 〔2024〕第300041号,擅自从事互联网视听节目服务,北京大家都好科技有限公司于2023年07月与2024年03月期间，存在擅自从事互联网视听节目服务,《互联网视听节目服务管理规定》第二十四条第一款,警告;罚款,1.警告;2.罚款人民币叁仟元。,0.3,2024/5/20,2099/12/31,2025/5/20 0:00,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:32
44c1d2f5-9b87-4da0-a312-d6c93dd1c3d0,北京众智创世科技有限公司,911101080573461849,张*辉,(京)文执罚 〔2024〕第300120号,擅自从事互联网视听节目服务,北京众智创世科技有限公司于2023年3月至2023年10月期间，存在擅自从事互联网视听节目服务,"《互联网视听节目服务管理规定》第二十四条第一款：“擅自从事互联网视听节目服务的，由县级以上广播电影电视主管部门予以警告、责令改正，可并处 3 万元以下罚款; 情节严重的，根据《广播电视管理条例》第四十七条的规定予以处罚”
",警告,1.警告;,,2024/11/19,2099/12/31,2025/11/19 0:00,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:48
7bcbbed2-5535-478f-a9b0-ddd9e543981f,北京兴盛锦绣科技有限公司,91110106MA04CQ5K28,于*,(京)文执罚 〔2024〕第300055号,擅自从事互联网视听节目服务,北京兴盛锦绣科技有限公司于2024年03月与2024年04月期间，存在擅自从事互联网视听节目服务的违法行为,《互联网视听节目服务管理规定》第二十四条第一款,警告;罚款,1.警告;2.罚款人民币叁仟元。,0.3,2024/7/5,2099/12/31,2025/7/5 0:00,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:42
8992e95c-fade-444d-860c-18c396e41f05,北京硬球科技有限公司,91110108MA00960F5A,朱*涛,(京)文执罚 〔2023〕第300120号,擅自从事互联网视听节目服务,北京硬球科技有限公司于2023年06月与2023年09月期间，存在擅自从事互联网视听节目服务,《互联网视听节目服务管理规定》第二十四条第一款,警告;罚款,1.警告;2.罚款人民币叁仟元。,0.3,2023/10/17,2099/12/31,2024/10/17 0:00,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:42
