唯一标识,行政相对人名称,统一社会信用代码,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,是否删除,行政相对人类别,更新时间
18a8c006-2f0f-4313-adb1-1bb55db432ab,北京云博轩文化发展有限公司,911101055513595970,李*彬,(京)文执罚 〔2025〕第100011号,从事出版物发行业务的单位、个人不按规定接受年度核验,北京云博轩文化发展有限公司于2024年期间，存在从事出版物发行业务的单位、个人不按规定接受年度核验,《出版物市场管理规定》第三十七条第（十二）项,警告;罚款,1.警告；2.罚款人民币500元,0.05,2025/3/26,2099/12/31,2025/9/26,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,23/6/2025 11:18:06
19357f4b-8608-4112-b5c5-11edc01e3036,中央文献出版社有限责任公司,9111000040001302X5,杨*荣,(京)文执罚 〔2024〕第100118号,从事出版物发行业务的单位、个人不按规定接受年度核验,中央文献出版社有限责任公司于2023年3月27日至2023年5月26日期间存在从事出版物发行业务的单位不按规定接受年度核验的违法行为。该单位仍在从事出版物发行业务，但未按规定接受2023年年度核验，该单位未按规定接受年度核验1次，无违法经营额，无违法所得。,《出版物市场管理规定》第三十七条第（十二）项,警告;罚款,1.警告;2.罚款人民币伍佰元。,0.05,2024/8/6,2099/12/31,2025/2/6,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:52
2978c87e-4467-4a62-8e88-aec66f7e869a,北京心更远科技发展有限公司,91110105MA006JLJ0K,王*楠,(京)文执罚 〔2025〕第100007号,从事出版物发行业务的单位、个人不按规定接受年度核验,北京心更远科技发展有限公司于2022年申领《出版物经营许可证》，从事出版物发行业务，未按出版行政主管部门的规定于2024年4月1日至4月26日参加2024年出版物发行单位年度核验线上填报与审核，未按出版行政主管部门的规定于2024年4月28日至5月30日参加2024年出版物发行单位年度核验现场审核，未按出版行政主管部门的规定于2024年7月22日至8月2日参加2024年出版物发行单位年度核验补检，该单位存在从事出版物发行业务的单位不按规定接受年度核检的违法行为，该单位不按规定接受年度核检1次，无违法所得。,《出版物市场管理规定》第三十七条第（十二）项,警告;罚款,1.警告；2.罚款人民币500元。,0.05,2025/3/26,2099/12/31,2025/9/26,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,23/6/2025 11:18:04
b58958f5-17d2-48da-b747-0a8c93856969,北京斯迪瀚传媒科技有限公司,91110302MA01WPXM0R,王*玉,(京)文执罚 〔2024〕第100106号,提供出版物网络交易平台服务的经营者未按《出版物市场管理规定》履行有关审查及管理责任,北京斯迪瀚传媒科技有限公司于2021年10月与2024年06月12日期间，存在提供出版物网络交易平台服务的经营者未按《出版物市场管理规定》履行有关审查及管理责任。,《出版物市场管理规定》第三十七条第（十）项,警告;罚款,1.警告;2.罚款人民币1000元。,0.1,2024/7/5,2099/12/31,2025/1/5,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:46
ddbaf452-4035-40ab-81e2-bc86c77c5143,北京读蜜文化传媒有限公司,91110105099448621G,金*军,(京)文执罚 〔2024〕第100101号,从事出版物发行业务的单位、个人不按规定接受年度核验,北京读蜜文化传媒有限公司于2023年03月27日与2023年05月26日期间，存在从事出版物发行业务的单位、个人不按规定接受年度核验。,《出版物市场管理规定》第三十七条第（十二）项,警告;罚款,1.警告；2.罚款人民币500元。,0.05,2024/7/3,2099/12/31,2025/1/3,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:43
ef399c3d-7959-461d-aa1a-521f228d4b80,北京信诺恒通贸易有限责任公司,91110302MA01ADUN7H,富*,(京)文执罚 〔2023〕第100125号,从事出版物发行业务的单位、个人未能提供近两年的出版物发行进销货清单等有关非财务票据,北京信诺恒通贸易有限责任公司于2021年08月21日与2023年08月15日期间，存在从事出版物发行业务的单位、个人未能提供近两年的出版物发行进销货清单等有关非财务票据,《出版物市场管理规定》第三十七条第（一）项,警告;罚款,1.警告;2.罚款人民币壹仟元。,0.1,2023/9/18,2099/12/31,2024/3/18,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:29
043a8608-d104-40e7-a4bd-1f6f60d84292,《时尚》杂志社有限责任公司,911101051012658922,杨*洁,(京)文执罚 〔2024〕第100123号,从事出版物发行业务的单位、个人不按规定接受年度核验,《时尚》杂志社有限责任公司于2023年3月27日至5月26日期间，存在从事出版物发行业务的单位、个人不按规定接受年度核验的违法行为。,《出版物市场管理规定》第三十七条第（十二）项,警告;罚款,1.警告；2.罚款人民币500元。,0.05,2024/8/12,2099/12/31,2025/2/12,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:43
53ea27bc-42f0-4409-a401-b730258c8661, 北京众心同达文化发展有限公司,91110114MA01Y1UY5R,闫*,(京)文执罚 〔2025〕第100014号,从事出版物发行业务的单位、个人不按规定接受年度核验,北京众心同达文化发展有限公司于2024年4月1日至4月26日未能及时按照规定完成线上填报与审核、2024年4月28日至5月30日未能及时按照规定完成现场审核、2024年7月22日至8月2日未能及时按照规定完成补检，未核验1次，无违法经营额，无违法所得。,《出版物市场管理规定》第三十七条第（十二）项,警告;罚款,1.警告;2.罚款伍佰元;,0.05,2025/3/26,2099/12/31,2025/9/26,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,23/6/2025 11:18:07
15aeb973-7d1a-43ac-b2b8-1b3d688ae193,北京世纪联合文化发展有限公司,911101127513158128,王*富,(京)文执罚 〔2025〕第100017号,从事出版物发行业务的单位、个人不按规定接受年度核验,北京世纪联合文化发展有限公司于2022年换领《出版物经营许可证》，于2024年4月1日至4月26日参加了2024年出版物发行单位年度核验线上填报与审核，未按出版行政主管部门的规定于2024年4月28日至5月30日参加2024年出版物发行单位年度核验现场审核，未按出版行政主管部门的规定于2024年7月22日至8月2日参加2024年出版物发行单位年度核验补检，该单位存在从事出版物发行业务的单位不按规定接受年度核检的违法行为,《出版物市场管理规定》第三十七条第（十二）项,警告;罚款,1.警告；2.罚款人民币伍佰元。,0.05,2025/4/2,2099/12/31,2025/10/2,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,23/6/2025 11:18:08
dc8e5c36-78d1-4d59-8d5c-2e6c0e6e6b5f,中国质量标准出版传媒有限公司,91110000400003526J,王*东,(京)文执罚 〔2025〕第100026号,从事出版物发行业务的单位、个人不按规定接受年度核验,该单位存在从事出版物发行业务的单位不按规定接受年度核检的违法行为，该单位不按规定接受年度核检1次，无违法所得。,《出版物市场管理规定》第三十七条第（十二）项,警告;罚款,1.警告；2.罚款人民币500元。,0.05,2025/4/15,2099/12/31,2025/10/15,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,23/6/2025 11:18:04
