唯一标识,行政相对人名称,统一社会信用代码,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,是否删除,行政相对人类别,更新时间
34fd927a-0cb6-4501-85f9-c5cf5006a5ae,北京住总绿都投资开发有限公司,91110000318330974R,韩*,(京)文执罚 〔2023〕第700051号,建设单位未在施工前报请考古调查、勘探及未按照规定在编制施工组织设计时安排考古、勘探事项,北京住总绿都投资开发有限公司于2020年12月至2023年04月期间，存在建设单位未在施工前报请市文物行政管理部门组织考古调查、勘探及未按照规定在编制施工组织设计时安排考古、勘探事项。,《北京市地下文物保护管理办法》第二十四条,罚款,罚款人民币壹万元。,1,2023/8/24,2099/12/31,2024/2/24,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:42
16136757-f6a7-4964-bab1-5e6fdbd2a0c4,北京新牧置业发展有限公司,91110108554850824A,潘*卫,(京)文执罚 〔2023〕第700048号,建设单位未在施工前报请考古调查、勘探及未按照规定在编制施工组织设计时安排考古、勘探事项,北京新牧置业发展有限公司于2023年07月01日与2023年07月27日期间，存在建设单位未在施工前报请考古调查、勘探及未按照规定在编制施工组织设计时安排考古、勘探事项,《北京市地下文物保护管理办法》第二十四条,罚款,罚款人民币壹万元。,1,2023/8/9,2099/12/31,2024/2/9,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:29
4ad5a4ac-5654-4d86-8594-9f4bbc7aa788,北京天岳恒房屋经营管理有限公司,911101027226184788,韩*勇,(京)文执罚 〔2025〕第700004号,建设单位未在施工前报请考古调查、勘探及未按照规定在编制施工组织设计时安排考古、勘探事项,北京天岳恒房屋经营管理有限公司于2025年06月06日起在金中都城址地下文物埋藏区范围内进行的建设工程，存在建设单位未在施工前报请考古调查、勘探及未督促施工单位按照规定在编制施工组织设计时安排考古、勘探事项。,《北京市地下文物保护管理办法》第二十四条,罚款,罚款人民币壹万元。,1,2025/11/25,2099/12/31,2026/5/25,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,22/12/2025 16:07:25
e77e1fee-8e1d-43be-93a3-0f3e0f5b2b23,北京首捷创富置业有限公司,91110107MA01LCW17M,陈*,(京)文执罚 〔2024〕第700013号,建设单位未在施工前报请考古调查、勘探及未按照规定在编制施工组织设计时安排考古、勘探事项,北京首捷创富置业有限公司于2021年4月至2024年5月期间，存在建设单位未在施工前报请考古调查、勘探及未按照规定在编制施工组织设计时安排考古、勘探事项。,《北京市地下文物保护管理办法》第二十四条“违反本办法第十四条规定，建设单位未在施工前报请市文物行政管理部门组织考古发掘单位进行考古调查、勘探的，施工单位未按照规定在编制施工组织设计时安排考古调查、勘探事项的，由市文物行政管理部门责令限期改正，可以并处一万元以上三万元一下罚款；构成犯罪的，由司法机关依法追究刑事责任。”之规定。,罚款,罚款人民币壹万元。,1,2024/8/12,2099/12/31,2025/2/12,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,25/6/2025 17:49:44
1f7b1b37-ff9f-4552-935d-0406ca442d53,北大荒集团黑龙江鸭绿河农场有限公司,91233006X06510060J,王*江,(京)文执罚 〔2023〕第700054号,建设单位未在施工前报请考古调查、勘探及未按照规定在编制施工组织设计时安排考古、勘探事项,北大荒集团黑龙江鸭绿河农场有限公司于2023年09月29日至2023年10月10日期间，存在建设单位未在施工前报请考古调查、勘探及未按照规定在编制施工组织设计时安排考古、勘探事项,《北京市地下文物保护管理办法》第二十四条,罚款,罚款人民币壹万元。,1,2023/11/14,2099/12/31,2024/5/14,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:40
100da841-6dac-44d9-9cad-c535b3b57b08,北京大洋恒基房地产开发有限公司,91110105MABTUQJH85,张*贵,(京)文执罚 〔2023〕第700053号,建设单位未在施工前报请考古调查、勘探及未按照规定在编制施工组织设计时安排考古、勘探事项,北京大洋恒基房地产开发有限公司于2023年08月25日与2023年09月14日期间，存在建设单位未在施工前报请考古调查、勘探及未按照规定在编制施工组织设计时安排考古、勘探事项,《北京市地下文物保护管理办法》第二十四条,罚款,罚款人民币壹万元。,1,2023/10/12,2099/12/31,2024/4/12,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:45
a69f427a-283c-4ace-b91e-36f216c8a51c,北京市石景山区园林绿化局,111101075514193931,毛*,(京)文执罚 〔2023〕第700052号,建设单位未在施工前报请考古调查、勘探及未按照规定在编制施工组织设计时安排考古、勘探事项,北京市石景山区园林绿化局于2023年03月至2023年09月期间，存在建设单位未在施工前报请考古调查、勘探及未按照规定在编制施工组织设计时安排考古、勘探事项,《北京市地下文物保护管理办法》第二十四条,罚款,罚款人民币壹万元。,1,2023/10/12,2099/12/31,2024/4/12,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:28
e77e1fee-8e1d-43be-93a3-0f3e0f5b2b22,北京首捷创富置业有限公司,91110107MA01LCW17M,陈*,(京)文执罚 〔2024〕第700013号,建设单位未在施工前报请考古调查、勘探及未按照规定在编制施工组织设计时安排考古、勘探事项,北京首捷创富置业有限公司于2021年4月至2024年5月期间，存在建设单位未在施工前报请考古调查、勘探及未按照规定在编制施工组织设计时安排考古、勘探事项。,《北京市地下文物保护管理办法》第二十四条“违反本办法第十四条规定，建设单位未在施工前报请市文物行政管理部门组织考古发掘单位进行考古调查、勘探的，施工单位未按照规定在编制施工组织设计时安排考古调查、勘探事项的，由市文物行政管理部门责令限期改正，可以并处一万元以上三万元一下罚款；构成犯罪的，由司法机关依法追究刑事责任。”之规定。,罚款,罚款人民币壹万元。,1,2024/8/12,2099/12/31,2025/2/12,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:44
9a1e27a2-cdae-4478-b513-d17d4fbf06fa,北京三兴现代电子科技公司,911101171013310793,林*强,(京)文执罚 〔2023〕第700047号,建设单位未将建设工程地下保护预案备案,北京三兴现代电子科技公司于2017年02月14日至2023年06月20日期间，存在建设单位未将建设工程地下保护预案备案,《北京市地下文物保护管理办法》第二十三条,罚款,罚款人民币壹万元。,1,2023/8/2,2099/12/31,2024/2/2,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:38
7fc41bef-d54a-45e2-9a7a-3e2b2c835904,北京顺长房地产开发有限公司,911101057235580831,张*,(京)文执罚 〔2023〕第700049号,建设单位未在施工前报请考古调查、勘探及未按照规定在编制施工组织设计时安排考古、勘探事项,北京顺长房地产开发有限公司于2023年06月24日与2023年06月27日期间，存在建设单位未在施工前报请考古调查、勘探及未按照规定在编制施工组织设计时安排考古、勘探事项,《北京市地下文物保护管理办法》第二十四条,罚款,罚款人民币壹万元。,1,2023/8/9,2099/12/31,2024/2/9,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:35
