唯一标识,行政相对人名称,统一社会信用代码,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,是否删除,行政相对人类别,更新时间
6107668a-ac2a-44a0-9a7d-155080ef6b91,北京鸿运假日旅行社有限公司,91110101782541548T,胡*霞,(京)文执罚 〔2023〕第600283号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京鸿运假日旅行社有限公司于2023年06月08日至2023年06月15日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案的违法行为。,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2023/11/6,2099/12/31,2024/11/6,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:45
96864d5a-7c3a-4107-83e7-6f3cc2be2177,北京奇御国际旅行社有限公司,91110106MADRY1RN3U,杜*,(京)文执罚 〔2025〕第600038号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京奇御国际旅行社有限公司于2025年02月01日至2025年02月04期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币5000元,0.5,2025/5/30,2099/12/31,2026/5/30,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,23/6/2025 11:18:04
d009c5f5-5ba6-4eb1-b120-eaa5a27e7ac3,爱行者旅游（北京）有限公司,91110105MA018FD99T,宋*石,(京)文执罚 〔2023〕第600165号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,爱行者旅游（北京）有限公司于2023年02月期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案的行为。,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2023/7/11,2099/12/31,2024/7/11,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:23
fbf5963b-d953-4f2a-a00f-4a63937ab866,北京兴营国际旅行社有限公司,92110115MA00W99C1P,魏*辛,(京)文执罚 〔2024〕第600247号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京兴营国际旅行社有限公司于2024年8月1日至2024年9月1日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案的违法行为。,《北京市旅游条例》第六十六条第一款,罚款,1.罚款伍仟元;,0.5,2024/12/5,2099/12/31,2025/12/5,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:53
f291dfb9-2638-4619-ae6d-95a427662603,发现时空国际旅行社（北京）有限公司,91110105671742195J,阮*政,(京)文执罚 〔2023〕第600209号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,发现时空国际旅行社（北京）有限公司于2023年06月30日至2023年07月05日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2023/8/25,2099/12/31,2024/8/25,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:45
fbcf26a6-8444-4ee3-adab-3a3d38de745f,华夏四季（北京）国际旅行社有限公司,91110107MAD4Q1850A,刘*杰,(京)文执罚 〔2024〕第600154号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,华夏四季（北京）国际旅行社有限公司存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案的行为。,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2024/8/6,2099/12/31,2025/8/6,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:50
28b0278d-ead5-4394-9934-5a07d66cee1a,北京易杨国际旅行社有限公司,91110111MA01NH8437,张*兵,(京)文执罚 〔2025〕第600002号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京易杨国际旅行社有限公司于2024年06月27日至06月29日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2025/1/6,2099/12/31,2026/1/6,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,18/3/2025 10:30:45
161b2d6b-6b57-4790-a371-346e434b861b,领头雁旅行社（北京）有限公司, 91110108MA01M8LJ99,黄*林,(京)文执罚 〔2025〕第600032号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,领头雁旅行社（北京）有限公司于2025年01月19日至01月27日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2025/5/14,2099/12/31,2026/5/14,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,23/6/2025 11:18:07
3962b0ac-974f-4501-b557-28343c4624d8,北京友道国际旅行社有限公司,91110106569509389A,纪*飞,(京)文执罚 〔2024〕第600263号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京友道国际旅行社有限公司于2024年9月26日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案的行为,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2024/12/24,2099/12/31,2025/12/24,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:48
eed676c3-327b-4e03-8e8d-9db8c75f4944,北京大观之旅国际旅行社有限公司,91110111MADGP0T81F,王*,(京)文执罚 〔2024〕第600208号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京大观之旅国际旅行社有限公司于2024年06月02日至06月04日组织旅游团队开展旅游业务，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案的行为。,《北京市旅游条例》第六十六条第一款,罚款,你（单位）上述行为违反了《北京市旅游条例》第二十五条第一款，依据《北京市旅游条例》第六十六条第一款，并参照《北京市文化市场综合执法行政处罚裁量基准》第一档，决定对你单位作出罚款人民币5000元的行政处罚。,0.5,2024/10/16,2099/12/31,2025/10/16,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:47
