唯一标识,行政相对人名称,统一社会信用代码,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,组织机构代码,暂扣或吊销证照名称及编号,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,是否删除,行政相对人类别,更新时间
68e6a7de-f619-43cf-9f7e-a0382571a58d,北京卡乐时代娱乐有限公司,91110102753327788F,刘*玲,(京)文执罚 〔2023〕第200192号,设置未经文化和旅游主管部门内容核查的游戏游艺设备,北京卡乐时代娱乐有限公司于2023年10月10日与2023年10月11日期间，存在设置未经文化和旅游主管部门内容核查的游戏游艺设备,《娱乐场所管理办法》第三十条,罚款,罚款人民币伍仟元。,0.5,,753327788,,2023/12/12,2099/12/31,2024/3/12,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:45
6a51f9d1-b498-4b72-9fa1-8777fb2546ce,傲途（北京）儿童游乐有限公司,91110105MA01XY158E,徐*,(京)文执罚 〔2023〕第200132号,擅自从事娱乐场所经营活动,傲途（北京）儿童游乐有限公司，于2022年10月15日与2023年08月16日期间，存在擅自从事娱乐场所经营活动的违法行为，给予没收违法所得人民币陆仟捌佰壹拾壹元、责令关闭涉案游戏游艺设备的行政处罚。,《娱乐场所管理办法》第二十八条、《娱乐场所管理条例》第四十一条,没收违法所得、没收非法财物,1.没收违法所得人民币陆仟捌佰壹拾壹元;2.责令关闭涉案游戏游艺设备。,,0.6811,,,2023/9/15,2099/12/31,2024/9/15,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:37
11df889a-1387-4ccb-ac34-c1e66e07c543,北京环游嘉年华电子游艺有限公司,91110106589081340M,李*国,(京)文执罚 〔2024〕第200101号,设置未经文化和旅游主管部门内容核查的游戏游艺设备,北京环游嘉年华电子游艺有限公司于2024 年 5 月 6 日至2024 年6 月4 日期间存在设置未经文化和旅游主管部门内容核查的游戏游艺设备的违法行为。,《娱乐场所管理办法》第三十条、《中华人民共和国行政处罚法》第二十八条第二款,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币壹仟零捌拾壹元捌角；2.罚款人民币伍仟元。,0.5,0.10818,,,2024/8/9,2099/12/31,2024/11/9,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:47
90fbcd93-8082-4e8c-8826-a6175c91575e,北京瀚金佰九号国际温泉酒店,91110105696368865T,周*杰,(京)文执罚 〔2024〕第200042号,擅自从事娱乐场所经营活动,没收违法所得人民币叁佰陆拾陆元；责令关闭（涉案游戏游艺设备：3台娃娃机、10台格斗模拟机）。,《娱乐场所管理办法》第二十八条和《娱乐场所管理条例》第四十一条,没收违法所得、没收非法财物,1.没收违法所得人民币叁佰陆拾陆元;2.责令关闭（涉案游戏游艺设备：3台娃娃机、10台格斗模拟机）。,,0.0366,,,2024/4/15,2099/12/31,2025/4/15,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:34
c2f0d73c-ff0a-4cb4-b1a3-5fc74b8c6572,北京信德大通娱乐文化有限公司,"91110105MA7JB2DN36	",董*宇,(京)文执罚 〔2023〕第200198号,设置未经文化和旅游主管部门内容核查的游戏游艺设备,"北京信德大通娱乐文化有限公司违反了《娱乐场所管理办法》第二十一条第（一）项的规定，依据《娱乐场所管理办法》第三十条和《中华人民共和国行政处罚法》第二十八条第二款的规定,参照《北京市文化市场综合执法行政处罚裁量基准》，对该单位作出行政处罚如下：
1.没收违法所得人民币肆佰陆拾元;
2.罚款人民币伍仟元。",《娱乐场所管理办法》第三十条,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币肆佰陆拾元;2.罚款人民币伍仟元。,0.5,0.046,,,2023/12/25,2099/12/31,2024/3/25,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:34
fd6ec808-3d0e-4e59-8ecf-1576d4c7773f,北京美廉洪丰台球娱乐中心,91110101560367054H,张*元,(京)文执罚 〔2024〕第200160号,设置未经文化和旅游主管部门内容核查的游戏游艺设备,北京美廉洪丰台球娱乐中心于2024年9月20日至2024年10月16日期间，存在设置未经文化和旅游主管部门内容核查的游戏游艺设备的行为，该单位上述行为违反了《娱乐场所管理办法》第二十一条第（一）项。,《娱乐场所管理办法》第三十条及《中华人民共和国行政处罚法》第二十八条第二款,罚款;没收违法所得、没收非法财物,1.罚款伍仟元;2.没收违法所得人民币叁仟叁佰伍拾肆元捌角陆分。,0.5,0.335486,,,2024/11/28,2099/12/31,2025/2/28,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:50
c5cf1440-26a1-4c7d-8a9c-e888091a4ea2,北京宸诺餐饮文化有限公司,91110105MA021AXW3Y,王*星,(京)文执罚 〔2024〕第200108号,擅自从事娱乐场所经营活动,北京宸诺餐饮文化有限公司于2023年09月15日至2024年05月18日期间，存在擅自从事娱乐场所经营活动,《娱乐场所管理办法》第二十八条和《娱乐场所管理条例》第四十一条,,责令关闭(具体处罚内容：责令场所拆除并停止使用三个独立包房内的点唱设备)。,,,,,2024/8/12,2099/12/31,2025/8/12,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:53
d1317423-12b5-416d-9b90-598dad7ee220,北京极客森文化娱乐有限公司,91110105MA7N2YFT71,白*煜,(京)文执罚 〔2023〕第200200号,擅自从事娱乐场所经营活动,"北京极客森文化娱乐有限公司违反了《娱乐场所管理办法》第九条、《娱乐场所管理条例》第二十八条的规定，依据《娱乐场所管理办法》第二十八条、《娱乐场所管理条例》第四十一条和《中华人民共和国行政处罚法》第二十八条第二款的规定,参照《北京市文化市场综合执法行政处罚裁量基准》，拟对该单位作出行政处罚如下：
1.没收违法所得人民币伍仟壹佰捌拾元叁角柒分;
2.责令关闭。",《娱乐场所管理办法》第二十八条、《娱乐场所管理条例》第四十一条、《中华人民共和国行政处罚法》第二十八条第二款,没收违法所得、没收非法财物,1.没收违法所得人民币伍仟壹佰捌拾元叁角柒分;2.责令关闭。,,0.518037,,,2023/12/25,2099/12/31,2024/12/25,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:26
fec4b193-2272-41d9-854b-8f8006b6de28,北京嘉贝乐科技有限公司,91110105MAC3R3KN21,平*飞,(京)文执罚 〔2025〕第200012号,擅自从事娱乐场所经营活动,北京嘉贝乐科技有限公司于2025年03月01日至2025年4月30日期间，存在擅自从事娱乐场所经营活动的违法行为,《娱乐场所管理办法》第二十八条和《娱乐场所管理条例》第四十一条,没收违法所得、没收非法财物,1.没收违法所得人民币叁万柒仟陆佰叁拾柒元壹角;2.责令关闭（涉案游戏游艺设备：1 台“天使之约”、1 组“楚汉秦传”、4 组“大魔术师”、1 台“深海探险S”）。,,3.76371,,,2025/7/2,2099/12/31,2026/7/2,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,22/12/2025 16:07:22
ac9b7de3-9114-44ad-86ac-6afeba6f5bfd,北京运动家冠领体育管理有限公司,91110112MA04BN3F5H,王*伟,(京)文执罚 〔2024〕第200053号,擅自从事娱乐场所经营活动案,没收违法所得人民币壹仟伍佰捌拾陆元柒角;责令关闭（涉案游戏游艺设备：两台“舞律炫步”、一台“一球成名”）。,《娱乐场所管理办法》第二十八条和《娱乐场所管理条例》第四十一条,没收违法所得、没收非法财物,1.没收违法所得人民币壹仟伍佰捌拾陆元柒角;2.责令关闭（涉案游戏游艺设备：两台“舞律炫步”、一台“一球成名”）。,,0.15867,,,2024/5/20,2099/12/31,2025/5/20,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:33
