唯一标识,行政相对人名称,统一社会信用代码,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,组织机构代码,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,是否删除,行政相对人类别,更新时间
7c16c858-da3f-4b15-83fb-b7164039d50f,怡丰联合（北京）科技有限责任公司,91110105789959568X,贺*胜,(京)文执罚 〔2024〕第100047号,社会组织或者个人以新闻采访为名开展各类活动或者谋取利益的,怡丰联合（北京）科技有限责任公司于2022年04月17日与2023年11月20日期间，存在社会组织或者个人以新闻采访为名开展各类活动或者谋取利益的,《新闻记者证管理办法》第三十七条第（三）项,警告;罚款,1.警告;2.罚款人民币叁仟元。,0.3,,789959568,2024/4/17,2099/12/31,2024/10/17,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:30
8135cbd1-f0f1-45cb-9b5a-59ca178dd4ce,环报传媒(北京)有限公司,91110106MA04DTXJ62,丁*霞,(京)文执罚 〔2023〕第100112号,社会组织或者个人以新闻采访为名开展各类活动或者谋取利益的,环报传媒(北京)有限公司于2023年01月09日与2023年07月14日期间，存在社会组织或者个人以新闻采访为名开展各类活动或者谋取利益的行为。,《新闻记者证管理办法》第三十七条第（三）项,警告;罚款,1.警告;2.罚款人民币壹仟元。,0.1,,,2023/8/29,2099/12/31,2024/2/29,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:46
5a53a6fc-7f82-417e-be7b-dd7fbd983df6,北京驰越文化传媒有限公司,91110105MABYF1X02N,李*玲,(京)文执罚 〔2023〕第100086号,社会组织或者个人以新闻采访为名开展各类活动或者谋取利益的,    北京驰越文化传媒有限公司于2023年03月与2023年03月期间，存在社会组织或者个人以新闻采访为名开展各类活动或者谋取利益的违法行为，无违法所得。                                                                                                                  ,《新闻记者证管理办法》第三十七条第（三）项,警告;罚款,1.警告；2.罚款人民币壹仟元。,0.1,,,2023/7/5,2099/12/31,2024/1/5,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:28
61fc1f25-b779-4de1-a72a-a15cc0a61210,北京怡生乐居财经文化传媒有限公司,91110101596023253H,陈*保,(京)文执罚 〔2023〕第100084号,社会组织或者个人以新闻采访为名开展各类活动或者谋取利益的,    北京怡生乐居财经文化传媒有限公司于2021年11月24日与2021年11月24日期间，存在社会组织或者个人以新闻采访为名开展各类活动或者谋取利益的违法行为。,《新闻记者证管理办法》第三十七条第（三）项,警告;罚款,1.警告;2.罚款人民币壹仟元。,0.1,,,2023/7/5,2099/12/31,2024/1/5,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:46
67d14b74-0954-40ca-8756-ded27f6a74d2,众安（北京）文化传媒有限公司,91110107599685113D,潘*平,(京)文执罚 〔2023〕第100108号,社会组织或者个人以新闻采访为名开展各类活动或者谋取利益的,    众安（北京）文化传媒有限公司于2023年04月17日，存在社会组织或者个人以新闻采访为名开展各类活动或者谋取利益的违法行为。,《新闻记者证管理办法》第三十七条第（三）项,警告;罚款,1.警告;2.罚款人民币壹仟元。,0.1,,,2023/8/15,2099/12/31,2024/2/15,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:42
4348e35b-efc9-4039-a383-8584b0aa816e,爱奇清科（北京）信息科技有限公司,91110105799038172R,南*新,(京)文执罚 〔2023〕第100162号,社会组织或者个人以新闻采访为名开展各类活动或者谋取利益的,    爱奇清科（北京）信息科技有限公司于2023年04月26日，存在社会组织或者个人以新闻采访为名开展各类活动的违法行为。,《新闻记者证管理办法》第三十七条第（三）项,警告;罚款,1.警告;2.罚款人民币壹仟元。,0.1,,799038172,2023/11/27,2099/12/31,2024/5/27,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:44
9e6e7496-4acc-49a3-b964-65b42b7c0155,北京人政联和国际经济文化交流中心,911101067747242210,彭*,(京)文执罚 〔2024〕第100019号,社会组织或者个人以新闻采访为名开展各类活动或者谋取利益的,"1.警告;
2.罚款人民币壹万元。",《新闻记者证管理办法》第三十七条第（三）项,警告;罚款,1.警告;2.罚款人民币壹万元。,1,,,2024/3/13,2099/12/31,2024/9/13,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:30
f774cd15-8331-46fc-9ab7-46d3701a6931,北京新酷科技有限公司,91110108MA01HMWUXW,陈*,(京)文执罚 〔2023〕第100092号,社会组织或者个人以新闻采访为名开展各类活动或者谋取利益的,北京新酷科技有限公司于2023年04月与2023年04月期间，存在社会组织或者个人以新闻采访为名开展各类活动或者谋取利益的违法行为。,《新闻记者证管理办法》第三十七条第（三）项,警告;罚款,1.警告;2.罚款人民币壹仟元。,0.1,,,2023/7/13,2099/12/31,2024/1/13,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,25/6/2025 17:22:32
f9e0e6e9-5388-414d-a896-47a73411acab,华夏视点科技（北京）有限公司,91110108556845869N,李*霞,(京)文执罚 〔2023〕第100170号,社会组织或者个人以新闻采访为名开展各类活动或者谋取利益的,    华夏视点科技（北京）有限公司于2023年10月23日与2023年10月24日期间，存在社会组织或者个人以新闻采访为名开展各类活动或者谋取利益的违法行为。,《新闻记者证管理办法》第三十七条第（三）项,警告;罚款,1.警告;2.罚款人民币叁仟元。,0.3,,556845869,2023/12/4,2099/12/31,2024/6/4,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:22:38
1601ef4d-5692-42a6-afee-c8c4f9731bac,中景协文化传媒（北京）有限公司,91110108MA0019N97Y,王*,(京)文执罚 〔2023〕第100097号,社会组织或者个人擅自制作、仿制、发放、销售新闻记者证或者擅自制作、发放、销售采访证件,中景协文化传媒（北京）有限公司存在擅自制作、发放、销售采访证件的违法行为。,《新闻记者证管理办法》第三十七条第（一）项,警告;罚款;没收违法所得、没收非法财物,1.没收违法所得人民币贰仟伍佰捌拾伍元壹角贰分;2.警告;3.罚款人民币壹万元。,1,0.258512,,2023/7/19,2099/12/31,2024/1/19,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:23
