唯一标识,行政相对人名称,统一社会信用代码,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,暂扣或吊销证照名称及编号,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,备注,是否删除,行政相对人类别,更新时间
0bcc7868-d2d6-4c09-abba-f88c2e1392cb,北京方寸之间旅游服务有限公司,91110119MA029MUGXE,张*琴,(京)文执罚 〔2024〕第600169号,旅行社未与旅游者签订旅游合同,2024年4月9日，北京方寸之间旅游服务有限公司组织的旅游团队，未与旅游者签订旅游合同，同时委派的导游人员周璇擅自组织前往河北省怀来弘升聚祥文化旅游有限公司购物店进行购物活动，无违法所得。,《旅行社条例》第五十五条第（一）项,罚款;责令停产停业,1.罚款60000元;2.责令停业整顿30日。,6.0,,,2024-09-02,2099-12-31,2025-09-02,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,27/12/2024 17:49:51
1f862459-fcd9-4394-a844-ac9abe1d6d8b,御见（北京）国际旅行社有限公司,91110106MA0085X47X,侯*悦,(京)文执罚 〔2023〕第600308号,旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,御见（北京）国际旅行社有限公司于2023年07月07日与2023年07月09日期间，存在旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,《旅行社条例》第五十五条第（二）项,罚款,罚款人民币贰万元。,2.0,,,2023-12-08,2099-12-31,2024-12-08,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:29
6e0bfc7d-bf43-40f0-9ff0-b56898ae9ea0,北京金色福国际旅行社有限公司,91110105762983170U,胡*海,(京)文执罚 〔2024〕第600047号,旅行社未与旅游者签订旅游合同,北京金色福国际旅行社有限公司于2023年10月14日与2023年10月19日期间，存在旅行社未与旅游者签订旅游合同,《旅行社条例》第五十五条第（一）项,罚款,罚款人民币贰万元。,2.0,,,2024-02-06,2099-12-31,2025-02-06,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:06:30
740092da-6e3a-45c8-ac92-599e17a2dc06,北京好啊游国际旅行社有限公司,91110106MA01NKFE80,王*艳,(京)文执罚 〔2023〕第600181号,旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,北京好啊游国际旅行社有限公司于2023年05月08日与2023年05月10日期间，存在旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,《旅行社条例》第五十五条第（二）项,罚款,罚款人民币贰万元。,2.0,,,2023-07-26,2099-12-31,2024-07-26,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:39
7eff7467-3525-4e4c-8d8f-fa8219e96e10,北京金鸿盛世旅行社有限公司,91110106783216253Y,刘*,(京)文执罚 〔2023〕第600232号,旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,北京金鸿盛世旅行社有限公司于2023年08月06日，存在旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,《旅行社条例》第五十五条第（二）项,罚款,罚款人民币贰万元。,2.0,,,2023-09-21,2099-12-31,2024-09-21,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:29
ca866d14-4de0-492d-875e-6f7e79ecd777,北京妙游国际旅行社有限公司,91110101MA00915J6K,梁*,(京)文执罚 〔2023〕第600291号,旅行社未与旅游者签订旅游合同,北京妙游国际旅行社有限公司于2023年06月10日与2023年06月27日期间，存在旅行社未与旅游者签订旅游合同,《旅行社条例》第五十五条第（一）项,罚款,罚款人民币贰万元。,2.0,,,2023-11-24,2099-12-31,2024-11-24,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:25
2dfe2dcf-e433-417e-8b9b-c6db0c23ca05,北京灰鲸国际旅游有限公司,91110106MA01LA9P11,刘*然,(京)文执罚 〔2023〕第600129号,旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,北京灰鲸国际旅游有限公司于2023年02月11日存在旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,《旅行社条例》第五十五条第（二）项,罚款,罚款人民币贰万元。,2.0,,,2023-06-29,2099-12-31,2024-06-29,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:46
5144222a-7a20-4c43-baef-06960ae141fb,大都汇国际旅游（北京）有限公司,91110112MA01N9C71F,刘*中,(京)文执罚 〔2024〕第600166号,旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,大都汇国际旅游（北京）有限公司于2024年02月12日至2024年02月14日期间，存在旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条第（一）项、第（六）项、第（七）项、第（九）项规定的事项,《旅行社条例》第五十五条第（二）项,罚款,1.罚款贰万元元;,2.0,,,2024-08-26,2099-12-31,2025-08-26,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,27/12/2024 17:49:46
75dabe8e-6439-4986-97d5-2031ec08d12f,北京傲行天下国际旅行社有限公司,91110106766288757T,李*,(京)文执罚 〔2023〕第600216号,旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,北京傲行天下国际旅行社有限公司于2023年04月28日与2023年04月28日期间，存在旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,《旅行社条例》第五十五条第（二）项,罚款,罚款人民币贰万元。,2.0,,,2023-09-05,2099-12-31,2024-09-05,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:45
b13443f9-99db-4662-98c8-829d65bd7fc5,北京飞扬亨通国际旅行社有限公司,91110106MA01GP9D78,程*画,(京)文执罚 〔2024〕第600204号,旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,北京飞扬亨通国际旅行社有限公司于2024年7月8日至7月12日组织旅游团队开展旅游活动期间，存在旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项。,《旅行社条例》第五十五条第（二）项,罚款,罚款人民币贰万元,2.0,,,2024-10-16,2099-12-31,2025-10-16,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,27/12/2024 17:49:43
dd99ce02-8595-402b-b6bf-581ff8189774,北京鲲鹏天下国际旅行社有限责任公司,91110105MA0047N63W,刘*艳,(京)文执罚 〔2023〕第600193号,旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,北京鲲鹏天下国际旅行社有限责任公司于2023年06月28日与2023年07月02日期间，存在旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,《旅行社条例》第五十五条第（二）项,罚款,罚款人民币贰万元。,2.0,,,2023-08-10,2099-12-31,2024-08-10,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:30
f7afd682-a407-465f-95c7-17486dae7614,北京巴米亚旅游服务有限公司,91110113MA01XHH7X1,李*楼,(京)文执罚 〔2025〕第600022号,旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,北京巴米亚旅游服务有限公司于2025年1月13日至1月17日期间，存在旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,《旅行社条例》第五十五条第（二）项,罚款,罚款人民币2万元。,2.0,,,2025-03-07,2099-12-31,2026-03-07,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,23/6/2025 11:18:07
13beda8d-bfaa-49e4-a863-fd1805cb8987,北京中青乐游旅游有限公司,91110114MA01EBJH4J,李*涛,(京)文执罚 〔2023〕第600320号,旅行社未与旅游者签订旅游合同,北京中青乐游旅游有限公司于2023年10月05日期间，存在旅行社未与旅游者签订旅游合同的行为，依法对该（单位）处以罚款人民币30000元的行政处罚。,《旅行社条例》第五十五条第（一）项,罚款,罚款人民币叁万元。,3.0,,,2023-12-13,2099-12-31,2024-12-13,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:06:29
6fc81c75-5e09-49cf-b7c2-fba0154f16cf,游来游去国际旅行社（北京）有限公司,91110105MA002NLD0C,李*芳,(京)文执罚 〔2024〕第600107号,旅行社未与旅游者签订旅游合同,游来游去国际旅行社（北京）有限公司于2024年05月15日，存在旅行社未与旅游者签订旅游合同的违法行为。,《旅行社条例》第五十五条第（一）项,罚款,罚款人民币叁万元。,3.0,,,2024-05-30,2099-12-31,2025-05-30,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:06:34
d2ffa21d-95ae-41ce-b762-ae5f85feb1dc,北京云海之旅国际旅行社有限公司,91110115MAC04Y6B11,代*新,(京)文执罚 〔2025〕第600025号,旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,北京云海之旅国际旅行社有限公司于2025 年1月21日，存在旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,《旅行社条例》第五十五条“违反本条例的规定，旅行社有下列情形之一的，由旅游行政管理部门责令改正，处2万元以上10万元以下的罚款；情节严重的，责令停业整顿1个月至3个月：(二)与旅游者签订的旅游合同未载明本条例第二十八条规定的事项”,罚款,罚款人民币贰万元。,2.0,,,2025-03-21,2099-12-31,2026-03-21,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,23/6/2025 11:18:05
dcac7dcd-fe2e-4b9f-98e6-668e3c6724da,北京天行健国际旅行社有限公司,9111010557690466XE,李*凤,(京)文执罚 〔2025〕第600054号,旅行社未与旅游者签订旅游合同；旅行社安排未取得导游证的人员提供导游服务或者安排不具备领队条件的人员提供领队服务,北京天行健国际旅行社有限公司于2025年04月22日与2025年05月10日期间，存在旅行社未与旅游者签订旅游合同和旅行社安排未取得导游证的人员提供导游服务或者安排不具备领队条件的人员提供领队服务的行为,《旅行社条例》第五十五条第（一）项和《旅游法》第九十六条第（二）项,罚款;没收违法所得、没收非法财物,你单位存在旅行社未与旅游者签订旅游合同的行为违反了《旅行社条例》第二十八条的规定，因其初次被查处，依据《旅行社条例》第五十五第（一）项的规定，参照《北京市文化市场综合执法行政处罚裁量基准》第一档，对你单位作出罚款人民币20000元的行政处罚。你单位存在旅行社安排未取得导游证的人员提供导游服务或者安排不具备领队条件的人员提供领队服务的行为违反了《中华人民共和国旅游法》第九十六条第（二）项的规定，依据《中华人民共和国旅游法》第九十六条第（二）项的规定，并参照《北京市文化市场综合执法行政处罚裁量基准》第一档，对你单位作出没收违法所得人民币500元并罚款人民币5000元的行政处罚。综上，对你单位作出没收违法所得人民币500元并罚款人民币25000元的行政处罚。,2.5,0.05,,2025-08-19,2099-12-31,2026-08-19,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,22/12/2025 16:07:21
9004abf9-5061-40cb-a243-a4f49fa42ea0,北京好啊游国际旅行社有限公司,91110106MA01NKFE80,王*艳,(京)文执罚 〔2023〕第600262号,旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,北京好啊游国际旅行社有限公司于2023年7月5日与2023年7月5日期间，存在旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项，对其做出罚款20000元的行政处罚。,《旅行社条例》第五十五条第（二）项,罚款,罚款人民币贰万元。,2.0,,,2023-10-16,2099-12-31,2024-10-16,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:39
f8260e80-178b-4ca7-a836-8830169569e2,北京逸菲行旅游有限公司,91110115MACRN31A5Q,孟*菲,(京)文执罚 〔2025〕第600052号,旅行社未与旅游者签订旅游合同,北京逸菲行旅游有限公司于2025年6月期间，存在旅行社未与旅游者签订旅游合同行为,《旅行社条例》第五十五条第（一）项,罚款,罚款人民币贰万元。,2.0,,,2025-08-18,2099-12-31,2026-08-18,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,22/12/2025 16:07:24
203b3af5-1b08-4df0-9582-5ff1ed23ff41,北京鼎途国际旅游有限公司,91110105MAEDGB0P6W,刘*,(京)文执罚 〔2025〕第600058号,旅行社未取得旅游者同意，将旅游业务委托给其他旅行社,北京鼎途国际旅游有限公司存在未取得旅游者同意，将旅游业务委托给其他旅行社的行为,《旅行社条例》第五十五条第（三）项,罚款,罚款人民币贰万元。,2.0,,,2025-09-02,2099-12-31,2026-09-02,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,22/12/2025 16:07:22
ac698d2a-7d3d-4285-90e5-e3b2d8e1ca15,北京易杨国际旅行社有限公司,91110111MA01NH8437,张*兵,(京)文执罚 〔2024〕第600103号,旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,"北京易杨国际旅行社有限公司于2024年02月05日与2024年02月09日期间，存在旅行社与旅游者签订的旅游合同未载明《旅行社条例》第二十八条规定的事项,对其作出罚款2万元的行政处罚。",《旅行社条例》第五十五条第（二）项,罚款,罚款人民币贰万元。,2.0,,,2024-05-27,2099-12-31,2025-05-27,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:06:31
087453af-c704-4d9d-8d09-60abc9e7160b,北京要趣玩儿国际旅行社有限公司,91110115MA01ME0R78,李*敏,(京)文执罚 〔2023〕第600194号,旅行社未与旅游者签订旅游合同,北京要趣玩儿国际旅行社有限公司于2023年06月30日与2023年07月05日期间，存在旅行社未与旅游者签订旅游合同行为，无违法所得,《旅行社条例》第五十五条第（一）项,罚款,罚款人民币贰万元。,2.0,,,2023-08-10,2099-12-31,2024-08-10,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:27
12b5f583-ef8b-45de-8b6a-db6d45706916,易游天下国际旅行社（北京）有限公司,911101016699375246,甄*,(京)文执罚 〔2024〕第600004号,旅行社未与旅游者签订旅游合同,易游天下国际旅行社（北京）有限公司于2023年09月与2023年09月期间，存在旅行社未与旅游者签订旅游合同行为,《旅行社条例》第五十五条第（一）项,罚款,罚款人民币贰万元。,2.0,,,2024-01-03,2099-12-31,2025-01-03,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:06:32
b9d2d013-3d30-4af4-a5a9-c94214287e36,北京中青游国际旅行社有限公司,91110115MA01K60N19,赵*伟,(京)文执罚 〔2024〕第600059号,旅行社未与旅游者签订旅游合同,北京中青游国际旅行社有限公司于2024年02月与2024年02月期间，存在旅行社未与旅游者签订旅游合同行为,《旅行社条例》第五十五条第（一）项,罚款,罚款人民币贰万元。,2.0,,,2024-03-15,2099-12-31,2025-03-15,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:06:27
