唯一标识,行政相对人名称,统一社会信用代码,组织机构代码,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,是否删除,行政相对人类别,更新时间
14f45457-d72f-4fd2-aaa3-b91108d43e9e,北京中文万维科技有限公司,91110101344307604X,344307604,姜*,(京)文执罚 〔2023〕第400200号,出版、传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物,北京中文万维科技有限公司于2022年02月11日与2023年08月15日期间，存在出版、传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物的行为。,《网络出版服务管理规定》第五十二条第一款,罚款,罚款人民币伍仟元。,0.5,,2023/8/31,2099/12/31,2024/8/31,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:46
36e28db0-d4a8-444a-a7af-6c445a92b33b,北京幻想纵横网络技术有限公司,91110105678221683F,678221683,韩*昌,(京)文执罚 〔2023〕第400300号,出版、传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物,北京幻想纵横网络技术有限公司于2016年7月4日至2023年10月12日期间，传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物的行为，违法经营额34.05元，违法所得34.05元。,《网络出版服务管理规定》第五十二条第一款,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币叁拾肆元伍分;2.罚款人民币伍仟元。,0.5,0.003405,2023/11/9,2099/12/31,2024/11/9,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:28
9b0c756a-33a1-421f-8898-eb9f2dfceb8a,北京易网天空科技发展有限公司,91110106MA00C7X367,,龚*,(京)文执罚 〔2024〕第400017号,出版、传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物,北京易网天空科技发展有限公司于2020年9月14日至2023年11月22日期间，存在传播含有《网络出版服务管理规定》第二十四条第（九）项所述危害社会公德的网络出版物的行为，无违法经营额、无违法所得。,《网络出版服务管理规定》第五十二条第一款,罚款,罚款人民币壹万元。,1,,2024/1/8,2099/12/31,2025/1/8,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:32
ddb45f00-6bfe-4277-9c3f-781cfb749745,北京不可能科技有限公司,91110105MA01JW5C9U,MA01JW5C9,王*,(京)文执罚 〔2023〕第400207号,出版、传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物,北京不可能科技有限公司于2023年04月01日至2023年07月24日期间，经营的“APP“不可能的世界”存在传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物的行为。,《网络出版服务管理规定》第五十二条第一款,罚款;没收违法所得、没收非法财物,1.没收违法所得伍拾陆圆肆角贰分2.罚款人民币贰仟元。,0.2,0.005642,2023/9/11,2099/12/31,2024/9/11,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:43
df594913-f4c2-4b3d-ac0f-f79e7b4fb124,北京栀子欢文化传播有限公司,91110106344321158F,,艾*鹏,(京)文执罚 〔2024〕第400145号,出版、传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物,北京栀子欢文化传播有限公司于2017年10月26日至2024年7月4日期间，存在出版、传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物的行为，无违法所得。,《网络出版服务管理规定》第五十二条第一款,罚款,1.罚款人民币壹仟元;,0.1,,2024/7/16,2099/12/31,2025/7/16,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:52
627e097c-bdea-4860-a72f-0460182d66f9,北京天天阅读文化发展有限公司,91110105339816308D,,刘*,(京)文执罚 〔2024〕第400168号,出版、传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物,"北京天天阅读文化发展有限公司于2016年7月22日至2024年7月10日期间,存在传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物的行为，违法所得0元。",《网络出版服务管理规定》第五十二条第一款,罚款,罚款人民币伍仟元。,0.5,,2024/8/1,2099/12/31,2025/8/1,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:50
7fdafdb1-6ac9-4e68-9a1a-5d7195256e3e,北京趣文科技有限公司,91110105MA02A6Q3X2,,贺*龙,(京)文执罚 〔2024〕第400061号,出版、传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物,北京趣文科技有限公司于2021年06月27日与2024年01月25日期间，存在传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物的行为。,《网络出版服务管理规定》第五十二条第一款,罚款,罚款人民币伍仟元。,0.5,,2024/3/5,2099/12/31,2025/3/5,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:34
f56c5444-4542-4e78-83ec-c18dd2cc3321,北京墨舞红尘科技发展有限公司,911101073976279868,397627986,项*,(京)文执罚 〔2023〕第400205号,出版、传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物,"北京墨舞红尘科技发展有限公司于2014年11月1日与2023年07月28日期间，存在传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物的行为。该单位的上述行为违反了《网络出版服务管理规定》第二十四条第（七）项的规定，依据《网络出版服务管理规定》第五十二条第一款的规定,对该单位进行行政处罚。",《网络出版服务管理规定》第五十二条第一款,罚款,罚款人民币壹万元。,1,,2023/9/8,2099/12/31,2024/9/8,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:47
1949973c-4264-412c-a93c-011a2727280d,北京嚼指兄弟网络科技有限公司,91110105MA001FGPXF,,陈*,(京)文执罚 〔2024〕第400091号,传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物,北京嚼指兄弟网络科技有限公司于2022年12月10日至2024年02月27日期间，存在传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物的行为，违法经营额人民币1994.81元，违法所得人民币1994.81元。,《网络出版服务管理规定》第五十二条第一款,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币壹仟玖佰玖拾肆元捌角壹分;2.罚款人民币壹万元。,1,0.199481,2024/4/11,2099/12/31,2025/4/11,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:29
631032a8-3f70-4a99-aa4f-810538e9b7ec,北京搜狗信息服务有限公司,91110108783973318P,783973318,叶*,(京)文执罚 〔2024〕第400127号,出版、传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物,"北京搜狗信息服务有限公司于2018年3月1日至2024年5月20日期间,存在传播含有《网络出版服务管理规定》第二十四条所述禁止内容的网络出版物的行为，违法所得0元。",《网络出版服务管理规定》第五十二条第一款,罚款,罚款人民币壹仟元。,0.1,,2024/6/13,2099/12/31,2025/6/13,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:34
