唯一标识,行政相对人名称,统一社会信用代码,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,是否删除,行政相对人类别,更新时间
f01bf2dc-c355-4f66-bd74-6e6a61166b82,北京创业公社供应链管理服务有限公司,91230103MA18XG720R,刘*程,(京)文执罚 〔2024〕第200019号,擅自从事营业性演出经营活动,北京创业公社供应链管理服务有限公司于2023年09月16日至2023年09月18日期间，存在擅自从事营业性演出经营活动的违法行为，无违法所得，经营活动不涉及演出器材。,《营业性演出管理条例》第四十三条第一款第（一）项和《营业性演出管理条例实施细则》第五十三条第一款,罚款,罚款人民币伍万元。,5,,2024/2/7,2099/12/31,2025/2/7,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:29
653d4701-47c5-4e7d-bdbb-d33f3cd6c115,菲叶维克（北京）国际文化传播有限公司,911101065568395817,黄*杰,(京)文执罚 〔2024〕第200006号,变更演出时间未重新报批；变更参加演出的演员、节目未重新报批,菲叶维克（北京）国际文化传播有限公司于2023年10月6日举办的营业性演出活动中存在变更演出时间未重新报批、变更演员及节目未重新报批的违法行为，违法所得2439.89元。,《营业性演出管理条例》第四十四条第一款、第二款、《营业性演出管理条例实施细则》第五十三条第一款,警告;罚款;没收违法所得、没收非法财物,1.没收违法所得人民币贰仟肆佰叁拾玖元捌角玖分;2.警告;3.罚款人民币捌万元。,8,0.243989,2024/1/11,2099/12/31,2024/7/11,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:34
278ec932-6c08-4a73-a7f0-c51ac7d04e7f,天津宝艺文化传播有限公司,91120103300384130G,孙*景,(京)文执罚 〔2023〕第200164号,【市】对演出举办单位没有现场演唱、演奏记录的行为进行处罚,天津宝艺文化传播有限公司于2023年07月22日与2023年07月22日期间，存在演出举办单位没有现场演唱、演奏记录的违法行为，无违法所得，处罚款人民币2000元的行政处罚。,《营业性演出管理条例实施细则》第五十一条第一款、第五十三条,罚款,罚款人民币贰仟元。,0.2,,2023/11/1,2099/12/31,2024/11/1,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:37
27e5f42b-0a2e-4322-8cf4-de02d333b76f,北京麻雀瓦舍文化发展有限公司,91110105MAC7CCLN5N,栾*,(京)文执罚 〔2023〕第200154号,未经批准擅自出售演出门票,北京麻雀瓦舍文化发展有限公司于2023年08月14日至2023年08月17日期间，存在未经批准擅自出售演出门票的违法行为。,《营业性演出管理条例实施细则》第五十条、第五十三条,罚款,罚款人民币壹仟元。,0.1,,2023/10/10,2099/12/31,2024/10/10,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:27
5c9c2e97-91d2-44f2-8f12-89e4fc41f179,北京义心文化传媒有限公司,91110105MABPB4844E,梁*,(京)文执罚 〔2023〕第200153号,【市】对未经批准，擅自出售演出门票的行为进行处罚,北京义心文化传媒有限公司于2023年07月11日与2023年07月26日期间未经批准擅自出售演出门票，违反了《营业性演出管理条例实施细则》第二十五条规定，构成了未经批准擅自出售营业性演出门票的违法违规行为，依据《营业性演出管理条例实施细则》第五十条、第五十三条第一款的规定，参照《北京市文化市场综合执法行政处罚裁量基准》，给予北京义心文化传媒有限公司罚款5000元的行政处罚。,《营业性演出管理条例实施细则》第五十条、第五十三条,罚款,罚款人民币伍仟元。,0.5,,2023/9/28,2099/12/31,2024/3/28,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:39
cb53aeb0-1a6d-4638-a62a-ce9f0c8c3ac6,北京斗金文化传媒有限公司,91110105MA7GH9B79R,王*,(京)文执罚 〔2023〕第200062号,擅自从事营业性演出经营活动,没收违法所得人民币壹仟肆佰捌拾元;,《营业性演出管理条例》第四十三条第一款第（一）项和《营业性演出管理条例实施细则》第五十三条第一款,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币壹仟肆佰捌拾元;2.罚款人民币柒万元。,7,0.148,2023/6/21,2099/12/31,2024/6/21,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:41
69f8ff06-d126-4864-8ac4-9f4385cd8922,北京梅之林品牌管理咨询有限公司,91110108MA01DYD206,何*健,(京)文执罚 〔2023〕第200138号,擅自从事营业性演出经营活动,"北京梅之林品牌管理咨询有限公司于2023年02月14晚，在朝阳区“798”艺术园区遇见博物馆内举办了名为“雕撰的辉煌‘爱乐卢浮’情人节交响夜”演出活动，违反了《营业性演出管理条例》第六条的规定，构成了擅自从事营业性演出经营活动的违法违规行为，依据《营业性演出管理条例》第四十三条第一款第（一）项和《营业性演出管理条例实施细则》第五十三条第一款的规定,参照《北京市文化市场综合执法行政处罚裁量基准》，给予该单位罚款50000元的行政处罚。",《营业性演出管理条例》第四十三条第一款第（一）项和《营业性演出管理条例实施细则》第五十三条第一款,罚款,罚款人民币伍万元。,5,,2023/10/9,2099/12/31,2024/10/9,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:45
056d2ff8-b9cc-4015-8700-21b167293934,北京猫眼文化传媒有限公司,91110105MA001TYG99,王*,(京)文执罚 〔2024〕第200023号,未经批准，擅自出售演出门票,北京猫眼文化传媒有限公司于2023年11月16日与2023年12月11日期间，存在未经批准，擅自出售演出门票的行为,《营业性演出管理条例实施细则》第五十条、第五十三条第一款,罚款,罚款人民币叁万元。,3,,2024/2/21,2099/12/31,2024/8/21,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:27
52f0c69f-f40c-458d-8f97-5baf24e5003c,北京黄昏黎明文化传播有限公司,91110101397468698Q,张*灿,(京)文执罚 〔2025〕第200023号,【市】对营业性演出有《营业性演出管理条例》第二十五条禁止情形的行为进行处罚 ,北京黄昏黎明文化传播有限公司举办的营业性演出活动中存在营业性演出有《营业性演出管理条例》第二十五条禁止情形的行为进行处罚 ,《营业性演出管理条例》第四十六条第一款和《营业性演出管理条例实施细则》第五十三条第一款,罚款;没收违法所得、没收非法财物,1.罚款人民币拾贰万伍仟肆佰伍拾叁元肆角;2.没收违法所得人民币壹万贰仟伍佰肆拾伍元叁角肆分。,12.54534,1.254534,2025/8/19,2099/12/31,2026/8/19,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,22/12/2025 16:07:24
a31847c6-4dbb-4bd7-a4a5-438ccb136ab3,北京珊瑚石咖啡厅（经营者：刘昊）,92110101L37949992D,刘*,(京)文执罚 〔2025〕第200022号,【市】对非演出场所经营单位擅自举办演出的行为进行处罚,2025年03月21日北京珊瑚石咖啡厅（经营者：刘昊）存在非演出场所经营单位擅自举办演出的违法行为。,《营业性演出管理条例》第四十三条和《营业性演出管理条例实施细则》第四十五条、第五十三条第一款,罚款,罚款伍万元,5,,2025/7/30,2099/12/31,2026/1/30,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,个体工商户,22/12/2025 16:07:20
