序号,行政相对人名称,事项名称,文号,处罚决定日期,违法事实,处罚依据,处罚类别,处罚内容,案件发生地址
1,北京洋桥瑞丽物业管理有限责任公司第一分公司,北京洋桥瑞丽物业管理有限责任公司第一分公司不按照污水排入排水管网许可证的要求排放污水,京水监罚字[2020]第43号,2020/6/28,经查实，2020年5月29日，你单位在北京市丰台区马家堡东路189号院不按照污水排入排水管网许可证的要求排放污水。  ,城镇排水与污水处理条例,罚款,罚款17500元整,北京市丰台区马家堡东路189号院
2,北京丰台众仁堂中医医院,北京丰台众仁堂中医医院不按照污水排入排水管网许可证的要求排放污水,京水监罚字[2020]第35号,2020/6/28,经查实，2020年5月29日，你单位在北京市丰台区新村四里26号不按照污水排入排水管网许可证的要求排放污水。,城镇排水与污水处理条例,罚款,罚款7500元整,北京市丰台区新村四里26号
3,北京翔达投资管理有限公司致美斋饭庄,北京翔达投资管理有限公司致美斋饭庄向排水管网排放超标污水,京水监罚字[2020]第41号,2020/6/28,经查实，2020年3月3日，你单位在北京市西城区白广路35号向排水管网排放超标污水。  ,北京市排水和再生水管理办法,罚款,罚款14000元整,北京市西城区白广路35号
4,北京道丰总部基地物业管理有限公司,北京道丰总部基地物业管理有限公司向排水管网排放超标污水,京水监罚字[2020]第40号,2020/6/28,经查实，你单位于2020年2月27日在北京市丰台区南四环西路188号11区向排水管网排放超标污水。,北京市排水和再生水管理办法,罚款,罚款11500元整,北京市丰台区南四环西路188号11区
5,北京金典糖尿病医院有限公司,北京金典糖尿病医院有限公司未取得排水许可证向城镇排水设施排放污水,京水监罚字[2020]第39号,2020/6/28,自2003年始，你单位在北京市东城区滨河路1号1层北京金典糖尿病医院未取得排水许可证向城镇排水设施排放污水。,城镇排水与污水处理条例,罚款,罚款170000元整,北京市东城区滨河路1号1层
6,北京市东城区龙潭社区卫生服务中心,北京市东城区龙潭社区卫生服务中心未取得污水排入排水管网许可证向城镇排水设施排放污水,京水监罚字[2020]第38号,2020/6/28,北京市东城区龙潭社区卫生服务中心自2007年12月开始，在北京市东城区光明中街25号未取得污水排入排水管网许可证向城镇排水设施排放污水。,城镇排水与污水处理条例,罚款,罚款170000元整,北京市东城区光明中街25号
7,北京保平中西医结合医院,北京保平中西医结合医院不按照污水排入排水管网许可证的要求排放污水,京水监罚字[2020]第37号,2020/6/28,经查实，2020年5月25日，北京保平中西医结合医院在北京市朝阳区华威北里甲10号不按照污水排入排水管网许可证的要求排放污水。,城镇排水与污水处理条例,罚款,罚款7500元整,北京市朝阳区华威北里甲10号
8,北京丰台广济中西医结合医院,北京丰台广济中西医结合医院不按照污水排入排水管网许可证的要求排放污水,京水监罚字[2020]第36号,2020/6/28,经查实，2020年5月29日，你单位在丰台区花乡纪家庙不按照污水排入排水管网许可证的要求排放污水。  ,城镇排水与污水处理条例,罚款,罚款17500元整,丰台区花乡纪家庙
9,北京市康健科技有限公司门诊部,北京市康健科技有限公司门诊部向排水管网排放超标污水,京水监罚字[2020]第42号,2020/6/28,2020年5月20日，你单位在北京市西城区白云观街北里6号楼一层南侧康健门诊向排水管网排放超标污水。,北京市排水和再生水管理办法,罚款,罚款11500元整,北京市西城区白云观街北里6号楼一层南侧
10,中交第三航务工程局有限公司京沈客专京冀段十一标项目部,中交第三航务工程局有限公司京沈客专京冀段十一标项目部中交第三航务工程局有限公司京沈客专京冀段十一标项目部在埋设公共供水设施的两侧安全间距内挖坑,京水监罚字[2020]第34号,2020/6/28,经查实，你单位于2020年3月20日在北京市昌平区京承高速土沟服务区北侧京沈客专土沟服务区工程处，在埋设公共供水设施的两侧安全间距内挖坑。,北京市城市公共供水管理办法,罚款,罚款1500元 整,北京市昌平区京承高速土沟服务区北侧京沈客专土沟服务区工程处
