项目ID,单位名称,营业执照注册号,统一社会信用代码,违法事实认定依据（处罚类别）,处罚依据,处罚决定（处罚事由）,处罚机关单位,立案日期
007451a4-be17-422e-be9b-c6e0a303251f,北京井庄柳沟胡素平农家餐厅,92110229L63107043B ,92110229L63107043B,《北京市大气污染防治条例》第五十九条第一款,《北京市大气污染防治条例》第一百零八条第一款,责令十日内改正，处五千元罚款。,北京市生态环境局,
00900567-0741-4d0f-a2bc-545817f1461d,北京市新宏状元餐饮管理有限公司建德桥店,无 ,91110108558535581U,《北京市大气污染防治条例》第五十九条第一款,《北京市大气污染防治条例》第一百零八条第一款,处一万元罚款。,北京市生态环境局,
00ed97204c244a9787ed268d40edecfd,北京城建亚东混凝土有限责任公司,,91110105101173947Q,,,,北京市生态环境局,
00fcb1f3-b5c4-43c1-8f87-11eda29b0b80,北京双良混凝土有限公司,9111110105721410704U ,91110105721410704U,《北京市大气污染防治条例》第六十六条第一款,《北京市大气污染防治条例》第一百一十二条第一款,责令三日内改正，处六百元罚款。,北京市生态环境局,
0155e75d-9073-43e0-ac83-d528fd84278b,北京永日火炉火餐饮有限公司亦庄分公司,91110105MA0022M03D ,91110400MA029UY81R,《北京市大气污染防治条例》第五十九条第一款,《北京市大气污染防治条例》第一百零八条第一款,责令十日内改正，处七千元罚款。,北京市生态环境局,
01fea304-b78f-46df-ad9f-cad6eebf4ae3,北京市房山区腾飞物资供应处,110111008460685,91110111X00403694J,《建设项目环境保护管理条例》第十九条第一款,《建设项目环境保护管理条例》第二十三条第一款,责令六个月内改正违法行为，处三十万元罚款,北京市生态环境局,
0203ade3-bca8-4ee0-b049-6c5c814442be,北京霆瀚能源技术有限公司,10108002119257,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第十条第二款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十四条,责令停止违法行为，限三十日内改正，处以叁万元罚款。,北京市生态环境局,
02204e6b-334c-4959-b186-2869f1ec998d,北京韩一理化科技有限公司,110000410273240,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第二十七条第一款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十五条第一款第（六）项,责令停止违法行为，限十日内改正，处以伍千元罚款。,北京市生态环境局,
0248ea50-2eba-4d59-aaaf-4de1998bf8b2,北京天地创展物业管理有限公司,110111010558583,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第十条第二款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十四条,责令停止违法行为，限三日内改正，处以伍万元罚款。,北京市生态环境局,
024f2ae4-b233-4472-ae73-1e93df7c97e8,北京豪特酿酒公司,110117008217758,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第十条第二款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十四条,责令停止违法行为，限三日内改正，处以贰万元罚款。,北京市生态环境局,
