序号,获奖等级,获奖专利号,获奖专利名称,获奖届数
1,特等奖,ZL201310566673.9,一种轨道电路,6
2,一等奖,ZL201210496472.1,一种电动汽车高压电气系统及控制方法,6
3,一等奖,ZL201810010839.1,用于检测人脸的方法和装置,6
4,一等奖,ZL200710177066.8,在大规模社会网络中基于路径评分的个人关系发现方法,6
5,一等奖,ZL201611140950.X,一种电子标签的电源整流电路,6
6,一等奖,ZL201410223015.4,车辆上报信息的处理方法和装置,6
7,二等奖,ZL201510802471.9,一种无人驾驶控制系统,6
8,二等奖,ZL200410028929.1,裂褶菌耐缺氧发酵物及其发酵方法与培养基,6
9,二等奖,ZL201510437014.4,电磁波成像系统及天线阵列信号校正方法,6
10,二等奖,ZL201410675356.5,一种基于可重构芯片技术的主机系统目录结构实现方法和系统,6
11,二等奖,ZL201210306678.3,掩膜板、采用掩膜板制作阵列基板的方法、阵列基板,6
12,二等奖,ZL201610868562.7,一种网络会议操作方法和网络会议中心管理系统,6
13,二等奖,ZL201410811091.7,一种网络会议操作方法和网络会议中心管理系统,6
14,二等奖,ZL201510524106.6,一种报废机动车智能化拆解系统及拆解方法,6
15,二等奖,ZL201610086077.4,一种挤塑板及其制备方法,6
16,二等奖,ZL201510076104.5,基于弹性检测设备的健康状况分析方法及系统,6
17,三等奖,ZL201510970216.5,复合吸附剂以及使用该复合吸附剂脱除甜菜糖异味的方法,6
18,三等奖,ZL201510541086.3,染色体非整倍体(T21、T18、T13)检测试剂盒的质控品及其应用,6
19,三等奖,ZL201010104082.6,一种适合于结构件制造的铝合金制品及制备方法,6
20,三等奖,ZL200710115608.9,马来酸桂哌齐特注射液及其制备方法,6
21,三等奖,ZL201710060379.9,一种总线型FC-AE-1553网络系统及数据发送和采集方法,6
22,三等奖,ZL201110353084.3,一种链式变流器的控制系统,6
23,三等奖,ZL201710060410.9,数据同步方法及装置,6
24,三等奖,ZL201810796566.8,媒体码率自适应方法、装置、计算机设备及存储介质,6
25,三等奖,ZL200410001002.9,采油用覆膜石英砂压裂支撑剂,6
26,三等奖,ZL200610103593.X,一种提取新词的方法和系统,6
27,三等奖,ZL201510658585.0,用于电池换电的控制系统及方法,6
28,三等奖,ZL201510971363.4,一种多车道自由流下的多天线联合工作方法及系统,6
29,三等奖,ZL201210095739.6,一种基于承载全过程研究的索穹顶结构设计指标确定方法,6
30,三等奖,ZL201310694444.5,基于数字签章的电子发票生成方法,6
31,三等奖,ZL201210104077.4,LTE网络设备,6
32,三等奖,ZL201410643908.4,一种DCDC转换器,6
33,三等奖,ZL201410008729.3,用于呼吸机的加湿器以及呼吸机,6
34,三等奖,ZL200810104657.7,一种移动通信网络优化的方法、装置与系统,6
35,三等奖,ZL201510226359.5,一种USB主控芯片的安全自验系统及自验方法,6
36,三等奖,ZL201510129254.8,一种增程式电动汽车,6
37,特等奖,ZL202110370652.4,"装配式箱板钢结构防腐建
筑体系及施工方法",7
38,一等奖,ZL201811548655.7,"一种基于人工智能的雾无
线接入网络组网方法及装
置",7
39,一等奖,ZL201710356429.8,"一种多类设备控制方法和
系统",7
40,一等奖,ZL201610825015.0,"一种空气弹簧隔振平台控
制系统",7
41,一等奖,ZL201410519430.4,"芳香族酰胺类衍生物、其
制备方法及其在医药上的
应用",7
42,一等奖,ZL201611232996.4,"基于口音瓶颈特征的声学
模型自适应方法",7
43,二等奖,ZL202010511492.6,"一种用于航空发动机叶片精
密加工的切削过程时变调控
系统及方法",7
44,二等奖,ZL201610587165.2,"为电池充电的方法及电子
设备",7
