序号,单位名称,所属区,组织机构代码
34,北京新领先医药科技发展有限公司,海淀区,91110108770411818M
41,中国机械总院集团北京机电研究所有限公司,海淀区,91110108400010267K
53,中钢设备有限公司,海淀区,91110000100010804B
59,北京建企动力科技工程有限公司,丰台区,91110112MA01LFQF1P
70,北京鼎成肽源生物技术有限公司,昌平区,911101140962727988
75,国能锅炉压力容器检验有限公司,昌平区,911101140960676712
77,国能龙源蓝天节能技术有限公司,昌平区,9111010857520838XF
80,北京霍里思特科技有限公司,大兴区,91110108558530342B
93,互联网域名系统北京市工程研究中心有限公司,怀柔区,91110116064905925Y
109,北京中科宇航技术有限公司,经开区,91110106MA003EBQ4D
142,北京连山科技股份有限公司,顺义区,91110108794082078E
143,中煤科工开采研究院有限公司,顺义区,91110113MA01QYLH59
190,长源动力(北京)科技有限公司,海淀区,91110108576904723T
197,北京舞鹤环境工程设计有限公司,海淀区,91110108MA006LLE5Q
223,摩尔线程智能科技（北京）股份有限公司,海淀区,91110108MA01RWUG4Y
225,北京金控数据技术股份有限公司,丰台区,911101086804563776
260,北京安德普泰医疗科技有限公司,大兴区,91110115565801024R
262,北京海得利兹新技术有限公司,大兴区,91110105MA019LXW6U
301,北京银河方圆科技有限公司,昌平区,91110108MA01M21MX3
308,金房能源集团股份有限公司,昌平区,91110114101646767U
322,北京友通上昊科技有限公司,经开区,91110302670554475B
325,北京宏诚创新科技有限公司,经开区,91110108099067984A
334,中航技进出口有限责任公司,经开区,911103027178248000
341,北京信而泰科技股份有限公司,怀柔区,911101086646357897
346,北京中科三清环境技术有限公司,密云区,91110108061290291C
348,北京晶品赛思科技有限公司,平谷区,91110117399519970L
15,北京兴天通电讯科技有限公司,海淀区,91110108747521365L
23,云知声智能科技股份有限公司,海淀区,91110108599663854W
44,北京麟卓信息科技有限公司,海淀区,91110105MA018B36X0
50,华北计算技术研究所（中国电子科技集团公司第十五研究所）,海淀区,12100000400011294W
57,航天科工智能机器人有限责任公司,丰台区,91110106MA0012GN8X
72,北京农学院,昌平区,1211000040068750X7
78,北京晶品特装科技股份有限公司,昌平区,91110114691650917R
79,北京市阀门总厂股份有限公司,大兴区,911101151011765741
148,斯贝福（北京）生物技术有限公司,延庆区,91110229567461772F
152,昆仑数智科技有限责任公司,东城区,911101017967003199
158,北京长亭科技有限公司,朝阳区,91110108306465820T
160,北京拓普丰联信息科技股份有限公司,朝阳区,91110105756025873C
178,北京飞轮数据科技有限公司,海淀区,91110108MA7F594W2X
202,飞诺门阵（北京）科技有限公司,海淀区,91110114MA01HCLP19
227,普华讯光（北京）科技有限公司,丰台区,91110106685115942R
234,睿尔曼智能科技（北京）有限公司,石景山区,91110109MA019QWYX6
243,全景恒升（北京）科学技术有限公司,顺义区,91110113335508236D
248,碎得机械（北京）有限公司,顺义区,91110113784800865Y
250,格林斯达（北京）环保科技股份有限公司,顺义区,911103026923313018
265,北京金印联国际供应链管理有限公司,大兴区,91110108633708906M
