序号,案件名称,被处罚对象的名称/姓名,统一社会信用代码,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,作出处罚决定的机关,作出处罚决定的日期,履行方式和期限
1,北京尚德技研知识产权代理事务所（普通合伙）疏于管理造成严重后果案,北京尚德技研知识产权代理事务所（普通合伙）,91110101696373808P,京知管罚字〔2021〕第 1 号,"《专利代理管理办法》第五十一条第一款第(四)项；《专利代理条
例》第二十五条第一款第（五）项",严重干扰专利审查工作正常进行,《专利代理条例》第二十五条第一款第（五）项,警告,警告,北京市知识产权局,2021-08-16,已履行
2,北京久维律师事务所疏于管理造成严重后果案,北京久维律师事务所,3111000035900012XA,京知管罚字〔2021〕第 2 号,从事非正常专利申请行为，严重扰乱专利工作秩序,当事人为专利代理机构，接受申请人委托代理 22 件非正常专利申请,"《专利代理条例》第二十五条第一款第（五）项，《专利代理
管理办法》第五十一条第一款（二）项",警告；罚款,警告；罚款人民币 22000 元,北京市知识产权局,2021-09-09,当事人应当自收到处罚决定书之日起十五内，到指定的银行缴纳罚款
3,"北京权智天下知识产权代理事务所（普通合伙）疏于管理造成
严重后果案",北京权智天下知识产权代理事务所（普通合伙）,91110106MA008X3U59,京知管罚字〔2021〕第 3 号,从事非正常专利申请行为，严重扰乱专利工作秩序,当事人为专利代理机构，接受申请人委托代理 15 件非正常专利申请,"《专利代理条例》第二十五条第一款第（五）项，《专利代理
管理办法》第五十一条第一款（二）项",警告；罚款,警告；罚款人民币 15000 元,北京市知识产权局,2021-09-09,"当事人应当自收到处罚决定书之日起十五日内，到指定的银行
缴纳罚款"
4,北京劲创知识产权代理事务所（普通合伙）疏于管理造成严重后果案,北京劲创知识产权代理事务所（普通合伙）,91110114MA003M4Y7A,京知管罚字〔2021〕第 4 号,从事非正常专利申请行为，严重扰乱专利工作秩序,"当事人为专利代理机构，接受申请人委托代理 9 件非正常专利
申请","《专利代理条例》第二十五条第一款第（五）项，《专利代理
管理办法》第五十一条第一款（二）项",警告；罚款,警告；罚款人民币 9000 元,北京市知识产权局,2021-09-09,"当事人应当自收到处罚决定书之日起十五日内，到指定的银行
缴纳罚款"
5,北京科家知识产权代理事务所（普通合伙）疏于管理造成严重后果案,北京科家知识产权代理事务所（普通合伙）,911101080648883600,京知管罚字〔2021〕第 5 号,从事非正常专利申请行为，严重扰乱专利工作秩序,"当事人为专利代理机构，接受申请人委托代理 9 件非正常专利
申请","《专利代理条例》第二十五条第一款第（五）项，《专利代理
管理办法》第五十一条第一款（二）项",警告；罚款,警告；罚款人民币 9000 元,北京市知识产权局,2021-09-09,"当事人应当自收到处罚决定书之日起十五日内，到指定的银行
缴纳罚款"
6,北京汇捷知识产权代理事务所（普通合伙）疏于管理造成严重后果案,北京汇捷知识产权代理事务所（普通合伙）,91110106344401748K,京知管罚字〔2021〕第 6 号,从事非正常专利申请行为，严重扰乱专利工作秩序,"当事人为专利代理机构，接受申请人委托代理 1 件非正常专利
申请","《专利代理条例》第二十五条第一款第（五）项，《专利代理
管理办法》第五十一条第一款（二）项",警告,警告,北京市知识产权局,2021-09-09,已履行
7,北京化育知识产权代理有限公司疏于管理造成严重后果案, 北京化育知识产权代理有限公司,91110101MA01L9TK5A,京知管罚字〔2021〕第 7 号,《专利代理管理办法》第五十一条第（三）项,以不正当手段招揽业务,《专利代理条例》第二十五条第一款第（五）项,警告,警告,北京市知识产权局,2021-12-17,已履行
8,北京轻创知识产权代理有限公司疏于管理造成严重后果案,北京轻创知识产权代理有限公司,911101087967018482,京知管罚字〔2022〕第 1 号,从事非正常专利申请行为，严重扰乱专利工作秩序,"当事人为专利代理机构，接受申请人委托代理 12 件非正常专利
申请","《专利代理条例》第二十五条第一款第（五）项，《专利代理
管理办法》第五十一条第（二）项",警告；罚款,警告；罚款人民币 12000 元,北京市知识产权局,2022-01-06,"当事人应当自收到处罚决定书之日起十五日内，到指定的银行
缴纳罚款"
9,北京联瑞联丰知识产权代理事务所（普通合伙）疏于管理造成严重后果案,北京联瑞联丰知识产权代理事务所（普通合伙）,911101025960919506, 京知管罚字〔2022〕第 2 号, 从事非正常专利申请行为，严重扰乱专利工作秩序,"当事人为专利代理机构，接受申请人委托代理 21 件非正常专利
申请","《专利代理条例》第二十五条第一款第（五）项，《专利代理
管理办法》第五十一条第（二）项",警告；罚款, 警告；罚款人民币 21000 元,北京市知识产权局,2022-01-06,"当事人应当自收到处罚决定书之日起十五日内，到指定的银行
缴纳罚款"
10,北京四海龙知识产权代理有限公司擅自开展专利代理业务案,北京四海龙知识产权代理有限公司,91110102757741329W,京知管罚字〔2022〕第 3 号,《专利代理管理办法》第五十二条第（二）项,擅自开展专利代理业务,《专利代理条例》第二十七条,没收违法所得；罚款,没收违法所得人民币 9640.75 元；罚款人民币 9640.75 元,北京市知识产权局,2022-03-25,"当事人应当自收到处罚决定书之日起十五日内，到指定的银行
缴纳罚款"
