获奖年度,获奖奖种,获奖编号,获奖项目名称,项目完成单位
2024,"自然科学奖	","2024-Z05-2-03	","低品质振动摩擦电能量采集与性能调控研究	",北京纳米能源与系统研究所
2024,"自然科学奖	","2024-Z02-1-04	","认知启发的视觉计算理论与方法	",北京科技大学
2024,"自然科学奖	","2024-Z02-2-03	","基于学习的随机网络优化理论与算法	",清华大学
2024,"自然科学奖	","2024-Z04-1-02	","新冠病毒免疫逃逸机制与突变特征	",北京大学
2024,"科学技术进步奖(技术开发类)	","2024-J02-2-10	","工业级图学习系统开发及应用	",北京大学
2024,"科学技术进步奖(社会公益类)	","2024-J06-1-06	","人工心脏临床应用关键技术的建立及应用推广	",中国医学科学院阜外医院
2024,"科学技术进步奖(技术开发类)	","2024-J09-1-02	","百兆瓦级先进压缩空气储能技术研发与应用	",中国科学院工程热物理研究所
2024,"技术发明奖	","2024-F04-2-04	","复杂环境下列车位置安全检测关键技术及规模化应用	",北京全路通信信号研究设计院集团有限公司
2024,"技术发明奖	","2024-F01-2-05	","面向全域数据中心的光电混合互连关键技术及应用	",北京邮电大学
2024,"技术发明奖	","2024-F03-2-04	","航天器高性能长寿命特种阀门关键技术研究及应用	",北京卫星制造厂有限公司
2024,"科学技术进步奖(技术开发类)	","2024-J05-2-04	","大功率返波辐照加工系统关键技术与应用	",清华大学
2024,"科学技术进步奖(技术开发类)	","2024-J04-2-05	","安全可信的地理空间数据高效管理与智能服务关键技术及应用	",北京师范大学
2024,"自然科学奖	","2024-Z05-2-08	","机动车尾气高效脱硝分子筛催化剂构筑原则与可控制备的理论基础	",北京化工大学
2024,"自然科学奖	","2024-Z03-1-01	","基于三氟化硼基团的蛋白调控与核药物临床转化研究	",北京大学
2024,"科学技术进步奖(技术开发类)	","2024-J02-2-13	","面向复杂井况的电泵采油系统关键技术及规模化应用	",中国石油大学（北京）
2024,"技术发明奖	","2024-F04-2-01	","高分定量遥感空间辐射基准传递技术及应用	",中国科学院空天信息创新研究院
2024,"科学技术进步奖(技术开发类)	","2024-J06-1-02	","骨科手术机器人精准治疗技术体系建立、产业化及推广应用	",首都医科大学附属北京积水潭医院
2024,"科学技术进步奖(社会公益类)	","2024-J12-2-04	","蟠桃育种技术创新及系列品种选育与应用	",北京市农林科学院
2024,"自然科学奖	","2024-Z03-2-01	","环境友好荧光碳量子点的可控合成与发光器件应用研究	",北京师范大学
2024,"科学技术进步奖(技术开发类)	","2024-J01-1-01	","面向智能显示的先进氧化物半导体技术研究及产业化应用	",京东方科技集团股份有限公司
2024,"自然科学奖	","2024-Z01-2-07	","宽频超结构吸波机制与设计策略研究	",中国航天空气动力技术研究院
2024,"科学技术进步奖(社会公益类)	","2024-J09-2-03	","地热清洁供暖智慧化关键技术与应用	",中国科学院地质与地球物理研究所
2024,"技术发明奖	","2024-F06-1-01	","光量子矢量遥感数理基础与低空观测关键技术突破	",北京大学
2024,"技术发明奖	","2024-F01-2-06	","高容量基站超宽频多波束密集阵列天线关键技术及应用	",北京邮电大学
2024,"自然科学奖	","2024-Z04-2-07	","还原应激在肿瘤发生发展中的作用	",首都医科大学附属北京佑安医院
2024,"科学技术进步奖(技术开发类)	","2024-J11-2-03	","汽车底盘动力学域控与执行器设计关键技术及产业化应用	",清华大学
2024,"科学技术进步奖(社会公益类)	","2024-J06-2-10	","主动脉弓部疾病微创治疗技术体系的建立及国内外推广	",中国医学科学院阜外医院
2024,"技术发明奖	","2024-F05-2-02	","生殖系细胞与复杂组织仿生控冰冻存关键技术突破与应用	",北京大学第三医院
2024,"科学技术进步奖(技术开发类)	","2024-J09-2-08	","超大功率分布式高性能卫星供电系统关键技术与工程应用	",北京卫星制造厂有限公司
2024,"科学技术进步奖(技术开发类)	","2024-J02-2-06	","高性能自主可控多芯云关键技术及产业化	",北京太极信息系统技术有限公司
2024,"自然科学奖	","2024-Z04-2-02	","RNA甲基化表观转录组学新理论、新技术及新应用	",中国科学院北京基因组研究所（国家生物信息中心）
2024,"科学技术进步奖(社会公益类)	","2024-J06-1-01	","病毒性肺炎诊疗关键技术创建与推广应用	",中日友好医院
2024,"科学技术进步奖(技术开发类)	","2024-J05-1-01	","城市燃气管网设施爆炸致灾机理与立体化防控关键技术及应用	",北京理工大学
2024,"自然科学奖	","2024-Z04-1-04	","结核分枝杆菌免疫逃逸与致病机制	",中国科学院微生物研究所
2024,"科学技术进步奖(技术开发类)	","2024-J10-2-03	","远洋吹填珊瑚砂岛礁机场建造关键技术研究与应用	",北京城建集团有限责任公司
2024,"科学技术进步奖(社会公益类)	","2024-J06-1-04	","卒中脑损伤新机制与靶向低温救治新技术研发及推广应用	",首都医科大学宣武医院
2024,"科学技术进步奖(技术开发类)	","2024-J06-2-11	","基于乳腺癌多组学的智慧医疗平台的建立和应用	",中国医学科学院肿瘤医院
2024,"科学技术进步奖(技术开发类)	","2024-J09-2-06	","高压大容量柔性直流核心元器件研制及应用	",国网经济技术研究院有限公司
