项目单位名称,统一社会信用代码,更新时间
泰豪国际工程有限公司,91110302MA00CACM6F,18/5/2023 09:54:42
利兴凯（北京）能源系统技术有限公司,91110302680450995C,7/11/2018 14:57:01
潜能恒信能源技术股份有限公司,91110000756008969C,19/10/2020 14:33:54
潜能恒信能源技术股份有限公司,91110000756008969C,19/10/2020 14:35:31
潜能恒信能源技术股份有限公司,91110000756008969C,2/11/2023 10:28:24
潜能恒信能源技术股份有限公司,91110000756008969C,23/5/2019 09:43:43
北京能链众合科技有限责任公司,91110111MA007UJWXT,14/3/2018 17:22:51
中国能源投资有限公司,91110102101820921E,18/1/2018 17:02:13
北京开山国际清洁能源有限责任公司,91110108MA01H3CEXJ,11/4/2019 16:16:01
北京京能恒星能源科技有限公司,91110106329610904Y,27/6/2016 15:02:26
北京恩卡纳新能源科技有限公司,91110108MA01H5YG1J,7/5/2019 15:18:13
中合天成科技发展（北京）有限公司,91110107MA01E3A65Y,3/9/2019 10:30:35
中合天成科技发展（北京）有限公司,91110107MA01E3A65Y,14/10/2019 16:07:25
中合天成科技发展（北京）有限公司,91110107MA01E3A65Y,30/10/2019 11:19:56
北京京能清洁能源电力股份有限公司,91110000101718150E,28/2/2018 14:35:23
北京京能清洁能源电力股份有限公司,91110000101718150E,6/6/2018 14:00:41
北京京能清洁能源电力股份有限公司,91110000101718150E,28/7/2017 11:42:09
盛华源能源科技有限公司,91110108MA01H39E0P,28/4/2019 11:30:08
盛华源能源科技有限公司,91110108MA01H39E0P,8/4/2019 18:59:09
北京全四维动力科技有限公司,91110108758242935T,3/9/2018 16:00:29
北京全四维动力科技有限公司,91110108758242935T,18/4/2017 14:34:38
中油新兴能源产业集团股份公司,91110000733471782L,12/10/2023 11:18:16
中油新兴能源产业集团股份公司,91110000733471782L,21/10/2019 15:55:33
北京海亚投资集团有限公司,91110000740415332N,6/12/2019 14:50:23
北京中汇君达实业有限公司,9111010755487114XA,12/12/2019 10:29:16
北京环境卫生工程集团有限公司,9.111E+17,31/3/2017 15:16:16
北京环境卫生工程集团有限公司,9.111E+17,26/4/2017 15:52:52
上合发展投资基金有限公司,9.111E+17,6/5/2019 09:45:25
北京信和洁能新能源技术服务有限公司,91110105051427995L,18/9/2018 13:23:36
北京信和洁能新能源技术服务有限公司,91110105051427995L,7/2/2018 10:12:55
中材晶通新能源科技（北京）有限公司,91110115MA00FQW113,18/7/2019 15:43:32
中材晶通新能源科技（北京）有限公司,91110115MA00FQW113,17/12/2019 10:06:43
中国华电集团发电运营有限公司,9111000071093481XK,13/5/2016 14:44:06
北京市燃气集团有限责任公司,91110000795951626B,8/1/2018 15:03:46
北京市燃气集团有限责任公司,91110000795951626B,8/1/2018 15:03:45
北京华澳联合投资有限公司,9.11101E+17,11/6/2019 09:04:30
北京首驱科技有限公司,91110114MA00A7HL05,24/2/2018 14:21:55
北京同路石油工程技术服务有限公司,91110105071680736B,19/8/2019 10:40:04
北京同路石油工程技术服务有限公司,91110105071680736B,24/4/2019 09:53:11
新兴国能（北京）科贸有限公司,91110107330406505J,26/3/2020 14:56:19
新兴国能（北京）科贸有限公司,91110107330406505J,16/5/2022 10:24:10
新兴国能（北京）科贸有限公司,91110107330406505J,23/5/2022 16:11:05
新兴国能（北京）科贸有限公司,91110107330406505J,24/3/2021 10:29:49
