序号,单位名称,所属区,服务类别,统一社会信用代码
126,北京亦庄国际产业投资管理有限公司,经济技术开发区,综合咨询,91110302062801030J
63,方圆标志认证集团有限公司,海淀区,技术创新,91110108718701228R
44,中科合创（北京）科技推广中心,海淀区,技术创新,91110108691694100U
77,北京中认检测技术服务有限公司,经济技术开发区,技术创新,9111030274935437XP
103,北京奇虎科技有限公司,朝阳区,数字化应用,911101026662879416
118,用友网络科技股份有限公司,海淀区,数字化应用,91110000600001760P
82,北京双高未来科技服务有限公司,昌平区,人力资源,91110114MA01FR3U81
107,中智薪税技术服务有限公司,朝阳区,数字化应用,911101057951199879
53,中知在线（北京）知识产权运营有限公司,东城区,技术创新,91110108MA01Q05R23
13,北京恒兴嘉业科技孵化器有限公司,海淀区,创业辅导,91110108562098062L
73,北京合享智泉科技有限公司,海淀区,技术创新,91110108MA00GQNR2G
149,北京哈工汇宇科技有限公司,顺义区,综合咨询,91110108MA019WB39A
162,北京东港瑞宏科技有限公司,经济技术开发区,综合咨询,91110302397824461U
86,北京中关村科技融资担保有限公司,海淀区,融资促进,911101087002397338
120,北京洪泰盛世科技有限公司,经济技术开发区,综合咨询,91110302MA007HP19E
78,建研院检测中心有限公司,平谷区,技术创新,91110105MA04BT528H
100,北京能科瑞元数字技术有限公司,房山区,数字化应用,91110111335459307H
34,北京鲲鹏联合创新中心有限公司,朝阳区,技术创新,91110105MA01N6JM03
121,北京华财会计股份有限公司,西城区,综合咨询,91110102763515459F
83,北京真之聘创服管理咨询有限公司,丰台区,人力资源,91110105MA0071FN1B
25,北京朗搏校准检测有限公司,通州区,技术创新,91110112357925698N
15,北京润泽园教育科技（集团）有限公司,朝阳区,创业辅导,91110113MA01RWGC2D
96,北京神州绿盟科技有限公司,海淀区,数字化应用,911101087501347453
11,北京赢家伟业科技孵化器股份有限公司,海淀区,创业辅导,9111010866219043X0
68,中冶检测认证有限公司,海淀区,技术创新,91110108074191225T
60,北京中安质环认证中心有限公司,朝阳区,技术创新,91110105802107782E
31,中国国检测试控股集团股份有限公司,朝阳区,技术创新,91110000101123421K
26,北京梦知网科技有限公司,昌平区,技术创新,91110105318281981A
47,北京亿赛通科技发展有限责任公司,海淀区,技术创新,91110108746729965F
104,北京掌上先机网络科技有限公司,昌平区,数字化应用,91110114589114325P
146,悟空财税服务（北京）有限公司,朝阳区,综合咨询,91110105MA018N5P0J
12,燕园校友投资管理有限公司,海淀区,创业辅导,911101083067253119
88,北京首创融资担保有限公司,西城区,融资促进,911100006336945323
105,超云数字技术集团有限公司,经济技术开发区,数字化应用,91110302565820110R
75,北京神州泰科科技有限公司,海淀区,技术创新,91110108MA0023CK6R
135,北京东方嘉诚文化产业发展有限公司,东城区,综合咨询,91110101593885608H
157,北京中关村领创金融信息服务有限公司,海淀区,综合咨询,91110108697652059Y
155,北京盛世泰伯网络技术有限公司,海淀区,综合咨询,91110108680463817E
71,北京国家新能源汽车技术创新中心有限公司,经济技术开发区,技术创新,91110302MA0191990R
122,北京德钧科技服务有限公司,海淀区,综合咨询,91110108569527747L
175,中岚兴业（北京）国际企业管理服务集团有限公司,房山区,综合咨询,91110111MA01FD3Y2F
72,北京国医械华光认证有限公司,东城区,技术创新,91110101YA3501111U
1,黑钻石（北京）文化传媒股份有限公司,丰台区,创业辅导,9111010607852826XU
16,北京八月瓜科技有限公司,丰台区,技术创新,91110106355302198K
33,北京国标联合认证有限公司,朝阳区,技术创新,91110105327128532Y
129,国科恒泰（北京）医疗科技股份有限公司,经济技术开发区,综合咨询,91110302062833606R
142,北京万泽源商务服务有限公司,朝阳区,综合咨询,911101053304118223
152,北京慧财税智能科技有限公司,海淀区,综合咨询,91110102MA00BRCB7J
108,北京清博智能科技有限公司,海淀区,数字化应用,91110108318259311Y
171,神州英才企业管理顾问（北京）股份有限公司,东城区,综合咨询,91110101571293812L
125,北京亿欧网盟科技有限公司,朝阳区,综合咨询,91110105099445789F
65,华测检测认证集团北京有限公司,经济技术开发区,技术创新,911103026621818401
145,北京长风信息技术产业联盟,海淀区,综合咨询,51110000500316597H
109,北京与车行信息技术有限公司,朝阳区,数字化应用,911101053064763518
6,萃智指南者教育科技（北京）有限公司,朝阳区,创业辅导,91110105339855876J
89,北京中金浩资产评估有限责任公司,东城区,融资促进,91110101793403546R
166,北京天意世纪企业管理有限公司,怀柔区,综合咨询,911101163271546343
170,北京中关村高新技术企业协会,海淀区,综合咨询,51110000500301969F
173,中关村产业技术联盟联合会,海淀区,综合咨询,51110000500318357G
151,北京华夏泰科咨询有限公司,丰台区,综合咨询,91110108589084138L
154,北京启悦科技咨询有限公司,海淀区,综合咨询,91110108767538826E
45,北京建筑材料检验研究院股份有限公司,石景山区,技术创新,91110107795114924J
36,北京数码大方科技股份有限公司,海淀区,技术创新,91110108746115322U
56,北京诚益通科技有限公司,大兴区,技术创新,91110115565760314E
124,北京骏一投资管理有限公司,海淀区,综合咨询,911101087886083016
35,北京秒信科技有限公司,海淀区,技术创新,91110108MA00BF3313
97,数据堂（北京）科技股份有限公司,海淀区,数字化应用,91110108560358422K
18,北京知识产权运营管理有限公司,海淀区,技术创新,91110000306506813M
98,百望股份有限公司,海淀区,数字化应用,91110108339805094M
30,远东正大检验集团有限公司,经济技术开发区,技术创新,91110000758215056J
80,中关村硬创空间集团有限公司,海淀区,技术创新,911101083183131549
128,北京中科磐石科技有限公司,海淀区,综合咨询,91110108348345667U
3,北京市创富春天商务服务有限公司,朝阳区,创业辅导,91110105694969093L
4,北京永乐颐康文化产业发展有限公司,丰台区,创业辅导,9111010608967385XA
136,北京联东物业管理股份有限公司,经济技术开发区,综合咨询,91110112799957259N
10,易丰收企业管理（北京）有限公司,通州区,创业辅导,91110112MA009M1L47
27,北京热云科技有限公司,石景山区,技术创新,911101070828536045
58,北京聚睿众邦科技有限公司,海淀区,技术创新,91110108MA0052NKXR
115,北京神州光大科技有限公司,经济技术开发区,数字化应用,911101088011836441
8,创业黑马科技集团股份有限公司,朝阳区,创业辅导,91110105585848161G
93,北京中关村软件园发展有限责任公司,海淀区,数字化应用,911101087226133785
69,北京诚天检测技术服务有限公司,经济技术开发区,技术创新,91110302MA01GHX95L
111,北京中网易企秀科技有限公司,海淀区,数字化应用,911101083512756475
131,合力众包（北京）创业投资管理有限公司,经济技术开发区,综合咨询,9111030268120071XD
84,北京思想天下教育科技有限公司,怀柔区,人力资源,91110116074183436K
38,北京星河智源科技有限公司,海淀区,技术创新,91110108339844560A
29,谱尼测试集团股份有限公司,海淀区,技术创新,91110108740053589U
138,北京培宏望志科技有限公司,经济技术开发区,综合咨询,91110302554899695W
62,北京中科基因技术股份有限公司,大兴区,技术创新,91110115MA0051GP38
91,北京国富泰信用管理有限公司,经济技术开发区,融资促进,9111000072261942X9
106,中科天玑数据科技股份有限公司,海淀区,数字化应用,911101086996126161
28,北京泰瑞特检测技术服务有限责任公司,朝阳区,技术创新,91110105799012802F
32,安诺优达基因科技（北京）有限公司,经济技术开发区,技术创新,9111030259606926X6
137,北京明漫克斯科技有限公司,经济技术开发区,综合咨询,91110302599658000X
94,畅捷通信息技术股份有限公司,海淀区,数字化应用,911100005531410225
81,中家院（北京）检测认证有限公司,经济技术开发区,技术创新,911103023271690276
55,北京柏瑞安电子技术有限公司,经济技术开发区,技术创新,911103027855044865
164,北京市朝阳区进出口企业协会,朝阳区,综合咨询,511101055006110007
161,七六一工场（北京）科技发展有限公司,西城区,综合咨询,91110102MA019K1G97
87,中关村科技租赁股份有限公司,朝阳区,融资促进,91110000057334159N
102,北京中睿天下信息技术有限公司,海淀区,数字化应用,91110108397109409D
19,北京尊冠科技有限公司,海淀区,技术创新,91110108733477703K
74,北京精益捷检测科技有限公司,密云区,技术创新,91110228318293472M
101,北京致远互联软件股份有限公司,海淀区,数字化应用,91110108737656338N
150,北京黑马企服科技有限公司,怀柔区,综合咨询,91110116MA01WYN791
46,北京三聚阳光知识产权代理有限公司,海淀区,技术创新,911101087214238718
119,北京股权交易中心有限公司,海淀区,综合咨询,91110000318225373E
133,一铭寰宇科技（北京）有限公司,朝阳区,综合咨询,911101053579375418
66,中纺标检验认证股份有限公司,朝阳区,技术创新,91110105767534729R
159,北京赛西科技发展有限责任公司,经济技术开发区,综合咨询,91110302678204402X
140,北京软件和信息服务业协会,海淀区,综合咨询,51110000500304289F
50,华智众创（北京）投资管理有限责任公司,昌平区,技术创新,91110108MA0021B86A
40,北京中科卓信软件测评技术中心,海淀区,技术创新,911101085674713568
57,北京国建联信认证中心有限公司,海淀区,技术创新,911101087552684784
90,金网络（北京）数字科技有限公司,经济技术开发区,融资促进,91110302MA0020T882
61,北京中关村水木医疗科技有限公司,经济技术开发区,技术创新,91110114MA0187JK5C
85,北京银行股份有限公司中关村分行（北京银行中关村小巨人创客中心）,海淀区,融资促进,91110108686914738G
52,中恒达（北京）软件测评科技有限公司,朝阳区,技术创新,91110105MA004J8P6P
165,北京市朝阳区企业联合会,朝阳区,综合咨询,51110105500611262Y
14,北京明德蓝鹰投资咨询有限公司,西城区,创业辅导,91110108085461462R
116,北京升鑫网络科技有限公司,经济技术开发区,数字化应用,91110108078573028T
92,朴道征信有限公司,朝阳区,融资促进,91110105MA01YFE547
43,航天云网科技发展有限责任公司,石景山区,技术创新,91110000344230942B
147,中孵高科产业孵化（北京）有限公司,经济技术开发区,综合咨询,91110302778600752W
5,北京中关村创业大街科技服务有限公司,海淀区,创业辅导,91110108MA00C5E728
39,北京亦庄国际生物医药科技有限公司,经济技术开发区,技术创新,911103020741374482
59,北京赛赋医药研究院有限公司,经济技术开发区,技术创新,91110302MA0066E64R
79,索真（北京）医学科技有限公司,经济技术开发区,技术创新,91110302MA0076LM56
