序号,单位名称,所属区,统一社会信用代码
15,北京昌科互联商业运营管理有限公司,昌平区,91110114MA00B7823G
26,华夏幸福创新（北京）企业管理有限公司,丰台区,91110106MA007JWF3D
104,北京卓越天和运营管理有限公司,通州区,91110112MA01UM079H
105,锋创科技发展（北京）有限公司,经济技术开发区,91110302674252909F
60,北京高技术创业服务中心有限公司,朝阳区,91110000MA01K8N806
31,北京航星机器制造有限公司,东城区,91110101101213195L
88,北京国锐房地产开发有限公司,经济技术开发区,91110302802948135A
68,北京维鲸科技有限公司,经济技术开发区,91110106098524354A
25,北京亦庄京芯园投资发展有限公司,经济技术开发区,91110302553139045Y
11,北京正开科技有限公司,大兴区,91110115355284209X
47,北京星光拓诚文化产业集团有限公司,大兴区,91110115756020001W
96,北京首钢建设投资有限公司,石景山区,91110000556827660M
12,鼎石天元投资（北京）有限公司,大兴区,91110000563671908Y
44,北京市长城伟业投资开发有限公司,怀柔区,91110116102589311J
13,中咨合创（北京）科技孵化器有限公司,昌平区,91110114MA004EY540
103,北京中关村通力科技服务有限责任公司,石景山区,91110107MA04GH2661
63,北京瀚海智业国际科技发展有限公司,朝阳区,91110105MA01CHK23G
82,大族环球科技股份有限公司,经济技术开发区,91110302669904781A
77,北京通明湖信息城发展有限公司,经济技术开发区,91110302579071157P
53,和空间创新发展（北京）科技有限公司,丰台区,91110106MA01DN5707
107,中关村创客小镇（北京）科技有限公司,海淀区,91110108MA001BH35L
71,北京中农大创新研修学院,海淀区,52110000H52627976M
1,北京北控宏创科技有限公司,昌平区,911100006750526181
75,北京华海基业科技孵化器有限公司,石景山区,91110107748823824P
72,亦创高科（北京）科技有限公司,经济技术开发区,91110302MA0194CQ7M
73,中东创新科技集团有限公司,丰台区,91110106MA008CQB9H
86,北京东升科技企业加速器有限公司,海淀区,91110108554858041F
34,北京华电天德科技园有限公司,昌平区,91110114798509091T
100,北京易亨创业科技服务有限公司,海淀区,91110108MA00E35L5W
78,北京新生巢生物医药科技产业运营有限公司,昌平区,91110114MA01N7301K
83,汇龙森国际企业孵化（北京）有限公司,经济技术开发区,911103027376501044
64,北京华卫天和生物科技有限公司,大兴区,91110115569477559Q
2,北京德山科技有限公司,门头沟区,91110109769373068U
20,北京鹍鹏科创科技发展有限公司,海淀区,91110108MA00CWE17P
42,北京人大文化科技园建设发展有限公司,海淀区,91110108758209377N
32,北京恒华嘉辉科技有限公司,经济技术开发区,911103025674570792
55,北京北大科技园建设开发有限公司,海淀区,91110108722614477Y
87,北京富丰实业发展有限公司,丰台区,911101061021754938
94,北京利德衡环保工程有限公司,门头沟区,9111010910236944X9
81,北京中关村国际孵化器有限公司,海淀区,91110108722617942E
70,北京中关村前沿技术产业发展有限公司,房山区,91110111MA002M120K
37,北京京仪科技孵化器有限公司,海淀区,91110108633710272N
7,北京市群英印刷有限公司,大兴区,91110115633782583L
99,北京亦庄盛元投资开发集团有限公司,经济技术开发区,91110302096768056L
95,北京尚科海联科技发展有限公司,海淀区,91110108MA01JWQ63A
23,北京首科创融科技孵化器有限公司,丰台区,91110106MA00D17J0K
48,北京亦庄国际生物医药投资管理有限公司,经济技术开发区,91110302556822798F
17,北京景大空间科技有限公司,昌平区,91110114MA01A56395
9,北京斯坦福科技孵化器有限公司,丰台区,911101063304092398
65,北京京辰瑞达科技孵化中心,丰台区,91110106074176770L
6,北京普天电子城科技孵化器有限公司,朝阳区,9111010559770523X1
89,北京浩华宫置业（集团）有限公司,朝阳区,911101051018516997
16,北京集智未来人工智能产业创新基地有限公司,海淀区,91110108735557416C
33,北京宏福科技孵化器股份有限公司,昌平区,911101140716618771
108,中国印刷科学技术研究院有限公司,海淀区,91110000400007033T
109,中检万邦（北京）科技创新服务有限公司,顺义区,91110113MA01A57P5L
84,京卫惟科生物科技孵化（北京）有限公司,丰台区,91110106076617365E
106,水木兴创（北京）科技发展有限公司,大兴区,91110115MA01WAGG2K
58,北京大华无线电仪器有限责任公司,海淀区,91110108101102428B
29,北京北航天汇科技孵化器有限公司,海淀区,91110108700219732M
8,北京首冶新元科技发展有限公司,昌平区,91110114801651575E
91,北京华商置业有限公司,大兴区,91110115735139994K
27,北京奥宇科技企业孵化器有限责任公司,大兴区,91110115739389173M
38,北京理工创新高科技孵化器有限公司,海淀区,91110108802010665X
28,北京八达岭工发新能源科技企业孵化器有限公司,延庆区,911100006932359954
93,北京京仪融科科技孵化器有限公司,西城区,91110102400777572J
69,北京亦庄城市服务集团股份有限公司,经济技术开发区,91110302783204949J
62,北京海聚博源科技孵化器有限公司,房山区,911101113483782669
101,北京易华录信息技术股份有限公司,石景山区,91110000802085421K
74,北京昌发展产业运营管理股份有限公司,昌平区,91110114MA0065TJ32
46,北京天作顺城科技发展有限公司,顺义区,91110113MA006U6Q24
19,北京科创空间投资发展有限公司,朝阳区,91110105MA001W2375
102,北京中关村集成电路设计园发展有限责任公司,海淀区,91110108330373248B
66,北京京东方空间数智科技服务有限公司,朝阳区,91110105768478554H
