2021年度常态化环境核酸检测拟奖励企业名单,
序号,申报主体
1,北京京东世纪贸易有限公司
2,北京天骥智谷资产经营管理有限公司
3,北京博大经开建设有限公司
4,北京嘉捷企业汇物业服务有限公司
5,北京人福医疗器械有限公司
6,大族环球科技股份有限公司
7,北京亦庄城市服务集团有限公司工业企业物业管理分公司
8,北京新洁环卫服务有限公司
9,中冶京诚工程技术有限公司
10,北京北汽延锋汽车部件有限公司
11,北京延锋北汽汽车内饰件有限公司
12,北京泰德制药股份有限公司
13,北京科创慧谷商务发展有限公司
14,北京中都星徽物流有限公司
15,北京北汽李尔汽车系统有限公司
16,博世力士乐（北京）液压有限公司
17,京珠盛世服饰有限公司
18,北京三元食品股份有限公司
19,北京亦庄国际投资发展有限公司
20,北京北人印刷设备有限公司
21,森特士兴集团股份有限公司
22,北京浦丹光电股份有限公司
23,北京亦庄国际生物试剂物流中心有限公司
24,北京市建华实验亦庄学校
25,SMC（中国）有限公司
26,北京亦庄盛元投资开发集团有限公司
27,北京博大开拓热力有限公司
28,北京瑞赛长城航空测控技术有限公司
29,依博罗阀门（北京）有限公司
30,北京尚志惠民保洁服务中心
31,北京天筑博诚物业管理有限公司
32,中体彩印务技术有限公司
33,伊马莱富（北京）制药系统有限公司
34,北京百普赛斯生物科技股份有限公司
35,北京世纪帕克科技有限公司
36,北京京阳腾微科技发展有限公司
37,住化华北电子材料科技（北京）有限公司
38,北京亦庄国际服务贸易有限公司
39,游娱汇（北京）科技文化发展有限公司
40,北京北燃港华燃气有限公司
41,北京博电新力电气股份有限公司
42,北京亦庄公交有轨电车有限责任公司
43,北京市大兴区亦庄第四幼儿园
44,北京市大兴区亦庄镇中心幼儿园
45,北京市大兴区亦庄镇第二中心小学
46,北京市大兴区新世纪幼儿园
47,北京屹唐半导体科技股份有限公司
48,北京京东方光电科技有限公司
49,北京通泰餐饮有限责任公司
50,北京德尔福万源发动机管理系统有限公司
51,北京兆维自服装备技术有限公司
52,北京京东方显示技术有限公司
53,富智康精密组件（北京）有限公司
54,北京市大兴区慧才苑林肯公园社区实验幼儿园
55,北京市大兴区春蕾幼儿园
56,海斯坦普汽车组件（北京）有限公司
57,北京博富瑞医学检验实验室有限公司
58,北京东进世美肯科技有限公司
59,北京华联印刷有限公司
60,北京燕东微电子科技有限公司
61,北京市大兴区爱壹家老年护养院
62,北京信泽四海科技发展有限公司
63,国药物流有限责任公司
64,北京碧水源博大水务科技有限公司
65,新华浩然（北京）物业管理有限公司
66,北京伊诺尔印务有限公司
67,嘉宝（北京）投资管理有限公司
68,北京宏达日新电机有限公司
69,北京盛世华人供应链管理有限公司
70,心诺普医疗技术（北京）有限公司
71,诺兰特移动通信配件（北京）有限公司
72,北京国盛兴业投资有限公司
73,北京大料国际影院有限责任公司
74,北京锦江富园大酒店有限公司
75,北京亦庄国际生物医药投资管理有限公司
76,安川首钢机器人有限公司
77,北京京车双洋轨道交通牵引设备有限公司
78,北京京运通科技股份有限公司
79,北京市大兴区大地双语幼儿园
80,北京亦庄环境科技集团有限公司
81,美巢集团股份公司
82,北京睿智航显示科技有限公司
83,北京经济技术开发区四海幼儿园
84,北京航天和兴科技股份有限公司
85,北京市大兴区亦庄镇第一中心小学
86,北京佳宸弘生物技术有限公司
87,康宝智信测量技术（北京）有限公司
88,瀚德（中国）汽车密封系统有限公司
89,海贝彼欧汽车零部件（北京）有限公司
90,北京大族天成半导体技术有限公司
91,北京柏瑞安电子技术有限公司
92,西屋运输系统有限公司
93,北京市大兴区东方蒙特梭利亦城幼儿园
94,北京市大兴区亦庄第五幼儿园
95,北京日伸电子精密部件有限公司
96,北京京远物流股份有限公司
97,北京豪骏行汽车销售服务有限公司
98,北京岛津医疗器械有限公司
99,北京市大兴区瀛海镇第二中心幼儿园
