北京市平谷区建筑业企业资质审批结果信息,,,,,,,,,,
序号,行政所属,企业名称,申报事项,申报序列名称,是否通过,决定时间,,,,
1,平谷区住房和城乡建设委员会,北京丰烨建筑工程有限公司,建筑业企业首次申请资质,0014231214010582,是,2024-01-09,,,,
2,平谷区住房和城乡建设委员会,北京屹德迅智能科技有限公司,建筑业企业首次申请资质,0014231206012732,是,2024-01-09,,,,
3,平谷区住房和城乡建设委员会,国杉建投（北京）建设有限公司,建筑业企业首次申请资质,0014231215009345,是,2024-01-09,,,,
4,平谷区住房和城乡建设委员会,北京众和建设工程有限公司,建筑业企业首次申请资质,0014231212007159,是,2024-01-17,,,,
5,平谷区住房和城乡建设委员会,北京金泰元建设工程有限公司,建筑业企业首次申请资质,0014240204001266 ,是,2024-03-13,,,,
6,平谷区住房和城乡建设委员会,国筑海华（北京）工程有限公司,建筑业企业首次申请资质,0014240221000646 ,是,2024-03-13,,,,
7,平谷区住房和城乡建设委员会,金汇海浩(北京)建设工程有限公司,建筑业企业首次申请资质, 0014240219005389,是,2024-03-13,,,,
8,平谷区住房和城乡建设委员会,北京中成锦盛建筑工程有限公司,建筑业企业首次申请资质,0014240201001410 ,是,2024-03-13,,,,
9,平谷区住房和城乡建设委员会,北京瑞兆祥胜建筑工程有限公司,建筑业企业首次申请资质,0014240223004068 ,是,2024-03-13,,,,
10,平谷区住房和城乡建设委员会, 中电联合建设有限公司,建筑业企业首次申请资质,0014240126004071,是,2024-03-13,,,,
11,平谷区住房和城乡建设委员会,北京鑫艺豪建筑工程有限公司,建筑业企业首次申请资质,0014240131000017,是,2024-03-13,,,,
12,平谷区住房和城乡建设委员会,北京志琰建筑工程有限公司,建筑业企业首次申请资质,0014240219005301,是,2024-03-13,,,,
13,平谷区住房和城乡建设委员会,北京宏途昌盛建筑工程有限公司,建筑业企业首次申请资质,0014240219003129 ,是,2024-03-13,,,,
14,平谷区住房和城乡建设委员会,聚远赛宏（北京）建筑工程有限公司,建筑业企业首次申请资质,0014240129002678 ,是,2024-03-13,,,,
15,平谷区住房和城乡建设委员会,锦仁建业（北京）建筑工程有限公司,建筑业企业首次申请资质,0014240129002005 ,是,2024-03-13,,,,
16,平谷区住房和城乡建设委员会,北京中业鑫峰建筑工程有限公司,建筑业企业首次申请资质,0014240131003694,是,2024-03-13,,,,
17,平谷区住房和城乡建设委员会,北京友诚国际装饰装修有限公司,建筑业企业首次申请资质,0014240124005452,是,2024-03-13,,,,
18,平谷区住房和城乡建设委员会,北京科宇盛业幕墙装饰工程有限公司,建筑业企业首次申请资质,0014240129001655,是,2024-03-13,,,,
19,平谷区住房和城乡建设委员会,中桦盛泰(北京)建设有限公司,建筑业企业首次申请资质,0014240129000014,是,2024-03-13,,,,
20,平谷区住房和城乡建设委员会,北京乐嘉佳建设工程有限公司,建筑业企业首次申请资质,0014240312004854,是,2024-04-02,,,,
21,平谷区住房和城乡建设委员会,中海国筑（北京）建设有限公司,建筑业企业首次申请资质,0014240314008580,是,2024-04-02,,,,
