托育机构备案信息公开表,,,,,
序号,机构名称,机构住所,机构性质,备案状态,备注
1,北京启心托育服务有限公司,北京市平谷区马坊镇金河北街惠民家园5号-3,营利,已通过,
2,北京艺童托育服务有限公司,北京市平谷区建设西街17号1幢1-2层,营利,已通过,
3,北京育明托育有限公司,泃河西路临10号,营利,已通过,
4,北京星宸托育服务有限公司,平谷区马坊镇打铁庄村民委员会-西南门,营利,已通过,
5,北京育蕾幼儿园平谷有限公司,北京市平谷区平谷镇旧城东街10号,营利,已注销,
6,北京暖苑乐托教育咨询有限公司,北京市平谷区王辛庄镇贾各庄南街2号,,已通过,
,,,营利,,
,,,,,
7,北京米多多托育服务有限公司,北京市平谷区平谷镇赵各庄东斜路6号,,已通过,
,,,营利,,
,,,,,
8,天铖（北京）教育科技有限公司,北京市平谷区新平西路7号10,,已通过,
,,,营利,,
,,,,,
9,北京多多宝贝托育服务有限公司,北京市平谷区太安街167号二层,,已通过,
,,,营利,,
,,,,,
10,北京宏远启航托育服务有限公司,北京市平谷区谷峰东路12-29,,已通过,
,,,营利,,
,,,,,
11,北京卓跃宝贝托育有限公司,平谷镇兴谷路14号院1号楼1层101,,已通过,
,,,营利,,
,,,,,
12,北京喜洋洋托育服务有限公司,北京市平谷区峪口镇峪口村峪才路54号,营利,已通过,
,,,,,
13,北京博鸿托育有限公司,平谷区谷丰路26号1幢1层,营利,已通过,
14,北京安安之家托育服务有限公司,北京市平谷区平谷镇和平街北门街53号,营利,已通过,
,,,,,
15,北京亿斯教育科技有限公司,北京市平谷区平翔路1号院西楼1号,营利,已通过,
,,,,,
16,北京心心爱童科技有限公司,北京市平谷区平谷大街24号楼1至2层,营利,已通过,
,,,,,
17,北京鑫馨教育咨询有限公司,北京市平谷区太和东园北街一号北楼2-3层,营利,已通过,
,,,,,
18,北京阅谷浮生休闲文化有限公司,北京市平谷区兴谷街道贾各庄南街6号院,营利,已通过,
19,北京蓓蕾托育有限公司,北京市平谷区平谷镇乐园西小区乙17号1号楼1-5层,营利,已通过,
,,,,,
20,北京明一托育有限公司,北京市平谷区平谷镇民迎路6号2号楼2-1（二层）,营利,已通过,
21,北京睿思宝贝教育咨询有限公司,北京市平谷区迎宾街1号院19号楼一层103,营利,已通过,
22,北京蓝橡树托育有限公司,北京市平谷区谷丰路98号,,已通过,
,,,营利,,
,,,,,
