平谷城管执法局检查单公示（2021年第一季度）,,,,,,,,,,,,,,
区,检查单类型,检查时间,检查单号,检查对象类型,检查对象名称,责任主体单位性质,责任主体类别,责任主体名称,统一社会信用代码,检查对象地址,检查分类,检查结论,检查人,被检查人
平谷区,16.燃气设施保护（新修订）,2021-03-19 09:40,京平城管016检2021010001,临时;施工现场,北京圃美多绿色食品有限公司工业厂房及附属设施工程项目（三期车间）,施工单位,法人,河北建设集团股份有限公司,911306007006711044,平谷区兴谷经济开发区9号区,专项检查,合格,"方志广,任春芳",
平谷区,1.第三方外力危害破坏石油天然气管道安全,2021-03-16 15:00,京平城管001检2021010002,,,,,,,,专项检查,合格,"方志广,孙宇梅",
平谷区,2.石油天然气管道企业,2021-03-16 14:30,京平城管002检2021010001,企业;公司,中石油北京天然气管道有限公司,本单位,法人,中石油北京天然气管道有限公司,911100001011299382,平谷区刘家店乡,专项检查,合格,"方志广,孙宇梅",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:45,京平城管024检2021730075,购物;便利店,北京比途生鲜超市,本单位,个体工商户,北京比途生鲜商店,92110117MA00X7ET2U,中国北京市平谷区大华山镇大华山大街116号,日常检查,合格,"王菲,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:43,京平城管024检2021730074,其他;其他,北京惠千万家商贸中心,本单位,个体工商户,北京惠千万家商贸中心,92110117MA01M1N31P,北京市平谷区大华山镇大华山大街118号,日常检查,合格,"王菲,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:30,京平城管024检2021730073,餐饮;餐馆,北京田三姐餐厅,本单位,个体工商户,北京田三姐餐厅,92110117MA01RY4K75,中国北京市平谷区大华山大街122号,日常检查,合格,"王菲,张新涛,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:30,京平城管024检2021730072,餐饮;餐馆,北京田三姐餐厅,本单位,个体工商户,北京田三姐餐厅,92110117MA01RY4K75,中国北京市平谷区大华山大街122号,日常检查,合格,"王菲,张新涛,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:15,京平城管024检2021730071,其他;其他,北京金旺顺发农资经销部,本单位,个体工商户,北京金旺顺发农资经销部,92110117MA00W51X1U,北京市平谷区大华山镇后北宫村后北宫路260号,日常检查,合格,"王菲,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:15,京平城管024检2021730070,其他;其他,北京金旺顺发农资经销部,本单位,个体工商户,北京金旺顺发农资经销部,92110117MA00W51X1U,北京市平谷区大华山镇后北宫村后北宫路260号,日常检查,合格,"王菲,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:18,京平城管024检2021730069,购物;其他,北京安来有农资门市部,本单位,个体工商户,北京安来有农资门市部,92110117MA0124AP8G,中国北京市平谷区刘家店镇胡家店东街8号,日常检查,合格,"张新涛,张红双",
