2023年认定专精特新中小企业名单,,
序号,社会统一信用代码,企业名称
1,911102291030310887,北京市交大路通科技有限公司
2,91110229MA01Q8JR3C,国信安行（北京）科技有限公司
3,911102296691166701,中农绿康（北京）生物技术有限公司
4,91110105MA01AJ805X,亿利生态大数据有限公司
5,91110229MA008X369F,国创智能设备制造股份有限公司
6,91110229099829651K,北京铠钺防护科技有限公司
7,911102297226820749,北京楚翔飞科技开发有限责任公司
8,911102295891020338,北京江河海源科技发展有限公司
9,911101053181117715,杰诺医学研究（北京）有限公司
10,911102297577348821,北京天立成信机械电子设备有限公司
11,9111022909890391XQ,北京龙庆首创水务有限责任公司
12,911102290971039104,北京广嘉自动化系统有限公司
13,913701037774088303,海岱生态建设有限公司
