延庆区2023年度施工许可证信息,,,,,,,,
序号,工程名称,施工许可证号,工程所在区,建设单位,工程规模,发证日期,建设地址,施工单位
1,延庆永宁站改扩建工程（延庆永宁站改扩建工程）,[2023]施[延]市政字0054号,延庆区,北京燃气延庆有限公司,623.010平方米,2023/12/29 ,延庆区永宁镇,北京天兴燃气工程有限公司
2,2号楼工业生产厂房（数字化脉动生产厂房），3号楼工业生产厂房（数字化柔性生产厂房），物料暂存间,[2023]施[延]建字0053号,延庆区,航天时代飞鸿技术有限公司,22553.690平方米,2023/12/29 ,延庆区康庄镇YQ02-0102-6030-1、YQ02-0102-6030-2地块,中航天建设工程集团有限公司
3,S1-S4、S5-S7、S8-S10、S15-S16、S17-S21养老服务设施及地下部分,[2023]施[延]建字0052号,延庆区,北京市延庆区八达岭镇营城子村经济合作社,60718.760平方米,2023/12/27 ,延庆区八达岭镇营城子村,北京中成宏宇建设工程有限公司
4,3#养老服务设施~9#养老服务设施、垃圾中转站,[2023]施[延]建字0051号,延庆区,北京市延庆区八达岭镇营城子村经济合作社,51301.030平方米,2023/12/27 ,延庆区八达岭镇营城子村,北京中成宏宇建设工程有限公司
5,1#养老服务设施、2#养老服务设施、配套服务中心A座、配套服务中心B座、S11-S14养老服务设施、S22-S23养老服务设施,[2023]施[延]建字0050号,延庆区,北京市延庆区八达岭镇营城子村经济合作社,54099.100平方米,2023/12/27 ,延庆区八达岭镇营城子村,北京中成宏宇建设工程有限公司
6,延庆区环卫车辆综合管理中心项目(延庆区环卫车辆综合管理中心项目),[2023]施[延]市政字0049号,延庆区,北京市延庆区城市管理委员会,14515.870平方米,2023/12/19 ,延庆区新城08街区,中铁建设集团有限公司
7,延庆区YQ00-0408街区司家营村南地块公租房项目（1#公租房等14项）,[2023]施[延]建字0048号,延庆区,北京市燕北保障性住房建设投资有限公司,91272.000平方米,2023/11/28 ,延庆区延庆镇司家营村南地块,北京城建建设工程有限公司
8,延庆区康庄镇汇通路(曹营路-兴隆街)道路与市政工程(汇通路(曹营路-兴隆街)道路与市政工程(四水、燃气、热力管线)),[2023]施[延]市政字0047号,延庆区,北京市延庆区康庄镇人民政府,9666.51米,2023/11/20 ,由延庆区康庄镇兴隆街经延庆区到延庆区康庄镇康野路,北京市政建设集团有限责任公司
9,北京图精图像数据分析处理赋能云平台项目(1号数据中心等4项),[2023]施[延]建字0046号,延庆区,北京图精科技有限公司,51286.520平方米,2023/11/10 ,北京市延庆区康庄镇,中建三局集团有限公司
10,1号工作室-3号工作室、1号民宿-6号民宿、配套用房、游客中心,[2023]施[延]建字0045号,延庆区,北京市延庆区井庄镇碓臼石村经济合作社,5006.800平方米,2023/10/24 ,延庆区井庄镇碓臼石村,江苏金坛建总建设工程有限公司
11,北京市延庆区南辛堡村、民主村、百眼泉村棚户区改造项目YQ00-0309-0007地块R2二类居住用地项目（1#住宅楼等15项）,[2023]施[延]建字0044号,延庆区,北京住总房地产开发有限责任公司,60757.430平方米,2023/10/17 ,延庆区南辛堡南街YQ00-0309-0007地块,北京住总第二开发建设有限公司
12,延庆区康庄镇一街村、二街村、三街村棚户区改造和环境整治项目市政道路工程(延庆区康庄镇一街村、二街村、三街村棚户区改造和环境整治项目市政道路工程 (文汇街、兴康街)）及管线工程,[2023]施[延]市政字0043号,延庆区,北京城建兴华康庆房地产开发有限公司,6625.40米,2023/10/11 ,由延庆区康庄镇汇通路、兴康街经延庆区到延庆区康庄镇西官路、晨光东街,北京城建远东建设投资集团有限公司
13,康庄棚改中压线天然气工程（康庄棚改中压线天然气工程（晨光街、文汇街））,[2023]施[延]市政字0042号,延庆区,北京燃气延庆有限公司,1940.00米,2023/10/9 ,由延庆区康庄镇汇通路(光谷一街)、兴隆街经延庆区康庄镇晨光街、文汇街到延庆区康庄镇榆林路、晨光东街,北京天兴燃气工程有限公司
14,南菜园1-5巷棚户区改造项目安置房地块（南区）（5#住宅楼等7项）,[2023]施[延]建字0041号,延庆区,北京兴延置业有限公司,61905.440平方米,2023/10/8 ,延庆区YQ00-0007-0001地块,中建一局集团第二建筑有限公司
15,北京华都阳光食品有限责任公司冷链加工升级改造项目（冷库等9项）,[2023]施[延]建字0040号,延庆区,北京华都阳光食品有限责任公司,16669.320平方米,2023/9/29 ,延庆区永宁镇南关村东侧200米,北京城建一建设发展有限公司
