序号,主键,行政相对人名称,行政相对人类别,行政相对人代码_1(统一社会信用代码),行政相对人代码_2(工商注册号),行政相对人代码_3(组织机构代码),行政相对人代码_4(税务登记号),行政相对人代码_5（事业单位证书号）,行政相对人代码_6（社会组织登记证号）,法定代表人,法定代表人证件类型,法定代表人证件号码,证件类型,证件号码,处罚决定文书号,违法行为类型,违法事实（立案表）,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财务的金额（万元）,暂扣或吊销证照名称及编号,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,来源单位名称,备注
1,a8a53796-c186-4e2f-b078-42d2acce9921,北京旭彩飞翔建筑工程有限公司,法人及非法人组织,91110304MA01JMM36D,91110304MA01JMM36D,,,/,/,唐*琼,/,/,/,/,京城管罚字﹝2021﹞31号,建筑垃圾消纳场所（或临时处置点经营单位）未保持双向称重系统正常运转,2021年7月22日14时40分，北京市城市管理综合行政执法局执法人员在北京市建筑垃圾治理督导检查中发现，北京旭彩飞翔建筑工程有限公司在北京市丰台区永合庄757号北京旭彩飞翔建筑工程有限公司临时性垃圾资源化处置场安装了一台称重装置，且称重装置已经损坏，该单位未按规定进行双向称重并记录，存在建筑垃圾消纳场所（或临时处置点经营单位）未保持双向称重系统正常运转的行为。,《北京市建筑垃圾处置管理规定》 违反条款：第十七条第一款第(三)项；处罚条款：第三十八条第三款 责令限期改正，处1万元以上10万元以下罚款,罚款,罚款10000.00,1.000000,/,/,2021/9/6,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,,
2,6393d685-409a-47d1-966f-46ed9b3af437,北京旭彩飞翔建筑工程有限公司,法人及非法人组织,91110304MA01JMM36D,91110304MA01JMM36D,,,/,/,唐*琼,/,/,/,/,京城管罚字﹝2021﹞32号,建筑垃圾消纳场所（或临时处置点经营单位）未如实记录进出场的建筑垃圾运输车辆载重状况,2021年7月22日14时40分，北京市城市管理综合行政执法局执法人员在北京市建筑垃圾治理督导检查中发现，北京旭彩飞翔建筑工程有限公司在北京市丰台区永合庄757号北京旭彩飞翔建筑工程有限公司临时性垃圾资源化处置场安装的一台称重装置已经损坏，该单位未按规定进行双向称重并记录，涉嫌存在建筑垃圾消纳场所（或临时处置点经营单位）未如实记录进出场的建筑垃圾运输车辆载重状况的行为。本行政机关当场送达《责令改正通知书》，责令该单位限期改正上述行为。,《北京市建筑垃圾处置管理规定》 违反条款：第十七条第一款第(三)项；处罚条款：第三十八条第三款 责令限期改正，处1万元以上10万元以下罚款,罚款,罚款10000.00,1.000000,/,/,2021/9/6,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,,
3,7c3300a3-9996-4655-b1de-3ace24a9aeb9,北京陇泉环保科技有限公司,法人及非法人组织,91110106MA01K9F587,91110106MA01K9F587,,,/,/,沈*澄,/,/,/,/,京城管罚字﹝2021﹞21号,建筑垃圾消纳场所（或临时处置点经营单位）未如实记录进出场的建筑垃圾运输车辆载重状况,2021年6月7日10时20分，北京市城市管理综合行政执法局执法人员在执法检查中发现，北京陇泉环保科技有限公司在北京市丰台区梅市口路经仪公园北京陇泉环保科技有限公司建筑垃圾资源化处置场出入口的双向道路，仅道路一侧安装有一台称重装置，现场有建筑垃圾运输车辆从未安装称重装置一侧道路进入该消纳场，该单位未按规定进行双向称重并记录，涉嫌存在建筑垃圾消纳场所（或临时处置点经营单位）未如实记录进出场的建筑垃圾运输车辆载重状况的行为。,《北京市建筑垃圾处置管理规定》 违反条款：第十七条第一款第(三)项；处罚条款：第三十八条第三款 责令限期改正，处1万元以上10万元以下罚款,罚款,罚款70000.00,7.000000,/,/,2021/8/6,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,,
4,f27e0134-d504-403b-9322-e141c4de7699,北京城建华晟交通建设有限公司河北环科分公司,法人及非法人组织,91110111MA01K3179Q,91110111MA01K3179Q,,,/,/,陈*芳,/,/,/,/,京城管罚字﹝2021﹞24号,建筑垃圾消纳场所（或临时处置点经营单位）未如实记录进出场的建筑垃圾运输车辆载重状况,2021年6月10日15时05分，北京市城市管理综合行政执法局执法人员在北京市建筑垃圾治理联合督导检查时发现，北京城建华晟交通建设有限公司昌平资源化建筑垃圾临时处置点出入口的双向道路，仅道路一侧安装有一台称重装置，现场有一台车牌号为京AVW262的建筑垃圾运输车从未安装称重装置的一侧道路驶出处置点，该单位未按规定对车牌号为京AVW262建筑垃圾运输车进行称重，在检查该处置点建筑垃圾运输车辆进出场台帐时，台帐上没有登记该建筑垃圾运输车的载重状况。该单位涉嫌存在建筑垃圾消纳场所（或临时处置点经营单位）未如实记录进出场的建筑垃圾运输车辆载重状况的行为。,《北京市建筑垃圾处置管理规定》 违反条款：第十七条第一款第(三)项；处罚条款：第三十八条第三款 责令限期改正，处1万元以上10万元以下罚款,罚款,罚款70000.00,7.000000,/,/,2021/9/7,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,,
5,376b090d-a7f6-45d0-9395-00370cba23f9,广东南光建筑工程有限公司,法人及非法人组织,914414237962644146,914414237962644146,,,/,/,何*敏,/,/,/,/,京城管罚字﹝2021﹞8号,施工单位未编制建筑垃圾处理方案报备案的,2021年3月16日14时10分，北京市城市管理综合行政执法局执法人员在市级建筑垃圾联合督导检查中发现，北京市丰台区长辛店镇张家坟棚户区改造安置房项目（三标段）存在施工单位未编制建筑垃圾处理方案报备案的行为，本行政机关当场下发《责令改正通知书》，责令该项目限期改正违法行为。2021年3月29日，经复查，北京市丰台区长辛店镇张家坟棚户区改造安置房项目（三标段）已编制建筑垃圾处理方案，并报北京市丰台区城市管理委备案。上述事实有《现场检查笔录》、《现场复查笔录》、《询问笔录》等证据佐证。2021年4月1日，本行政机关向你单位送达了《行政处罚事先告知书》，告知了涉嫌违法的事实、拟实施处罚的理由依据，以及享有的相关权利等，该单位无陈述申辩意见。2021年4月1日，本行政机关向你单位送达了《听证告知书》，该单位未在规定时间内提出听证要求。,《北京市建筑垃圾处置管理规定》 违反条款：第二十条第一款；处罚条款：第四十一条第一款 责令限期改正，处10万元以上100万元以下罚款,罚款,罚款100000.00,10.000000,/,/,2021/4/30,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,,
6,5824299a-5e8c-4808-b92e-7e848f6b94ab,北京天佑盛世建筑工程有限公司,法人及非法人组织,911101120896456805,911101120896456805,,,/,/,齐*佑,/,/,/,/,京城管罚字﹝2021﹞3号,施工单位未编制建筑垃圾处理方案报备案的,北京天佑盛世建筑工程有限公司在北京市通州区宋庄镇疃里村集体租赁住房项目TZ00-0202-L06、TZ00-0202-L08地块土方、护坡、降水工程存在施工单位未编制建筑垃圾处理方案报备案的行为。,《北京市建筑垃圾处置管理规定》 违反条款：第二十条第一款；处罚条款：第四十一条第一款 责令限期改正，处10万元以上100万元以下罚款,罚款,罚款100000.00,10.000000,/,/,2021/3/7,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,,
7,5c4922a0-2f8c-481e-8a39-f951312f9515,北京秦泰建筑工程有限公司,法人及非法人组织,91110116MA01FME92A,91110116MA01FME92A,,,/,/,靳*梅,/,/,/,/,京城管罚字﹝2021﹞10号,施工单位未编制建筑垃圾处理方案报备案的,"2021年3月9日14时10分，北京市城市管理综合行政执法局执法人员在市建筑垃圾联合督导检查中发现，北京秦泰建筑工程有限公司在北京市石景山区苹果园南路苹果园综合交通枢纽工程-北区标段存在施工单位未编制建筑垃圾处理方案报备案的行为，本行政机关当场下发《责令改正通知书》，责令你单位限期改正违法行为。2021年4月2日，经复查，北京市石景山区苹果园南路苹果园综合交通枢纽工程-北区标段已编制建筑垃圾处理方案，并报北京市石景山区城市管理委备案。上述事实有《现场检查笔录》、《现场复查笔录》、《询问笔录》等证据佐证。
2021年4月7日，本行政机关向你单位送达了《行政处罚事先告知书》，告知了涉嫌违法的事实、拟实施处罚的理由依据，以及享有的相关权利等，你单位无陈述申辩意见。2021年4月7日，本行政机关向你单位送达了《听证告知书》，你单位未在规定时间内提出听证要求。",《北京市建筑垃圾处置管理规定》 违反条款：第二十条第一款；处罚条款：第四十一条第一款 责令限期改正，处10万元以上100万元以下罚款,罚款,罚款200000.00,20.000000,/,/,2021/4/30,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,,
8,76778953-ce65-478a-b1c6-e230241c3b58,北京旭日吉光建筑工程有限公司,法人及非法人组织,91110116MA009HTN57,91110116MA009HTN57,,,/,/,廖*,/,/,/,/,京城管罚字﹝2021﹞2号,施工单位未编制建筑垃圾处理方案报备案的,经查，2021年1月12日14时10分，北京市城市管理综合行政执法局执法人员在检查中发现，北京旭日吉光建筑工程有限公司在北京市石景山区长安街西延（古城大街-三石路）道路工程7#标段项目存在施工单位未编制建筑垃圾处理方案报备案的行为，本行政机关当场下发《责令改正通知书》，责令你单位限期改正违法行为。2021年2月5日，经复查，北京市石景山区长安街西延（古城大街-三石路）道路工程7#标段项目已编制建筑垃圾处理方案，并报北京市石景山区城市管理委备案。上述事实有《现场检查笔录》、《现场复查笔录》、《询问笔录》等证据佐证。,《北京市建筑垃圾处置管理规定》 违反条款：第二十条第一款；处罚条款：第四十一条第一款 责令限期改正，处10万元以上100万元以下罚款,罚款,罚款200000.00,20.000000,/,/,2021/3/7,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,,
9,a29cfc55-247f-477f-b9da-952f4c79a29f,湖北远大建设集团有限公司,法人及非法人组织,91420900739111913H,91420900739111913H,,,/,/,李*清,/,/,/,/,京城管罚字﹝2021﹞4号,施工单位未编制建筑垃圾处理方案报备案的,2021年1月21日16时30分，湖北远大建设集团有限公司在北京市朝阳区金盏乡小店村3005-12地块项目存在施工单位未编制建筑垃圾处理方案报备案的行为。,《北京市建筑垃圾处置管理规定》 违反条款：第二十条第一款；处罚条款：第四十一条第一款 责令限期改正，处10万元以上100万元以下罚款,罚款,罚款100000.00,10.000000,/,/,2021/3/7,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,,
10,f8790d6d-c575-4eb3-a4d8-cba629223b9e,北京益华通建筑工程有限公司,法人及非法人组织,91110114096961956C,91110114096961956C,,,/,/,王*进,/,/,/,/,京城管罚字﹝2020﹞77号,施工单位未编制建筑垃圾处理方案报备案的,"2020年11月13日10时10分，北京益华通建筑工程有限公司在北京市西城区月坛体育场基础设施升级改造二期项目存在施工单位未编制建筑垃圾处理方案报备案的行为。本行政机关当场下发《责令改正通知书》，责令你单位限期改正违法行为。2020年12月2日，经复查，月坛体育场基础设施升级改造二期工程已于2020年11月18日编制完成了施工现场建筑垃圾处理方案，并已报西城区城市管理部门备案。上述事实有《现场检查笔录》、《现场复查笔录》、《询问笔录》、现场照片等证据佐证。
2020年12月18日，本行政机关向你单位送达了《行政处罚事先告知书》，告知了涉嫌违法的事实、拟实施处罚的理由依据，以及享有的相关权利等，你单位无陈述申辩意见。2020年12月18日，本行政机关向你单位送达了《听证告知书》，你单位未在规定时间内提出听证要求。",《北京市建筑垃圾处置管理规定》 违反条款：第二十条第一款；处罚条款：第四十一条第一款 责令限期改正，处10万元以上100万元以下罚款,罚款,罚款100000.00,10.000000,/,/,2021/1/6,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,,
