证书编号,项目名称,建设单位,建设位置,核发日期
2019规自（通）建字0124号,通州新城0704街区TZ00-0704-0107地块1#商务办公楼项目（1#商务办公楼）,北京隆鹤置业有限公司,通州区梨园镇,2019-12-20
2019规（开）建字0067号,国融国际2-4层外立面改造（裙房栋）,国融国际业主委员会及高琴等232户业主等,亦庄开发区荣华中路7号,2019-12-20
2019规自（密）建字0024号,中铁十六局集团有限公司路桥公司密云新北路29号院棚户区改造项目（中铁十六局集团有限公司路桥公司密云新北路29号院棚户区改造项目MY00-0202-6006地块1#住宅楼等18项）,中铁十六局集团有限公司,密云区新北路29号,2019-12-20
2019规自（海）建字0077号,北京市海淀区地铁16号线北安河车辆段综合利用项目HD00-0700-0001、0002、0003、0004地块A334托幼用地、F3其他类多功能用地、R2二类居住用地项目（A-1#住宅楼等18项）,北京京投兴海房地产有限公司,海淀区苏家坨镇,2019-12-20
2019规自（昌）建字0056号,北京响水泉工艺品厂苏绣生产研发（1#厂房等3项）,北京响水泉工艺品厂,昌平区南口镇,2019-12-20
2019规自（海）建字0078号,北京市海淀区地铁16号线北安河车辆段综合利用项目HD00-0700-0001、0002、0003、0004地块A334托幼用地、F3其他类多功能用地、R2二类居住用地项目（现状结构转换层）,北京京投兴海房地产有限公司,海淀区苏家坨镇,2019-12-20
2019规自（通）建字0128号,通州区台湖镇YZ00-0405-0094等地块R2二类居住用地、YZ00-0405-0097地块A33基础教育用地项目（0103地下车库）,北京万平立通房地产开发有限公司,通州区台湖镇,2019-12-20
2019规自（海）建字0079号,北京市第四社会福利院污水处理池改扩建工程项目（污水处理池）,北京市第四社会福利院,海淀区清河三街52号,2019-12-20
2019规自（密）建字0025号,密云区溪翁庄MY02-0201-6001地块（原圆明三园C地块）R2二类居住用地项目（6#住宅楼等25项）,北京臻德兴云置业有限公司,密云区溪翁庄镇MY02-0201-6001地块,2019-12-20
2019规自（大）建字0054号,北京博得交通设备有限公司改扩建项目（1#生产基地车间）,北京博得交通设备有限公司,大兴区北京市大兴工业开发区广阳大街6号,2019-12-20
2019规自（通）建字0125号,通州区台湖镇YZ00-0405-0094等地块R2二类居住用地、YZ00-0405-0097地块A33基础教育用地项目（0101地下车库）,北京万平立通房地产开发有限公司,通州区台湖镇,2019-12-20
2019规自（通）建字0126号,通州区台湖镇YZ00-0405-0094等地块R2二类居住用地、YZ00-0405-0097地块A33基础教育用地项目（0103-1#商品住宅楼等6项）,北京万平立通房地产开发有限公司,通州区台湖镇,2019-12-20
2019规自（通）建字0127号,通州区台湖镇YZ00-0405-0094等地块R2二类居住用地、YZ00-0405-0097地块A33基础教育用地项目（0101-1#商品住宅楼等8项）,北京万平立通房地产开发有限公司,通州区台湖镇,2019-12-20
2019规（开）建字0066号,北京经济技术开发区河西区X92R1地块R2二类居住用地项目（1#住宅楼等9项）,北京雅晟房地产开发有限公司,亦庄开发区河西区X92R1地块,2019-12-19
2019规自（海）建字0077号,北京市海淀区地铁16号线北安河车辆段综合利用项目HD00-0700-0001、0002、0003、0004地块A334托幼用地、F3其他类多功能用地、R2二类居住用地项目（A-1#住宅楼等18项）,北京京投兴海房地产有限公司,海淀区苏家坨镇,2019-12-19
2019规自（海）建字0078号,北京市海淀区地铁16号线北安河车辆段综合利用项目HD00-0700-0001、0002、0003、0004地块A334托幼用地、F3其他类多功能用地、R2二类居住用地项目（现状结构转换层）,北京京投兴海房地产有限公司,海淀区苏家坨镇,2019-12-19
2019规自（通）建字0124号,通州新城0704街区TZ00-0704-0107地块1#商务办公楼项目（1#商务办公楼）,北京隆鹤置业有限公司,通州区梨园镇,2019-12-19
2019规自（昌）建字0056号,北京响水泉工艺品厂苏绣生产研发（1#厂房等3项）,北京响水泉工艺品厂,昌平区南口镇,2019-12-19
2019规（开）建字0067号,国融国际2-4层外立面改造（裙房栋）,国融国际业主委员会,亦庄开发区荣华中路7号,2019-12-19
2019规自（密）建字0024号,中铁十六局集团有限公司路桥公司密云新北路29号院棚户区改造项目（中铁十六局集团有限公司路桥公司密云新北路29号院棚户区改造项目MY00-0202-6006地块1#住宅楼等18项）,中铁十六局集团有限公司,密云区新北路29号,2019-12-19
2019规自建字0053号,北京大兴国际机场口岸非现场设施（口岸疾控中心）（疾控中心-办公楼等4项）,北京市人民政府口岸办公室,大兴区北京新机场工作区内，航站楼东北侧,2019-12-18
2019规自建字0054号,北京大兴国际机场口岸非现场设施（海关国检综合办公楼）（A01综合行政办公楼等16项）,北京市人民政府口岸办公室,大兴区北京新机场工作区内，航站楼东北侧,2019-12-18
2018规土（海）建字0059号,海淀北部地区整体开发永丰产业基地（新）HD00-0401-0093、0097、0099、0108地块二类居住及零售商业用地项目（D1#零售商业楼等7项）,北京恒合悦兴置业有限公司,海淀区西北旺镇永丰产业基地G地块,2019-12-18
2019规自（延）建字0033号,北京市延庆区延庆新城YQ00-0300-0067、0069地块（世园会二期）项目（36#商品房住宅等16项）,北京碧晟凤盈房地产开发有限公司,延庆区延庆区延庆镇百康路与阜康路交叉口至百康路与规划二路交叉口,2019-12-18
2019规（开）建字0066号,北京经济技术开发区河西区X92R1地块R2二类居住用地项目（1#住宅楼等9项）,北京雅晟房地产开发有限公司,亦庄开发区河西区X92R1地块,2019-12-18
2019规自（门）乡临建字0001号,0032-1#集体租赁住房等21项,北京市门头沟区永定镇西辛称村经济合作社、北京市门头沟区永定镇栗元庄村经济合作社,门头沟区永定镇镇西辛称、栗元庄村,2019-12-18
2019规自（大）建字0053号,中国食品药品检定研究院加层建设项目（教学楼（加层）等4项）,中国食品药品检定研究院,大兴区华佗路,2019-12-17
2019规（开）建字0065号,北京经济技术开发区河西区X92R1地块R2二类居住用地项目（5#住宅楼等5项）,北京雅晟房地产开发有限公司,亦庄开发区河西区X92R1地块,2019-12-17
2019规自（大）建字0050号,岩土木工程技术、设备研制基地项目（1#厂房等7项）,北京全泰科技发展有限公司,大兴区庞各庄镇,2019-12-17
2019规自（大）建字0052号,大兴区庞各庄镇PGZ01-05地块商业办公项目（三期）（A3#办公楼等9项）,北京兴展宏业投资有限公司,大兴区,2019-12-17
2019规自（大）建字0051号,大兴区庞各庄镇PGZ01-05地块商业办公项目（二期）（A1#办公楼等7项）,北京兴展宏业投资有限公司,大兴区,2019-12-17
2019规自（西）建字0074号,光源里棚户区改造项目13#、14#、15#、16#住宅楼及地下车库（13#住宅楼等6项）,北京天恒正合置业有限公司,西城区樱桃园十字路口东南侧路,2019-12-17
2019规自（延）建字0033号,北京市延庆区延庆新城YQ00-0300-0067、0069地块（世园会二期）项目（36#商品房住宅等16项）,北京碧晟凤盈房地产开发有限公司,延庆区延庆区延庆镇百康路与阜康路交叉口至百康路与规划二路交叉口,2019-12-17
2019规自建字0068号,北京新机场东航基地项目（北区机库及附楼等11项）,中国东方航空股份有限公司,大兴区北京新机场W-01-04地块,2019-12-13
