项目名称,预售证号,开发企业,委托销售机构,违规事项,公示时间
霄云阁,京房售证字(2007)96号,北京市永顺房地产开发有限公司,自行销售及委托销售机构：北京金岳房地产经纪有限公司,采用变相售后包租方式销售未竣工商品房,2010/2/20 0:00
合生时代中心,京房售证字(2009)395号,北京合生北方房地产开发有限公司,自行销售,未取得商品房预售许可证违规收取预订款性质费用,2010/2/20 0:00
朝悦大厦,京房售证字(2009)240号,北京弘泰基业房地产有限公司,北京捷成兴业房地产经纪有限公司,未按时开盘，未公示开盘时间、拟售均价,2010/2/20 0:00
长安融府,京房售证字(2007)418号,北京晨昱泰和房地产开发有限公司,自行销售,取得预售许可证开盘后未按整栋对外销售,2010/2/20 0:00
京通苑12号、13号楼,京房售证字(并)294号,北京巨安金润房地产开发有限公司,,无资质从事房地产开发经营业务,2010/2/20 0:00
腾龙家园,京房售证字(2006)319号,北京华风腾龙房地产开发有限公司,北京忠正信房地产经纪有限公司,在未取得预售证的情况下，预售腾龙家园项目B10#楼商品房；2009年7月，该公司在未解除商品房买卖合同前，将作为合同标的物的商品房再行销售给他人。,2009/11/9 0:00
腾龙家园,京房售证字(2009)151号,北京华风腾龙房地产开发有限公司,北京忠正信房地产经纪有限公司,在未取得预售证的情况下，预售腾龙家园项目B10#楼商品房；2009年7月，该公司在未解除商品房买卖合同前，将作为合同标的物的商品房再行销售给他人。,2009/11/9 0:00
中海风情苑,京房售证字(2009)178号,北京嘉益德房地产开发有限公司,自行销售,在不符合商品房销售条件情况下，向买受人收取预订款性质费用,2009/11/9 0:00
A型别墅等11项工程,,北京东隆房地产开发有限公司,未办理销售机构备案,在不符合商品房销售条件情况下，向买受人收取预订款性质费用,2009/11/9 0:00
晨谷苑,京房售证字(2009)225号,北京晨谷苑房地产开发有限公司,自行销售,在不符合商品房销售条件情况下，向买受人收取预订款性质费用,2009/11/9 0:00
美伦堡家园,京房售证字(2008)111号,北京和达创建置业有限公司,北京和达创建置业有限公司,存在售楼处未公示楼栋的拟售均价及商品房预售面积测绘技术报告书的违法违规行为。,2009/6/22 0:00
东方美景家园,京房售证字(2008)166号,北京达义兴业房地产开发有限公司,北京四海房地产经纪有限公司,存在向消费者公布与交易网公示楼盘状态不符的销售情况的违法违规行为。,2009/6/22 0:00
青年汇佳园,京房售证字(2008)356号,北京新松房地产开发有限公司,自行销售,存在售楼处未公示楼栋的拟售均价，不进行网上认购的违法违规行为。  ,2009/6/22 0:00
沙顺路96号院,京房售证字(2008)411号,北京久长房地产开发有限公司,北京标点房地产经纪有限公司,存在未公示楼栋的拟售均价及建筑节能信息，向消费者公布与交易网公示楼盘状态不符的销售情况的违法违规行为  ,2009/6/22 0:00
畅茜园馥霞里,,北京市龙鼎华源房地产开发有限责任公司,北京大苑天地房地产经纪有限责任公司,存在售楼处未公示楼栋的拟售均价及开盘时间的违法违规行为。,2009/6/22 0:00
观音寺北里住宅小区甲13号楼,,北京顺源房地产开发有限公司,未办理销售机构备案,2008年10月，市住房城乡建设委在检查中发现不符合商品房销售条件，违规向买受人收取预订款性质费用。  ,2009/5/19 0:00
健翔大厦,京房售证字(2005)196号,北京诚信兴业房地产有限公司,北京伟业通天下房地产顾问有限公司,2009年4月，市住房城乡建设委在检查中发现违规采用变相售后包租方式销售未竣工商品房。  ,2009/5/19 0:00
果岭华舍(推广名：果岭假日),,北京亚奥先科房地产开发有限公司,自行销售,2009年4月，市住房城乡建设委在检查中发现未取得预售许可证，违规收取商品房预付款。,2009/5/19 0:00
金善名居,京房售证字(2007)408号,北京安旺房地产开发有限责任公司,自行销售,2009年4月，市住房城乡建设委在检查中发现开发建设的金善名居项目存在延期交房行为。,2009/5/19 0:00
金善名居,京房售证字(2007)249号,北京安旺房地产开发有限责任公司,自行销售,2009年4月，市住房城乡建设委在检查中发现开发建设的金善名居项目存在延期交房行为。,2009/5/19 0:00
清河嘉园,京房售证字(2008)188号,北京强佑房地产开发公司,自行销售,2009年4月，市住房城乡建设委在检查中发现开发建设的清河嘉园项目存在延期交房行为  ,2009/5/19 0:00
清河嘉园,京房售证字(2006)547号,北京强佑房地产开发公司,自行销售,2009年4月，市住房城乡建设委在检查中发现开发建设的清河嘉园项目存在延期交房行为。,2009/5/19 0:00
石景雅居1#楼,京房售证字(2004)206号,北京天海兆业房地产开发有限公司,自行销售,2009年4月，市住房城乡建设委在检查中发现未按《北京市商品房预售合同》第二十条约定按时未为购房人办理房屋所有权证书。,2009/5/19 0:00
石景雅居,京房售证字(2003)69号,北京天海兆业房地产开发有限公司,自行销售,2009年4月，市住房城乡建设委在检查中发现未按《北京市商品房预售合同》第二十条约定按时未为购房人办理房屋所有权证书。,2009/5/19 0:00
莲花池南里27号楼,京房权证丰股字第04640号,北京英图光彩置业有限责任公司,,2009年4月，市住房城乡建设委在检查中发现未按《北京市商品房现房买卖合同》第二十条约定按时为购房人办理房屋所有权证书。,2009/5/19 0:00
美华世纪大厦（原北京世纪财星大厦）,京房售证字(并)387号,北京长安永泰物业发展有限公司,自行销售,在预售美华世纪大厦项目与购房人订立商品房买卖合同前隐瞒商品房已经抵押的事实。  ,2008/7/14 0:00
中国企业家大厦,京房售证字1172号,北京泰丰房地产开发有限公司,自行销售,在未解除商品房买卖合同前，将作为合同标的物的商品房再行销售给他人；违规采用售后包租方式销售未竣工商品房。  ,2008/7/11 0:00
阳光城,,北京亚连房地产开发有限公司,自行销售,未取得预售许可证，擅自预售阳光城1#、5#、9#楼，违规收取商品房预付款。  ,2008/7/11 0:00
商业、办公业务用房,京房售证字(2005)714号,北京华睦房地产开发有限公司,自行销售,不符合商品房销售条件，违规向买受人收取预订款性质费用。  ,2008/7/11 0:00
松华园小区住宅,京房售证字(2006)293号,北京市都城物业发展有限公司,自行销售,在预售松华园小区住宅 (推广名：都城心屿)时不进行网上认购。  ,2008/7/11 0:00
金泉家园,京房售证字(2007)110号,北京政泉置业有限公司,,在预售金泉家园项目8#、10#楼时不进行网上认购。  ,2008/7/11 0:00
金泉家园,京房售证字(2006)298号,北京政泉置业有限公司,,在预售金泉家园项目8#、10#楼时不进行网上认购。  ,2008/7/11 0:00
浩庭花园二期,京房售证字(2006)336号,北京浩隆房地产开发有限责任公司,自行销售,在预售浩庭花园项目时不进行网上认购。  ,2008/7/11 0:00
珠江逸景家园,京房售证字(2007)277号,北京珠江房地产开发有限公司,自行销售,珠江逸景家园项目2007年4月在未取得商品房预售证之前参加房展会，并销售会员卡进行排号，存在内部认购的违规行为；2007年8月销售珠江逸景家园110号楼时，存在不进行网上认购的违规行为。  ,2007/10/12 0:00
闻涛苑,京房售证字(2007)292号,北京旭日房地产开发有限责任公司,北京都市春天房地产经纪有限公司,洼里居住小区家园项目17#、18#楼于2007年8月22日取得商品房预售证之日起3日内未按时开盘。,2007/10/12 0:00
闻涛苑,京房售证字(2007)92号,北京旭日房地产开发有限责任公司,北京都市春天房地产经纪有限公司,预售6#楼时向消费者公布与交易网公示楼盘状态不符的销售信息。,2007/10/12 0:00
观唐花园(南里),京房售证字(2007)63号,博华紫光置业有限公司,自行销售,该公司在2007年3月预售观唐花园三期206#、207#楼时不进行网上认购。  ,2007/10/12 0:00
金锣湾项目,,北京宝业恒基投资有限公司,自行销售,该公司未取得预售许可证，违法于2006年4月起预售金锣湾项目，  ,2007/10/12 0:00
金地嘉苑项目,,北京海龙通达房地产有限公司,未办理销售机构备案,该公司在未取得《商品房预售许可证》的情况下，于2007年9月在媒体上刊登商品房销售广告，违规进行广告宣传。  ,2007/10/12 0:00
耄耋公寓项目,,北京旺丰翔房地产有限公司,未办理销售机构备案,该公司在未取得《商品房预售许可证》的情况下，于2007年9月在媒体上刊登商品房销售广告，违规进行广告宣传。  ,2007/10/12 0:00
金澳国际项目,,北京海科房地产开发有限公司,未办理销售机构备案,该公司在未取得《商品房预售许可证》的情况下，于2007年9月在媒体上刊登商品房销售广告，违规进行广告宣传。  ,2007/10/12 0:00
中赫新天家园,,北京新天朝来房地产开发有限公司,未办理销售机构备案,该公司在取得《商品房预售许可证》前，于2007年9月在媒体上刊登商品房销售广告，违规进行广告宣传。  ,2007/10/12 0:00
远洋一方项目,,北京中联置地房地产开发有限公司,未办理销售机构备案,该公司在取得《商品房预售许可证》前，于2007年9月在媒体上刊登商品房销售广告，违规进行广告宣传。  ,2007/10/12 0:00
悦莱苑,京房售证字(2007)143号,北京正阳置业房地产开发有限公司,自行销售,该公司2007年5月在预售悦莱苑项目时，与购房人订立商品房买卖合同前隐瞒商品房已经抵押的事实。  ,2007/10/12 0:00
美华世纪大厦（原北京世纪财星大厦）,京房售证字(并)387号,北京长安永泰物业发展有限公司,自行销售,该公司在2007年1月预售美华尚层项目时私下签订商品房买卖合同，不进行网上签约。  ,2007/10/12 0:00
方泽园住宅小区,京房售证字(2005)128号,北京中豪房地产开发有限公司,自行销售,该公司方泽园住宅小区因工程施工合同纠纷导致未按购房合同约定的期限交房，引发购房人集体上访。    ,2007/6/15 0:00
方泽园住宅小区1#楼等10项,京房售证字(2005)121号,北京中豪房地产开发有限公司,自行销售,该公司方泽园住宅小区因工程施工合同纠纷导致未按购房合同约定的期限交房，引发购房人集体上访。  ,2007/6/8 0:00
方泽园住宅小区,京房售证字(2005)98号,北京中豪房地产开发有限公司,自行销售,该公司方泽园住宅小区因工程施工合同纠纷导致未按购房合同约定的期限交房，引发购房人集体上访。  ,2007/6/8 0:00
方泽园住宅小区1#楼等10项,京房售证字(2004)646号,北京中豪房地产开发有限公司,自行销售,该公司方泽园住宅小区因工程施工合同纠纷导致未按购房合同约定的期限交房，引发购房人集体上访。  ,2007/6/8 0:00
太合嘉园,,北京太合嘉园房地产开发有限责任公司,自行销售,该公司2004年未取得预售许可证擅自预售太合嘉园小区095#房屋。  ,2007/6/7 0:00
幸福阳光,,北京无限置业有限公司,北京赢嘉联行房地产经纪有限公司,该公司未取得预售许可证擅自预售幸福阳光小区。  ,2007/6/7 0:00
鹏达锦园,,北京旺丰翔房地产开发有限公司,未办理销售机构备案,该公司未取得预售许可证擅自预售鹏达锦园小区。  ,2007/6/7 0:00
温泉馨苑,,北京中天鸿森房地产开发有限公司,自行销售,该公司2003年未取得预售许可证擅自预售温泉馨苑小区20#楼3单元203房屋。  ,2007/6/7 0:00
都市之光恋日嘉园,京房售证字(2005)415号,北京市华野房地产开发有限公司,自行销售,该公司B区6#楼因工程施工合同纠纷导致未按购房合同约定的期限交房，引发购房人集体上访。  ,2007/6/7 0:00
褐石园,京房售证字(2006)567号,北京泰跃房地产开发有限责任公司,自行销售,该公司褐石园小区21号楼不进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2007/6/7 0:00
海润大厦,京房售证字(2003)207号,北京凯迪宝房地产开发有限公司,自行销售,该公司海润大厦项目不进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2007/6/7 0:00
慧科大厦,京房售证字(2006)67号,北京市祺洋房地产开发有限责任公司,未办理销售机构备案,该公司开发的慧科大厦项目未按规定进行网上签约且擅自销售法院查封的房屋。  ,2007/6/7 0:00
富力桃园,京房售证字(2007)58号,北京鸿高置业发展有限公司,自行销售,该公司开发的富力桃园项目A9-A11楼未按时开盘，无理拒绝消费者的购房要求。  ,2007/6/7 0:00
嘉裕苑,京房售证字(并)333号,嘉裕房地产开发有限公司,北京协成房地产经纪有限责任公司,该公司嘉林海德大道项目未按照退房协议的约定退还房价款。  ,2007/6/7 0:00
金果林家园,,北京荣鹏房地产开发有限公司,自行销售,该公司未取得预售许可证擅自预售金果林家园小区。  ,2007/3/20 0:00
蓝天花园小区,,北京蓝天家园房地产开发有限公司,北京安居正业投资顾问有限公司,该公司未取得预售许可证擅自预售蓝天花园小区。  ,2007/3/20 0:00
