序号,企业名称,组织机构代码或统一社会信用代码,上市板块,上市日期,所属行业,所属区
1,国科天成科技股份有限公司,91110108089647010H,创业板,2024-08-21,信息技术,海淀区
2,北自所(北京)科技发展股份有限公司,91110102743318765H,主板,2024-01-30,工业,西城区
3,北京云星宇交通科技股份有限公司,91110000633795210K,北证,2024-01-11,信息技术,丰台区
4,嘀嗒出行,911101053067237971,主板,2024-06-28,工业,朝阳区
5,老铺黄金股份有限公司,91110101ma00a32r3n,主板,2024-06-28,可选消费,东城区
6,乐思集团有限公司,91110114684368251X,主板,2024-03-08,通讯服务,朝阳区
7,北京华昊中天生物医药股份有限公司,9111010874157874xp,主板,2024-10-31,医疗保健,大兴区
8,多点数智有限公司,91110108336463754C,主板,2024-12-06,可选消费,海淀区
9,美中嘉和医学技术发展集团股份有限公,911101086757013319,主板,2024-01-09,医疗保健,朝阳区
10,长久股份有限公司,91310115MA7AH93X54,主板,2024-01-09,信息技术,朝阳区
11,horizon robotics,91110108MA002R5L5Y,主板,2024-10-24,信息技术,海淀区
12,江西一脉阳光集团股份有限公司,914403003194442602,主板,2024-06-07,医疗保健,朝阳区
13,百望股份有限公司,91110108339805094m,主板,2024-07-09,工业,海淀区
14,Bingex Limited,91110108397913923A,主板,2024-10-04,工业,海淀区
15,XCHG Limited,911101083397675346,主板,2024-09-10,工业,海淀区
16,Pheton Holdings Ltd,91110105700173316E,主板,2024-09-05,医疗保健,朝阳区
17,U-Bx Technology Ltd.,91110111MA01B2WX7D,主板,2024-03-28,信息技术,顺义区
18,Lucas GC Limited,91110105562144225Q,主板,2024-03-05,工业,朝阳区
19,Haoxi Health Technology Limited,91110108MA01ETFP3B,主板,2024-01-26,通讯服务,朝阳区
20,Pony AI Inc.,91110108MA00AGM13W,主板,2024-11-27,信息技术,海淀区
