序号,企业名称,组织机构代码或统一社会信用代码,挂牌板块,挂牌日期,所属行业,所属区
1,中煤(北京)环保股份有限公司,911101015594929667,创新层,2024-02-06,工业,丰台区
2,樱桃谷育种科技股份有限公司,91371400687213888N,创新层,2024-09-09,日常消费,平谷区
3,慧影医疗科技(北京)股份有限公司,91110108335563403F,基础层,2024-01-08,医疗保健,海淀区
4,笛东规划设计(北京)股份有限公司,9111000079996968X3,基础层,2024-09-24,工业,朝阳区
5,北京易诚互动网络技术股份有限公司,911101085996989854,基础层,2024-10-30,信息技术,海淀区
6,北京小鸟科技股份有限公司,911101146876112535,基础层,2024-12-02,信息技术,昌平区
7,北京泰迪未来科技股份有限公司,91110108317961782R,创新层,2024-03-28,信息技术,海淀区
8,北京探创资源科技股份有限公司,91110106MA00HAWG1U,基础层,2024-05-10,工业,丰台区
9,北京泰诚信测控技术股份有限公司,91110108762995956B,基础层,2024-02-21,工业,大兴区
10,北京康美特科技股份有限公司,91110108774730605Q,创新层,2024-03-19,材料,海淀区
11,北京昆仑联通科技发展股份有限公司,911101071023143503,创新层,2024-06-20,信息技术,石景山区
12,北京建工资源循环利用股份有限公司,911100000953562798,基础层,2024-10-29,工业,海淀区
13,北京合众伟奇科技股份有限公司,91110108067279173H,基础层,2024-09-13,信息技术,海淀区
14,北京昊普康科技股份有限公司,91110108669912976R,基础层,2024-02-02,信息技术,海淀区
15,北京德美高科科技股份有限公司,91110108772583787P,基础层,2024-02-06,能源,海淀区
